gene_name	gene_set	is_neuronal	is_synapse	is_mecp2_up	mecp2_fold	mecp2_fdr	gene_length	mch_ctrl	mch_diff	edger_fdr	mch_sig
Arhgap26	Other	FALSE	FALSE	FALSE	0.002315152	0.995366854	383140	0.0240667114846402	0.0170988603431517	4.81031639917514e-18	TRUE
Cdh8	Neuronal only	TRUE	TRUE	FALSE	-0.059540469	0.804330104	392001	0.0210568684894349	0.00244720115007071	0.558621868411024	FALSE
Cntnap2	Neuronal only	TRUE	TRUE	FALSE	0.018867124	0.951415639	2244857	0.0245563568961777	-0.0014923291324827	9.04579205744142e-11	TRUE
Dlgap1	Neuronal only	TRUE	TRUE	FALSE	-0.04338638	0.870923896	852341	0.0221395081307162	0.0022075784663896	0.449696876723901	FALSE
Epha3	Neuronal + MeCP2 up	TRUE	TRUE	TRUE	2.691133668	1.44e-12	320642	0.0317222961265713	0.0111898424144496	7.0060800467962e-12	TRUE
Lpp	MeCP2 up only	FALSE	FALSE	TRUE	0.694963005	0.017137351	599072	0.0259634755144554	0.006702860050746	2.92646484260367e-09	TRUE
Mcu	Other	FALSE	FALSE	FALSE	-0.027928153	0.922594536	169709	0.0223817363866081	0.00354066578383002	0.0980671506452571	FALSE
Syt1	Neuronal only	TRUE	TRUE	FALSE	-0.075931478	0.737868788	513333	0.0221576848541594	0.00553712778233336	2.24916039908572e-08	TRUE
Trpm3	Other	FALSE	FALSE	FALSE	0.106080893	0.61793793	856365	0.0231301443580463	0.0115490515907076	2.4006788018813e-15	TRUE
Zbtb20	MeCP2 up only	FALSE	FALSE	TRUE	1.251429852	7e-05	766722	0.0273724342712657	0.0085524297670826	3.23721304105379e-12	TRUE
