gene_name	entrez_id	chr	start	end	width	gb_ctrl_signal	gb_mut_signal	gb_log2fc	pr_ctrl_signal	pr_mut_signal	pr_log2fc	is_neuronal	is_neuronal_external	k119ub_decile	length_stratum	ctrl_top_quartile	ctrl_top_decile	mut_top_quartile	mut_top_decile
Mrgpra2a	668727	chr7	47426328	47452139	25812	44.998495	42.733827	-0.074126	0.129494	0.112456	NA	FALSE	FALSE	10	4	TRUE	TRUE	TRUE	TRUE
Rn45s	100861531	chr17	39843013	39848788	5776	41.758115	22.55401	-0.882242	32.321511	18.141368	-0.8256	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Tmem41a	66664	chr16	21934326	21947552	13227	29.737564	28.309077	-0.070487	2.500865	3.799289	0.562834	FALSE	FALSE	10	3	TRUE	TRUE	TRUE	TRUE
Osr2	107587	chr15	35296098	35303305	7208	20.700337	19.996499	-0.049372	22.045829	20.427758	-0.108845	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Gata3os	381347	chr2	9881252	9883921	2670	20.62105	18.408667	-0.161902	19.816677	17.807759	-0.152421	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Krtap11-1	16693	chr16	89570176	89571183	1008	20.59381	21.956944	0.091519	13.788563	15.651349	0.180113	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Cfap221	226356	chr1	119923341	119997234	73894	19.903821	19.171072	-0.053511	1.463813	1.475851	0.010276	TRUE	TRUE	10	5	TRUE	TRUE	TRUE	TRUE
Atoh1	11921	chr6	64729125	64731245	2121	18.597905	17.672222	-0.072773	17.669969	17.417571	-0.020499	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Hspb3	56534	chr13	113662896	113663676	781	17.944994	21.747481	0.274205	10.130481	12.91605	0.343827	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Gata3un	77682	chr2	9883041	9889540	6500	17.763523	16.407897	-0.113068	13.226525	11.296145	-0.223571	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Dlx5	13395	chr6	6877805	6882085	4281	17.675579	13.544197	-0.378677	13.042256	10.101072	-0.361726	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
AI606473	99686	chr3	154330821	154334254	3434	17.664206	14.145005	-0.316123	18.389912	14.26293	-0.361712	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Dlx6os2	13397	chr6	6863797	6865150	1354	16.771965	14.0301	-0.253877	14.104781	11.915989	-0.239217	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Barx1	12022	chr13	48662998	48666507	3510	16.261629	13.470183	-0.267713	14.95738	12.926144	-0.20728	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Gm9748	102633266	chr14	79769908	79772743	2836	16.243769	15.665851	-0.051552	13.824389	12.172154	-0.180564	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
