gene_name	gene_id	chr	start	end	gene_length	is_neuronal	is_neuronal_derived	is_key_gene	k119ub_ctrl_signal	k119ub_signal_log2fc	k119ub_signal_decile	length_quintile	atac_fold	atac_fdr	atac_n_peaks	atac_predicted	atac_predicted_sig	k27ac_fold	k27ac_fdr	k27ac_n_peaks	k27ac_predicted	k27ac_predicted_sig	k27me3_fold	k27me3_fdr	k27me3_n_peaks	k27me3_predicted	k27me3_predicted_sig	k119ub_fold	k119ub_fdr	k119ub_n_peaks	k119ub_predicted	k119ub_predicted_sig	n_marks_available	n_predicted	n_predicted_sig
0610010K14Rik	ENSMUSG00000020831.18	chr11	70235205	70237914	2709	FALSE	FALSE	FALSE	1.132859	0.159704	6	1	0.165046058179854	0.295830334608811	3	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
0610030E20Rik	ENSMUSG00000058706.5	chr6	72347316	72353148	5832	FALSE	FALSE	FALSE	0.836596	0.221468	4	1	0.0547091148543267	0.789257117213012	1	FALSE	FALSE	0.035141053906068	0.82732936127671	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	0	0
0610040J01Rik	ENSMUSG00000060512.7	chr5	63812362	63899625	87263	FALSE	FALSE	FALSE	0.913749	-0.203967	5	5	0.0972370532412445	0.641625738594419	3	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.321223721596814	0.0789635382505712	1	FALSE	FALSE	-0.306658613	0.006250169	1	FALSE	FALSE	3	0	0
1110002E22Rik	ENSMUSG00000090066.2	chr3	138065051	138081506	16455	FALSE	FALSE	FALSE	4.213765	0.775863	10	3	-1.14861033705641	4.6044170078104e-05	6	TRUE	TRUE	-1.44543032591089	9.62401892623119e-15	3	TRUE	TRUE	1.53533180479641	1.83054578082149e-13	1	TRUE	TRUE	0.358933343	6.92e-05	9	TRUE	TRUE	4	4	4
1110004F10Rik	ENSMUSG00000030663.12	chr7	116039396	116105210	65814	FALSE	FALSE	FALSE	0.725463	0.102158	4	4	0.0506774653099591	0.790222580840628	2	FALSE	FALSE	0.25645316023577	0.0735131164397873	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	0	0
1110032F04Rik	ENSMUSG00000046999.2	chr3	68869585	68872163	2578	FALSE	FALSE	FALSE	6.51138	0.018745	10	1	0.864107446971459	0.00123938996801396	4	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.575301440001346	0.000231533088449145	3	FALSE	FALSE	0.094485154	0.322348997	2	TRUE	FALSE	3	1	0
1110038F14Rik	ENSMUSG00000063236.6	chr15	76948505	76950979	2474	FALSE	FALSE	FALSE	0.745975	0.431176	4	1	0.124059553383488	0.469662787858959	3	FALSE	FALSE	0.138396265285007	0.42191493200666	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	0	0
1110059E24Rik	ENSMUSG00000035171.9	chr19	21581201	21652976	71775	FALSE	FALSE	FALSE	0.751519	0.344925	4	5	0.324380759976678	0.164490294125561	4	FALSE	FALSE	-0.0783955393133351	0.637825670614449	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	0.781668341	0.004904951	1	TRUE	TRUE	3	2	1
1110059G10Rik	ENSMUSG00000032551.7	chr9	122945088	122951000	5912	FALSE	FALSE	FALSE	0.464686	0.440726	2	1	NA	NA	NA	FALSE	FALSE	0.0285841048293303	0.868948527318807	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1110065P20Rik	ENSMUSG00000078570.10	chr4	124849079	124851196	2117	FALSE	FALSE	FALSE	1.171159	0.479093	6	1	0.119276174244376	0.551162318878791	2	FALSE	FALSE	-0.0342738033712083	0.828429013204371	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	1	0
