gene_name	chr	gained_nearest_tss	gained_median_sig
0610005C13Rik	chr7	FALSE	FALSE
0610009E02Rik	chr2	FALSE	FALSE
0610010K14Rik	chr11	FALSE	FALSE
0610030E20Rik	chr6	FALSE	FALSE
0610031O16Rik	chr3	FALSE	FALSE
0610038B21Rik	chr8	FALSE	FALSE
0610040F04Rik	chr6	TRUE	TRUE
0610040J01Rik	chr5	FALSE	FALSE
0610043K17Rik	chr4	FALSE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
1110002J07Rik	chr10	FALSE	TRUE
1110002L01Rik	chr12	FALSE	FALSE
1110004F10Rik	chr7	FALSE	FALSE
1110006O24Rik	chr5	FALSE	FALSE
1110015O18Rik	chr3	TRUE	TRUE
1110019D14Rik	chr6	FALSE	TRUE
1110020A21Rik	chr17	FALSE	FALSE
1110028F11Rik	chr11	FALSE	FALSE
1110028F18Rik	chr8	FALSE	FALSE
1110032F04Rik	chr3	FALSE	FALSE
1110038F14Rik	chr15	FALSE	FALSE
1110046J04Rik	chr13	FALSE	FALSE
1110059E24Rik	chr19	FALSE	FALSE
1110059G10Rik	chr9	FALSE	FALSE
1110065P20Rik	chr4	FALSE	FALSE
1190005I06Rik	chr8	FALSE	FALSE
1190028D05Rik	chr8	FALSE	TRUE
1300002E11Rik	chr16	FALSE	FALSE
1500009L16Rik	chr10	FALSE	FALSE
1500011B03Rik	chr5	FALSE	FALSE
1500012K07Rik	chr7	FALSE	FALSE
1500015A07Rik	chr18	FALSE	FALSE
1500015L24Rik	chr19	FALSE	TRUE
1500026H17Rik	chr10	FALSE	FALSE
1600002D24Rik	chr16	FALSE	FALSE
1600010M07Rik	chr7	FALSE	FALSE
1600012P17Rik	chr1	FALSE	FALSE
1600014C10Rik	chr7	FALSE	FALSE
1600014C23Rik	chr17	FALSE	FALSE
1600019K03Rik	chr16	FALSE	FALSE
1600020E01Rik	chr6	FALSE	FALSE
1600025M17Rik	chrX	FALSE	FALSE
1600027J07Rik	chr8	FALSE	FALSE
1600029I14Rik	chr9	FALSE	FALSE
1700001D01Rik	chr8	FALSE	FALSE
1700001G11Rik	chr14	FALSE	FALSE
1700001G17Rik	chr1	FALSE	FALSE
1700001J03Rik	chr5	FALSE	FALSE
1700001J11Rik	chr9	FALSE	FALSE
1700001K19Rik	chr12	FALSE	FALSE
1700001K23Rik	chr19	FALSE	FALSE
1700001L05Rik	chr15	FALSE	FALSE
1700001O22Rik	chr2	FALSE	FALSE
1700003C15Rik	chr5	FALSE	FALSE
1700003F12Rik	chr2	FALSE	FALSE
1700003G18Rik	chr7	FALSE	FALSE
1700003H04Rik	chr3	FALSE	FALSE
1700003I22Rik	chr1	FALSE	FALSE
1700003L19Rik	chr16	FALSE	FALSE
1700003M07Rik	chr4	FALSE	FALSE
1700003P14Rik	chr13	FALSE	FALSE
1700006A11Rik	chr3	FALSE	FALSE
1700006F04Rik	chr14	FALSE	FALSE
1700006H21Rik	chr13	FALSE	FALSE
1700007F19Rik	chr3	TRUE	TRUE
1700007J10Rik	chr11	FALSE	FALSE
1700007L15Rik	chr16	FALSE	FALSE
1700008C04Rik	chr12	FALSE	FALSE
1700008K24Rik	chr17	FALSE	FALSE
1700008O03Rik	chr7	FALSE	FALSE
1700008P02Rik	chr3	FALSE	FALSE
1700009C05Rik	chr6	FALSE	FALSE
1700009J07Rik	chr10	FALSE	FALSE
1700009N14Rik	chr4	FALSE	TRUE
1700010B08Rik	chr2	FALSE	FALSE
1700010I02Rik	chr3	FALSE	TRUE
1700010I14Rik	chr17	FALSE	TRUE
1700010J16Rik	chr10	FALSE	FALSE
1700010K23Rik	chr16	FALSE	TRUE
1700010N08Rik	chr7	FALSE	FALSE
1700011B04Rik	chr13	FALSE	FALSE
1700011C11Rik	chr7	FALSE	FALSE
1700011L22Rik	chr8	FALSE	TRUE
1700012A03Rik	chr6	FALSE	FALSE
1700012B07Rik	chr11	FALSE	FALSE
1700012B09Rik	chr9	FALSE	FALSE
1700012C14Rik	chr6	FALSE	TRUE
1700012D16Rik	chr3	FALSE	FALSE
1700012I11Rik	chr15	FALSE	FALSE
1700013G24Rik	chr4	FALSE	FALSE
1700013H16Rik	chrX	FALSE	FALSE
1700016A09Rik	chr8	FALSE	FALSE
1700016G22Rik	chr13	FALSE	TRUE
1700016H13Rik	chr5	FALSE	FALSE
1700016K05Rik	chr17	FALSE	FALSE
1700016L21Rik	chr1	FALSE	FALSE
1700016P04Rik	chr6	FALSE	FALSE
1700017B05Rik	chr9	FALSE	FALSE
1700017G19Rik	chr3	FALSE	TRUE
1700017J07Rik	chr2	FALSE	FALSE
1700017L05Rik	chr5	FALSE	TRUE
1700017N19Rik	chr10	FALSE	TRUE
1700018A04Rik	chr13	FALSE	FALSE
1700018B08Rik	chr8	FALSE	FALSE
1700019A02Rik	chr1	FALSE	TRUE
1700019C18Rik	chr13	FALSE	FALSE
1700019D03Rik	chr1	FALSE	TRUE
1700019E08Rik	chr2	FALSE	TRUE
1700019G24Rik	chr6	FALSE	TRUE
1700019M22Rik	chr12	FALSE	FALSE
1700019P21Rik	chr1	FALSE	FALSE
1700020G17Rik	chr10	FALSE	FALSE
1700020L24Rik	chr11	FALSE	FALSE
1700020M21Rik	chr9	FALSE	FALSE
