gene_name	chr	in_mecp2_no_mch	k119ub_peak_gain
Emcn	chr3	FALSE	TRUE
Slc13a1	chr6	FALSE	TRUE
Fgf1	chr18	FALSE	TRUE
Pcdh9	chr14	FALSE	TRUE
Cog5	chr12	FALSE	TRUE
Col9a1	chr1	FALSE	TRUE
Gprin3	chr6	FALSE	TRUE
Patj	chr4	FALSE	TRUE
Plekha6	chr1	FALSE	FALSE
Cerkl	chr2	FALSE	TRUE
Hgd	chr16	FALSE	TRUE
Cmip	chr8	FALSE	FALSE
Ccdc192	chr18	FALSE	TRUE
Snca	chr6	FALSE	TRUE
Lamb3	chr1	FALSE	TRUE
Col27a1	chr4	FALSE	FALSE
Ttr	chr18	FALSE	TRUE
Clnk	chr5	FALSE	TRUE
Svep1	chr4	FALSE	TRUE
Gm973	chr1	FALSE	FALSE
Kbtbd12	chr6	FALSE	TRUE
Ptchd4	chr17	FALSE	TRUE
Npvf	chr6	FALSE	TRUE
Astn2	chr4	FALSE	TRUE
Hcn1	chr13	FALSE	TRUE
Adamts14	chr10	FALSE	FALSE
Ercc8	chr13	FALSE	TRUE
Fam83g	chr11	FALSE	FALSE
Trio	chr15	FALSE	FALSE
Bcl2l15	chr3	FALSE	TRUE
F830045P16Rik	chr2	FALSE	TRUE
Pou2f2	chr7	FALSE	FALSE
St18	chr1	FALSE	TRUE
Dgki	chr6	FALSE	FALSE
Ptgs1	chr2	FALSE	FALSE
Pnpla7	chr2	FALSE	FALSE
Cep128	chr12	FALSE	TRUE
Cd83	chr13	FALSE	FALSE
Lipc	chr9	FALSE	TRUE
Ap3b1	chr13	FALSE	FALSE
Tdo2	chr3	FALSE	TRUE
Tmprss11g	chr5	FALSE	TRUE
Lrrk1	chr7	FALSE	FALSE
Kif18a	chr2	FALSE	TRUE
Dbn1	chr13	FALSE	FALSE
Kcna2	chr3	FALSE	FALSE
Ptgis	chr2	FALSE	FALSE
Ntn4	chr10	FALSE	TRUE
Islr2	chr9	FALSE	FALSE
Fam81b	chr13	FALSE	TRUE
Bhmt	chr13	FALSE	TRUE
Scg2	chr1	FALSE	TRUE
Gpm6a	chr8	FALSE	TRUE
Grip2	chr6	FALSE	FALSE
Emid1	chr11	FALSE	FALSE
Sox6	chr7	FALSE	FALSE
Myo16	chr8	FALSE	TRUE
Thbs2	chr17	FALSE	TRUE
Mvk	chr5	FALSE	FALSE
Dcc	chr18	FALSE	FALSE
Slc6a12	chr6	FALSE	FALSE
Nek10	chr14	FALSE	FALSE
Spam1	chr6	FALSE	TRUE
Tbc1d31	chr15	FALSE	TRUE
Tex26	chr5	FALSE	FALSE
Vwa8	chr14	FALSE	TRUE
Tgif1	chr17	FALSE	FALSE
Asap1	chr15	FALSE	TRUE
Phldb2	chr16	FALSE	TRUE
Tpbg	chr9	FALSE	FALSE
Pkdcc	chr17	FALSE	FALSE
Cep170	chr1	FALSE	TRUE
Lypd6b	chr2	FALSE	FALSE
Hic1	chr11	FALSE	FALSE
Kera	chr10	FALSE	TRUE
Atp2b3	chrX	FALSE	FALSE
Fbln5	chr12	FALSE	FALSE
Micu3	chr8	FALSE	TRUE
Cntn6	chr6	FALSE	TRUE
Gpr22	chr12	FALSE	TRUE
Timp3	chr10	FALSE	FALSE
Lgsn	chr1	FALSE	TRUE
Plxnd1	chr6	FALSE	TRUE
Prrt4	chr6	FALSE	FALSE
Mstn	chr1	FALSE	TRUE
Ntng2	chr2	FALSE	FALSE
Frem1	chr4	FALSE	FALSE
Aqp6	chr15	FALSE	TRUE
Ccbe1	chr18	FALSE	FALSE
Mta1	chr12	FALSE	FALSE
Ddx43	chr9	FALSE	FALSE
Arl6ip6	chr2	FALSE	TRUE
Cxcl2	chr5	FALSE	FALSE
Slc9a3	chr13	FALSE	FALSE
Dixdc1	chr9	FALSE	FALSE
Tpd52	chr3	FALSE	TRUE
Lta4h	chr10	FALSE	TRUE
Fhit	chr14	FALSE	TRUE
Grb14	chr2	FALSE	FALSE
Epb41l5	chr1	FALSE	TRUE
Slain2	chr5	FALSE	TRUE
Kctd17	chr15	FALSE	FALSE
Sstr2	chr11	FALSE	FALSE
Neu4	chr1	FALSE	FALSE
Muc5b	chr7	FALSE	FALSE
Acsl5	chr19	FALSE	TRUE
Micall1	chr15	FALSE	FALSE
Rc3h1	chr1	FALSE	TRUE
Rnf128	chrX	FALSE	TRUE
Gopc	chr10	FALSE	TRUE
Rufy3	chr5	FALSE	TRUE
Tbc1d21	chr9	FALSE	FALSE
Gucd1	chr10	FALSE	FALSE
Glce	chr9	TRUE	FALSE
Tmem255b	chr8	FALSE	FALSE
Hcn2	chr10	FALSE	FALSE
Mpped1	chr15	FALSE	FALSE
Wif1	chr10	FALSE	FALSE
Asb1	chr1	FALSE	FALSE
Runx2	chr17	FALSE	FALSE
Vps53	chr11	FALSE	FALSE
Prelp	chr1	FALSE	FALSE
Muc6	chr7	FALSE	FALSE
Abca4	chr3	FALSE	TRUE
Hrk	chr5	FALSE	FALSE
Aldh1a3	chr7	FALSE	FALSE
Ntn5	chr7	FALSE	FALSE
Chid1	chr7	FALSE	FALSE
4930453N24Rik	chr16	FALSE	TRUE
Kif13a	chr13	FALSE	FALSE
Stmnd1	chr13	FALSE	FALSE
Pth1r	chr9	FALSE	FALSE
Gabrb1	chr5	FALSE	TRUE
Atp2c2	chr8	FALSE	FALSE
Cd80	chr16	FALSE	TRUE
Ranbp3l	chr15	FALSE	TRUE
Fbn1	chr2	FALSE	FALSE
Lgals3	chr14	FALSE	FALSE
Celf5	chr10	FALSE	FALSE
Ptpn18	chr1	FALSE	FALSE
Kcnj10	chr1	FALSE	TRUE
Pde5a	chr3	FALSE	FALSE
Hsd17b4	chr18	FALSE	TRUE
Fggy	chr4	FALSE	TRUE
Ywhaq	chr12	FALSE	TRUE
Wdfy4	chr14	FALSE	FALSE
Gucy2d	chr7	FALSE	FALSE
Eln	chr5	FALSE	FALSE
Hap1	chr11	FALSE	FALSE
Nos1ap	chr1	FALSE	FALSE
Dot1l	chr10	FALSE	FALSE
C7	chr15	FALSE	FALSE
Htra3	chr5	FALSE	FALSE
Triobp	chr15	FALSE	TRUE
Gatb	chr3	FALSE	TRUE
Zfp120	chr2	FALSE	FALSE
Smad4	chr18	FALSE	FALSE
Pck2	chr14	FALSE	FALSE
Sp6	chr11	FALSE	FALSE
Ctbp2	chr7	FALSE	FALSE
Dgcr6	chr16	FALSE	FALSE
Rgs7bp	chr13	FALSE	TRUE
Slc9a1	chr4	FALSE	FALSE
Ncl	chr1	FALSE	FALSE
Itga1	chr13	FALSE	FALSE
Slc39a8	chr3	FALSE	FALSE
Mknk2	chr10	FALSE	TRUE
Doc2b	chr11	FALSE	FALSE
Rorc	chr3	FALSE	TRUE
Yjefn3	chr8	TRUE	TRUE
Wdr19	chr5	FALSE	TRUE
AA467197	chr2	FALSE	TRUE
Slc36a1	chr11	FALSE	FALSE
Spon1	chr7	FALSE	FALSE
Sh2d3c	chr2	FALSE	FALSE
Smo	chr6	FALSE	FALSE
Siglech	chr7	FALSE	TRUE
Aco1	chr4	FALSE	TRUE
Nfkb1	chr3	FALSE	FALSE
Zdbf2	chr1	FALSE	FALSE
Fscn1	chr5	FALSE	FALSE
Klhl5	chr5	FALSE	TRUE
H6pd	chr4	FALSE	FALSE
Phpt1	chr2	FALSE	FALSE
Casp6	chr3	FALSE	TRUE
Tcea3	chr4	FALSE	FALSE
Ptpn12	chr5	FALSE	TRUE
Pdzd11	chrX	FALSE	TRUE
Lysmd4	chr7	FALSE	TRUE
Mmp9	chr2	FALSE	FALSE
Trpc5os	chrX	FALSE	FALSE
Traf4	chr11	FALSE	FALSE
Cemip2	chr19	FALSE	TRUE
Slc28a2b	chr2	FALSE	TRUE
Gypa	chr8	FALSE	TRUE
Nceh1	chr3	FALSE	FALSE
Pcdhac2	chr18	FALSE	TRUE
Fam171a2	chr11	FALSE	FALSE
Ppp2r2d	chr7	FALSE	FALSE
Dtx4	chr19	FALSE	TRUE
Kat6b	chr14	FALSE	FALSE
Espn	chr4	FALSE	FALSE
Pnpla8	chr12	FALSE	TRUE
2810459M11Rik	chr1	TRUE	FALSE
Igdcc3	chr9	FALSE	FALSE
Cbr3	chr16	FALSE	FALSE
Guca2b	chr4	FALSE	FALSE
Nudt4	chr10	FALSE	TRUE
Smco4	chr9	FALSE	FALSE
Zbtb38	chr9	FALSE	TRUE
Rnf8	chr17	FALSE	FALSE
Scn3b	chr9	FALSE	FALSE
Slc43a1	chr2	FALSE	FALSE
Zfr	chr15	FALSE	FALSE
Cenpu	chr8	FALSE	FALSE
Scml4	chr10	FALSE	FALSE
Gmpr	chr13	FALSE	FALSE
Crygn	chr5	FALSE	TRUE
Pja2	chr17	FALSE	TRUE
Hid1	chr11	FALSE	FALSE
Hpgds	chr6	FALSE	FALSE
Rbm47	chr5	FALSE	FALSE
Mab21l4	chr1	FALSE	FALSE
Pid1	chr1	FALSE	TRUE
Esr2	chr12	TRUE	FALSE
Zfr2	chr10	FALSE	FALSE
Fam124a	chr14	FALSE	TRUE
Ip6k3	chr17	FALSE	FALSE
Sim2	chr16	FALSE	FALSE
Traf3ip3	chr1	FALSE	FALSE
Gfra3	chr18	FALSE	FALSE
Nectin3	chr16	FALSE	TRUE
Nt5dc3	chr10	FALSE	FALSE
Amz1	chr5	FALSE	FALSE
Hoxb13	chr11	FALSE	FALSE
Eif4e	chr3	FALSE	FALSE
Pou6f2	chr13	FALSE	TRUE
Slc2a2	chr3	FALSE	FALSE
Grm6	chr11	FALSE	FALSE
Grin1	chr2	FALSE	FALSE
