"seqnames","start","end","width","strand","peak_id","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","mecp2_Fold","mecp2_FDR"
"chr1",180459686,180460082,397,"*","mecp2_peak_1",-0.056986402,0.823419217,"Intron (ENSMUST00000136521.1/381310, intron 1 of 3)",1,180437882,180462612,24731,2,"381310","ENSMUST00000210737.1",2530,"ENSMUSG00000053963","Stum","mechanosensory transduction mediator",-0.056986402,0.823419217
"chr1",76483756,76484777,1022,"*","mecp2_peak_2",0.513047904,0.058236208,"Intron (ENSMUST00000185857.1/ENSMUST00000185857.1, intron 1 of 1)",1,76489133,76501444,12312,1,"620079","ENSMUST00000190362.6",-4356,"ENSMUSG00000100553","Gm17751","predicted gene, 17751",0.513047904,0.058236208
"chr1",190591140,190592520,1381,"*","mecp2_peak_3",-0.00083742,0.99816675,"Distal Intergenic",1,190403645,190417145,13501,1,"433390","ENSMUST00000193966.1",187495,"ENSMUSG00000103644","Gm29678","predicted gene, 29678",-0.00083742,0.99816675
"chr1",131763874,131764722,849,"*","mecp2_peak_4",-0.00522171,0.989560166,"3' UTR",1,131750491,131753987,3497,1,"320718","ENSMUST00000147800.1",13383,"ENSMUSG00000042268","Slc26a9","solute carrier family 26, member 9",-0.00522171,0.989560166
"chr1",170644223,170645058,836,"*","mecp2_peak_5",-0.035536849,0.898955012,"Promoter (<=1kb)",1,170644532,170682789,38258,1,"320078","ENSMUST00000046792.8",0,"ENSMUSG00000038463","Olfml2b","olfactomedin-like 2B",-0.035536849,0.898955012
"chr1",92638066,92639417,1352,"*","mecp2_peak_6",-0.082781652,0.718468772,"Promoter (<=1kb)",1,92637145,92639909,2765,2,"66915","ENSMUST00000154129.7",492,"ENSMUSG00000073616","Cops9","COP9 signalosome subunit 9",-0.082781652,0.718468772
"chr1",136943256,136944347,1092,"*","mecp2_peak_7",-0.051751654,0.838948591,"Exon (ENSMUST00000027649.13/26424, exon 5 of 9)",1,136890357,136940583,50227,2,"26424","ENSMUST00000192587.1",-2673,"ENSMUSG00000026398","Nr5a2","nuclear receptor subfamily 5, group A, member 2",-0.051751654,0.838948591
"chr1",57406202,57407133,932,"*","mecp2_peak_8",0.004705897,0.990856698,"Promoter (<=1kb)",1,57406328,57417953,11626,1,"68115","ENSMUST00000027114.5",0,"ENSMUSG00000025971","Maip1","matrix AAA peptidase interacting protein 1",0.004705897,0.990856698
"chr1",20804738,20805886,1149,"*","mecp2_peak_9",-0.039212399,0.885136599,"Promoter (<=1kb)",1,20803165,20804933,1769,2,"17215","ENSMUST00000191061.1",0,"ENSMUSG00000041859","Mcm3","minichromosome maintenance complex component 3",-0.039212399,0.885136599
"chr1",190177979,190178614,636,"*","mecp2_peak_10",-0.109131856,0.614423704,"Intron (ENSMUST00000110279.3/102632463, intron 1 of 1)",1,190118035,190170714,52680,2,"19130","ENSMUST00000175916.7",-7265,"ENSMUSG00000010175","Prox1","prospero homeobox 1",-0.109131856,0.614423704
"chr1",194025320,194026437,1118,"*","mecp2_peak_11",0.161984784,0.430576927,"Distal Intergenic",1,194212187,194222759,10573,2,"74942","ENSMUST00000193395.1",196322,"ENSMUSG00000103692","4930503O07Rik","RIKEN cDNA 4930503O07 gene",0.161984784,0.430576927
"chr1",133345196,133346904,1709,"*","mecp2_peak_12",-0.155380909,0.464806542,"Distal Intergenic",1,133350510,133360325,9816,1,"19702","ENSMUST00000094556.2",-3606,"ENSMUSG00000070645","Ren2","renin 2 tandem duplication of Ren1",-0.155380909,0.464806542
"chr1",154822411,154823969,1559,"*","mecp2_peak_13",-0.00320028,0.993911026,"Intron (ENSMUST00000211821.1/12290, intron 1 of 46)",1,154488044,154816941,328898,2,"12290","ENSMUST00000238369.1",-5470,"ENSMUSG00000004110","Cacna1e","calcium channel, voltage-dependent, R type, alpha 1E subunit",-0.00320028,0.993911026
"chr1",74782161,74783357,1197,"*","mecp2_peak_14",-0.03713622,0.896458,"Promoter (<=1kb)",1,74782439,74784602,2164,1,"22420","ENSMUST00000189544.1",0,"ENSMUSG00000033227","Wnt6","wingless-type MMTV integration site family, member 6",-0.03713622,0.896458
"chr1",170394661,170396077,1417,"*","mecp2_peak_15",-0.017259358,0.957242144,"Intron (ENSMUST00000160456.7/70729, intron 2 of 9)",1,170338209,170454914,116706,2,"70729","ENSMUST00000160816.7",58837,"ENSMUSG00000038473","Nos1ap","nitric oxide synthase 1 (neuronal) adaptor protein",-0.017259358,0.957242144
"chr1",129511229,129512575,1347,"*","mecp2_peak_16",1.131534928,0.001637493,"Intron (ENSMUST00000073527.12/210417, intron 2 of 27)",1,129537511,129629046,91536,1,"210417","ENSMUST00000152305.2",-24936,"ENSMUSG00000042581","Thsd7b","thrombospondin, type I, domain containing 7B",1.131534928,0.001637493
"chr1",172570914,172572319,1406,"*","mecp2_peak_17",-0.082394246,0.713353242,"Distal Intergenic",1,172559906,172563716,3811,1,"240916","ENSMUST00000177086.1",11008,"ENSMUSG00000049598","Vsig8","V-set and immunoglobulin domain containing 8",-0.082394246,0.713353242
