"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant","label_strength"
"Ercc8",3.29631571834569,1.82e-25,2,3,TRUE,1.63024523740338,3.51e-44,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.92656095574907
"Slc13a1",3.2649289034888,1.26e-38,6,6,TRUE,1.66132681951532,1.67e-81,8,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.92625572300412
"Gm15421",3.03684766346779,9.13e-24,1,3,TRUE,1.66521248105821,9.98e-70,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.70206014452601
"Gm16291",2.89917890089743,6.08e-25,7,8,TRUE,1.60726010973625,1.24e-44,8,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.50643901063368
"Fmo9",3.137006941,3.99e-24,1,1,TRUE,1.347669132,1.12e-12,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.484676073
"Gm17750",2.63937486071374,1.38e-22,4,4,TRUE,1.83235809841026,3.48e-107,5,5,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.47173295912399
"Gm15663",3.0827199637991,1.24e-27,3,3,TRUE,1.38252304244195,6.63e-37,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.46524300624105
"Mir201",2.311478741,1.08e-12,1,1,TRUE,2.133950184,9.82e-60,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.445428925
"Csmd3",3.00219285778102,2.14e-14,1,2,TRUE,1.41454696353663,4.97e-27,7,7,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.41673982131766
"2810049E08Rik",2.61397063468296,5.42e-19,2,4,TRUE,1.792296078,4.94e-40,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.40626671268296
"A330023F24Rik",-1.42442358748118,3.53e-07,3,5,TRUE,-1.26156240795015,1.26e-22,3,4,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.68598599543133
"Csmd2os",-1.25529189522252,1.35e-08,13,24,TRUE,-0.945396649888862,4.37e-16,9,12,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.20068854511138
"Papola",-1.417392485,0.000334452,1,1,TRUE,-0.649370622195554,3.63e-05,1,2,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.06676310719555
"Brpf3",-1.17078758240308,1.29e-05,4,8,TRUE,-0.879053041044852,2.05e-16,3,3,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.04984062344793
"Plekha6",-1.15483129932731,4.67e-08,6,15,TRUE,-0.799558529297458,4.62e-37,11,12,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.95438982862477
