"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"0610009E02Rik",0.023639555,0.937779745,0,1,FALSE,0.156909241,0.545670537,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"0610038B21Rik",-0.0919453697392345,0.591762613,0,3,FALSE,0.311325100925749,0.000717987,3,5,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"0610040J01Rik",-0.058364766,0.811852365,0,1,FALSE,-0.306658613,0.006250169,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1110002E22Rik",1.82331143072214,4.72e-10,1,2,TRUE,0.870705717018986,1.04e-34,6,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1110002J07Rik",1.36307197299962,2.07e-08,1,4,TRUE,0.312707312190729,0.001059497,2,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1110019D14Rik",1.62956924174184,5.43e-09,4,5,TRUE,0.943526056457297,6.81e-15,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1110032F04Rik",-0.200654244,0.368911059,0,1,FALSE,0.094485154,0.322348997,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1500009L16Rik",0.123780847362441,0.450312591,0,2,FALSE,0.139517807812433,0.242696141,0,2,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1500015L24Rik",1.61035936603028,8.42e-06,2,3,TRUE,0.860041893,2.56e-16,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1600002D24Rik",0.352857382246346,0.048394831,1,12,TRUE,0.198941509412812,0.045808161,1,7,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1600014C10Rik",0.038819184,0.886270827,0,1,FALSE,0.631493529,5.09e-05,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700001K23Rik",-0.029960206,0.915840416,0,1,FALSE,0.567994375,4.72e-08,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700003F12Rik",0.052794805,0.835675728,0,1,FALSE,0.133189468,0.307004406,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700003M07Rik",0.061426608,0.801935969,0,1,FALSE,-0.0384793602317699,0.025063466,2,2,TRUE,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700006F04Rik",0.0205712148891562,0.702216996,0,4,FALSE,0.539235880468017,8.01e-10,5,7,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700008K24Rik",-0.205741276434589,0.191275758,0,7,FALSE,-0.265124594391993,0.029990599,1,6,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700010I14Rik",-0.0850720887055979,0.62600857,0,3,FALSE,-0.132278305133969,0.309401418,0,2,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700011B04Rik",-0.00596354457366805,0.682308614,0,3,FALSE,0.322081555598308,0.00491176,2,4,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700011L22Rik",2.20344808589694,1.53e-17,1,2,TRUE,1.071475122,7.14e-30,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700012A03Rik",-0.0483351706125463,0.22562499,0,4,FALSE,0.522200967740501,5.26e-09,5,11,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700012D16Rik",0.420801711413542,0.037116726,2,16,TRUE,0.548881289075474,1.82e-09,4,10,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700016K05Rik",-0.0425538418338235,0.844091468,0,2,FALSE,0.0231983625913142,0.191295715,0,3,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700017B05Rik",0.080235477071703,0.674032606,0,3,FALSE,-0.112035379294316,0.41762513,0,3,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700017L05Rik",0.107426449,0.578782935,0,1,FALSE,0.689208803488029,8.62e-12,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700017N19Rik",1.620847188,5.26e-11,1,1,TRUE,1.50460229235622,1.69e-22,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700018B08Rik",-0.720943156480518,0.001409849,1,11,TRUE,-0.454162565504519,1.77e-05,10,21,TRUE,"Significant","Q3 (MeCP2 down / H2A down)"
"1700019A02Rik",1.17973055,0.00041711,1,1,TRUE,1.632337825,6.36e-24,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
