gene_name	chr	mch_hyper	at_gained_anchor
0610010K14Rik	chr11	FALSE	FALSE
0610030E20Rik	chr6	FALSE	FALSE
0610040J01Rik	chr5	FALSE	FALSE
1110002E22Rik	chr3	TRUE	FALSE
1110004F10Rik	chr7	FALSE	TRUE
1110025L11Rik	chr16	FALSE	FALSE
1110032F04Rik	chr3	FALSE	FALSE
1110038F14Rik	chr15	FALSE	FALSE
1110059E24Rik	chr19	FALSE	FALSE
1110059G10Rik	chr9	FALSE	FALSE
1110065P20Rik	chr4	FALSE	FALSE
1190005I06Rik	chr8	FALSE	FALSE
1500009L16Rik	chr10	FALSE	FALSE
1500011B03Rik	chr5	FALSE	FALSE
1600012H06Rik	chr17	FALSE	FALSE
1600014C10Rik	chr7	FALSE	FALSE
1600014C23Rik	chr17	FALSE	FALSE
1700001F09Rik	chr14	FALSE	FALSE
1700001J03Rik	chr5	FALSE	FALSE
1700001K19Rik	chr12	FALSE	FALSE
1700001O22Rik	chr2	FALSE	FALSE
1700003E16Rik	chr6	FALSE	FALSE
1700003F12Rik	chr2	FALSE	FALSE
1700003H04Rik	chr3	FALSE	FALSE
1700006A11Rik	chr3	FALSE	FALSE
1700008O03Rik	chr7	FALSE	FALSE
1700008P02Rik	chr3	FALSE	FALSE
1700009N14Rik	chr4	FALSE	FALSE
1700010B08Rik	chr2	FALSE	FALSE
1700010I14Rik	chr17	FALSE	FALSE
1700011L22Rik	chr8	TRUE	FALSE
1700012A03Rik	chr6	FALSE	FALSE
1700012B07Rik	chr11	FALSE	FALSE
1700012B09Rik	chr9	FALSE	FALSE
1700013G24Rik	chr4	FALSE	FALSE
1700013H16Rik	chrX	FALSE	FALSE
1700016H13Rik	chr5	FALSE	FALSE
1700017B05Rik	chr9	FALSE	FALSE
1700017N19Rik	chr10	TRUE	FALSE
1700018B08Rik	chr8	FALSE	TRUE
1700018F24Rik	chr5	FALSE	FALSE
1700019A02Rik	chr1	FALSE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
1700020A23Rik	chr2	FALSE	FALSE
1700020L24Rik	chr11	FALSE	FALSE
1700020N01Rik	chr10	FALSE	FALSE
1700022I11Rik	chr4	FALSE	FALSE
1700024G13Rik	chr14	FALSE	FALSE
1700025B11Rik	chr15	FALSE	FALSE
1700025C18Rik	chr2	FALSE	TRUE
1700025G04Rik	chr1	FALSE	FALSE
1700028J19Rik	chr7	FALSE	FALSE
1700028K03Rik	chr5	FALSE	FALSE
1700029F12Rik	chr13	FALSE	TRUE
1700029H14Rik	chr8	FALSE	FALSE
1700030J22Rik	chr8	FALSE	FALSE
1700030K09Rik	chr8	FALSE	FALSE
1700031F05Rik	chrX	FALSE	FALSE
1700031L13Rik	chr5	FALSE	FALSE
1700034E13Rik	chr18	FALSE	TRUE
1700034J05Rik	chr6	FALSE	FALSE
1700037C18Rik	chr16	FALSE	FALSE
1700056E22Rik	chr1	FALSE	FALSE
1700066M21Rik	chr1	FALSE	FALSE
1700067K01Rik	chr8	FALSE	FALSE
1700067P10Rik	chr17	FALSE	FALSE
1700069L16Rik	chr5	FALSE	FALSE
1700088E04Rik	chr15	FALSE	FALSE
1700093K21Rik	chr11	FALSE	FALSE
1700102P08Rik	chr9	FALSE	FALSE
1700109H08Rik	chr5	FALSE	TRUE
1700113H08Rik	chr10	FALSE	TRUE
1700122O11Rik	chr17	FALSE	FALSE
1700123K08Rik	chr5	FALSE	FALSE
1700123O20Rik	chr14	FALSE	FALSE
1700129C05Rik	chr14	FALSE	FALSE
1810009A15Rik	chr19	FALSE	FALSE
1810009J06Rik	chr6	FALSE	FALSE
1810010H24Rik	chr11	FALSE	FALSE
1810024B03Rik	chr2	FALSE	FALSE
