gene_name	chr	mch_hyper	k119ub_gained_at_anchor
1110004F10Rik	chr7	FALSE	FALSE
1600012H06Rik	chr17	FALSE	TRUE
1600014C10Rik	chr7	FALSE	TRUE
1700003H04Rik	chr3	FALSE	FALSE
1700011L22Rik	chr8	TRUE	TRUE
1700016H13Rik	chr5	FALSE	FALSE
1700017N19Rik	chr10	TRUE	FALSE
1700018B08Rik	chr8	FALSE	FALSE
1700019A02Rik	chr1	FALSE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
1700025C18Rik	chr2	FALSE	TRUE
1700029F12Rik	chr13	FALSE	TRUE
1700034E13Rik	chr18	FALSE	TRUE
1700034J05Rik	chr6	FALSE	FALSE
1700109H08Rik	chr5	FALSE	FALSE
1700113H08Rik	chr10	FALSE	FALSE
1700129C05Rik	chr14	FALSE	FALSE
2510009E07Rik	chr16	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
3110009E18Rik	chr1	FALSE	FALSE
3425401B19Rik	chr14	FALSE	TRUE
4930433I11Rik	chr7	FALSE	FALSE
4930447A16Rik	chr15	TRUE	TRUE
4930447C04Rik	chr12	FALSE	FALSE
4930453N24Rik	chr16	FALSE	TRUE
4930469K13Rik	chr11	FALSE	TRUE
4930564D02Rik	chr3	FALSE	TRUE
4931422A03Rik	chr2	FALSE	FALSE
4931428L18Rik	chr1	TRUE	FALSE
4932414N04Rik	chr2	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
4933409G03Rik	chr2	FALSE	FALSE
4933427D14Rik	chr11	FALSE	FALSE
4933436I01Rik	chrX	FALSE	TRUE
5530401A14Rik	chr11	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
6030458C11Rik	chr15	FALSE	FALSE
9330182O14Rik	chr15	FALSE	TRUE
9430038I01Rik	chr7	FALSE	FALSE
9830107B12Rik	chr17	FALSE	FALSE
A2m	chr6	FALSE	FALSE
A930004D18Rik	chr2	TRUE	TRUE
A930007A09Rik	chr16	FALSE	FALSE
A930009A15Rik	chr10	TRUE	FALSE
AA467197	chr2	FALSE	TRUE
AI597479	chr1	FALSE	FALSE
AI854703	chr6	FALSE	FALSE
AU041133	chr10	FALSE	FALSE
AW554918	chr18	FALSE	FALSE
Aacs	chr5	FALSE	FALSE
Aadac	chr3	FALSE	TRUE
Aadacl2fm1	chr3	FALSE	FALSE
Aadacl2fm3	chr3	FALSE	FALSE
Aasdh	chr5	FALSE	TRUE
Aass	chr6	FALSE	FALSE
Abca12	chr1	FALSE	FALSE
Abca8a	chr11	FALSE	FALSE
Abca9	chr11	FALSE	FALSE
Abcc12	chr8	TRUE	TRUE
Abcd3	chr3	FALSE	TRUE
Abce1	chr8	FALSE	FALSE
Abcg2	chr6	FALSE	FALSE
Abhd3	chr18	FALSE	FALSE
Abi2	chr1	FALSE	FALSE
Abl2	chr1	FALSE	FALSE
Abra	chr15	FALSE	TRUE
Acaa2	chr18	FALSE	FALSE
Acacb	chr5	FALSE	FALSE
Acan	chr7	FALSE	FALSE
Acap2	chr16	FALSE	TRUE
Acbd6	chr1	FALSE	FALSE
Acbd7	chr2	FALSE	TRUE
Ackr3	chr1	FALSE	TRUE
Acot1	chr12	FALSE	FALSE
Acot3	chr12	FALSE	FALSE
Acot4	chr12	FALSE	FALSE
Acot5	chr12	FALSE	FALSE
Acoxl	chr2	FALSE	FALSE
Actb	chr5	FALSE	FALSE
Acte1	chr7	FALSE	FALSE
Actl10	chr2	FALSE	FALSE
Actl7b	chr4	FALSE	FALSE
Actl9	chr17	FALSE	FALSE
Actn2	chr13	FALSE	FALSE
Actr3	chr1	FALSE	FALSE
Actr3b	chr5	FALSE	FALSE
Actr5	chr2	FALSE	FALSE
Actrt2	chr4	FALSE	FALSE
Actrt3	chr3	FALSE	FALSE
Acvr1	chr2	FALSE	FALSE
Acvr1c	chr2	FALSE	FALSE
Acvr2a	chr2	FALSE	TRUE
Acyp2	chr11	FALSE	FALSE
Adam12	chr7	TRUE	TRUE
Adam17	chr12	FALSE	FALSE
Adam28	chr14	FALSE	FALSE
Adam7	chr14	FALSE	TRUE
Adamts1	chr16	FALSE	TRUE
Adamts10	chr17	FALSE	FALSE
Adamts18	chr8	TRUE	TRUE
Adamts20	chr15	FALSE	FALSE
Adamts5	chr16	FALSE	TRUE
Adamts6	chr13	FALSE	TRUE
Adamts7	chr9	FALSE	FALSE
Adar	chr3	FALSE	FALSE
Adcy2	chr13	FALSE	FALSE
Adcy6	chr15	FALSE	FALSE
Adcyap1	chr17	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
