gene_name	chr	mch_hyper	k119ub_gained_at_anchor
0610010F05Rik	chr11	FALSE	FALSE
1110004F10Rik	chr7	FALSE	FALSE
1300017J02Rik	chr9	FALSE	FALSE
1600012H06Rik	chr17	FALSE	TRUE
1600014C10Rik	chr7	FALSE	TRUE
1700001L19Rik	chr13	FALSE	TRUE
1700003F12Rik	chr2	FALSE	FALSE
1700003H04Rik	chr3	FALSE	FALSE
1700016D06Rik	chr8	FALSE	FALSE
1700016H13Rik	chr5	FALSE	FALSE
1700019D03Rik	chr1	TRUE	TRUE
1700037C18Rik	chr16	FALSE	FALSE
1810058I24Rik	chr6	FALSE	TRUE
2900026A02Rik	chr5	FALSE	FALSE
3110009E18Rik	chr1	FALSE	TRUE
4930447C04Rik	chr12	FALSE	FALSE
4930469K13Rik	chr11	FALSE	FALSE
4930523C07Rik	chr1	TRUE	FALSE
4930564D02Rik	chr3	FALSE	TRUE
4931422A03Rik	chr2	FALSE	FALSE
4931428L18Rik	chr1	TRUE	FALSE
4932415D10Rik	chr10	FALSE	FALSE
4933427D14Rik	chr11	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
9330182O14Rik	chr15	FALSE	TRUE
A630001G21Rik	chr1	FALSE	FALSE
A830031A19Rik	chr11	FALSE	FALSE
AA467197	chr2	FALSE	TRUE
AU041133	chr10	FALSE	FALSE
Aadacl2fm3	chr3	FALSE	FALSE
Abca9	chr11	FALSE	FALSE
Abcc12	chr8	TRUE	TRUE
Abcc4	chr14	FALSE	FALSE
Abi2	chr1	FALSE	FALSE
Abi3bp	chr16	FALSE	FALSE
Abl1	chr2	FALSE	FALSE
Abl2	chr1	FALSE	FALSE
Abra	chr15	FALSE	FALSE
Acaca	chr11	FALSE	FALSE
Acacb	chr5	FALSE	FALSE
Acan	chr7	FALSE	FALSE
Acap2	chr16	FALSE	TRUE
Acbd6	chr1	FALSE	FALSE
Acbd7	chr2	FALSE	TRUE
Ackr3	chr1	FALSE	TRUE
Acot4	chr12	FALSE	FALSE
Acoxl	chr2	FALSE	FALSE
Acte1	chr7	FALSE	FALSE
Actl10	chr2	FALSE	FALSE
Actl9	chr17	FALSE	FALSE
Actn2	chr13	FALSE	FALSE
Actr3b	chr5	FALSE	FALSE
Actr5	chr2	FALSE	FALSE
Actrt2	chr4	FALSE	FALSE
Actrt3	chr3	FALSE	FALSE
Acvr1	chr2	FALSE	FALSE
Acvr2a	chr2	FALSE	TRUE
Adam12	chr7	TRUE	FALSE
Adam17	chr12	FALSE	FALSE
Adam7	chr14	FALSE	TRUE
Adamts1	chr16	FALSE	TRUE
Adamts17	chr7	FALSE	FALSE
Adamts18	chr8	TRUE	TRUE
Adamts20	chr15	FALSE	FALSE
Adamts3	chr5	FALSE	FALSE
Adamts6	chr13	FALSE	TRUE
Adamts7	chr9	FALSE	FALSE
Adamtsl1	chr4	FALSE	TRUE
Adcy8	chr15	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Adgrb3	chr1	FALSE	TRUE
Adgrf5	chr17	FALSE	FALSE
Adgrg6	chr10	FALSE	FALSE
Adgrg7	chr16	FALSE	FALSE
Adgrl3	chr5	FALSE	TRUE
Adgrv1	chr13	FALSE	FALSE
Adnp	chr2	FALSE	FALSE
Adora2a	chr10	FALSE	FALSE
Adra1b	chr11	FALSE	FALSE
Adra2a	chr19	FALSE	FALSE
Aebp2	chr6	FALSE	FALSE
Afap1	chr5	FALSE	FALSE
Agbl1	chr7	TRUE	FALSE
Agbl4	chr4	FALSE	FALSE
Agmo	chr12	FALSE	FALSE
Ago3	chr4	FALSE	FALSE
Ahi1	chr10	FALSE	TRUE
Ahnak	chr19	FALSE	FALSE
Ahr	chr12	FALSE	TRUE
Aim2	chr1	TRUE	FALSE
Ajap1	chr4	FALSE	FALSE
