gene_name	chr	mecp2_gained	at_gained_anchor
0610040J01Rik	chr5	FALSE	FALSE
1110002E22Rik	chr3	FALSE	FALSE
1110004F10Rik	chr7	FALSE	TRUE
1110032F04Rik	chr3	FALSE	FALSE
1110059E24Rik	chr19	FALSE	FALSE
1500009L16Rik	chr10	FALSE	FALSE
1600014C10Rik	chr7	FALSE	FALSE
1700001J03Rik	chr5	FALSE	FALSE
1700001O22Rik	chr2	FALSE	FALSE
1700003F12Rik	chr2	FALSE	TRUE
1700008O03Rik	chr7	FALSE	FALSE
1700008P02Rik	chr3	FALSE	FALSE
1700009N14Rik	chr4	TRUE	FALSE
1700010I14Rik	chr17	FALSE	FALSE
1700011L22Rik	chr8	FALSE	FALSE
1700012A03Rik	chr6	FALSE	FALSE
1700013H16Rik	chrX	FALSE	FALSE
1700017B05Rik	chr9	FALSE	FALSE
1700017N19Rik	chr10	TRUE	FALSE
1700018B08Rik	chr8	FALSE	FALSE
1700019A02Rik	chr1	TRUE	FALSE
1700019D03Rik	chr1	TRUE	FALSE
1700020L24Rik	chr11	FALSE	FALSE
1700024G13Rik	chr14	FALSE	FALSE
1700025C18Rik	chr2	FALSE	FALSE
1700025G04Rik	chr1	FALSE	FALSE
1700029F12Rik	chr13	FALSE	FALSE
1700029H14Rik	chr8	FALSE	FALSE
1700030K09Rik	chr8	FALSE	FALSE
1700069L16Rik	chr5	FALSE	FALSE
1700113H08Rik	chr10	FALSE	FALSE
1700122O11Rik	chr17	FALSE	FALSE
1700123K08Rik	chr5	FALSE	FALSE
1700129C05Rik	chr14	FALSE	FALSE
1810055G02Rik	chr19	FALSE	FALSE
2010003K11Rik	chr19	TRUE	FALSE
2210016L21Rik	chr5	FALSE	FALSE
2300009A05Rik	chr9	FALSE	FALSE
2310011J03Rik	chr10	FALSE	FALSE
2310022B05Rik	chr8	FALSE	FALSE
2310033P09Rik	chr11	FALSE	FALSE
2410002F23Rik	chr7	FALSE	FALSE
2410004P03Rik	chr12	FALSE	FALSE
2510009E07Rik	chr16	FALSE	FALSE
2510039O18Rik	chr4	FALSE	FALSE
2610318N02Rik	chr16	FALSE	FALSE
2700062C07Rik	chr18	FALSE	FALSE
2810459M11Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	TRUE
3110040N11Rik	chr7	FALSE	FALSE
3110082I17Rik	chr5	FALSE	FALSE
3425401B19Rik	chr14	FALSE	FALSE
4930433I11Rik	chr7	FALSE	FALSE
4930447A16Rik	chr15	FALSE	FALSE
4930451I11Rik	chr7	FALSE	FALSE
4930453N24Rik	chr16	FALSE	FALSE
4930469K13Rik	chr11	TRUE	TRUE
4930470P17Rik	chr2	FALSE	FALSE
4930505A04Rik	chr11	FALSE	FALSE
4930519G04Rik	chr5	FALSE	FALSE
4930523C07Rik	chr1	FALSE	TRUE
4930544D05Rik	chr11	FALSE	FALSE
4930562C15Rik	chr16	FALSE	FALSE
4930564D02Rik	chr3	TRUE	TRUE
4930578I06Rik	chr14	FALSE	FALSE
4930583I09Rik	chr17	TRUE	FALSE
4931414P19Rik	chr14	FALSE	FALSE
4931429L15Rik	chr9	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
4933402J07Rik	chr8	FALSE	FALSE
4933405L10Rik	chr8	FALSE	FALSE
4933407L21Rik	chr1	FALSE	FALSE
4933424G06Rik	chr1	FALSE	FALSE
4933427D14Rik	chr11	FALSE	FALSE
4933428G20Rik	chr11	FALSE	FALSE
4933430I17Rik	chr4	FALSE	FALSE
5031439G07Rik	chr15	FALSE	FALSE
5530400C23Rik	chr6	TRUE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730507C01Rik	chr12	FALSE	FALSE
5730522E02Rik	chr11	TRUE	TRUE
6430548M08Rik	chr8	FALSE	FALSE
6430550D23Rik	chr2	FALSE	FALSE
7530416G11Rik	chr15	FALSE	FALSE
8030474K03Rik	chrX	FALSE	FALSE
9030624G23Rik	chr12	FALSE	FALSE
9130019O22Rik	chr7	FALSE	FALSE
9130023H24Rik	chr7	FALSE	FALSE
9130230L23Rik	chr5	FALSE	FALSE
9130401M01Rik	chr15	FALSE	FALSE
9230112D13Rik	chr14	FALSE	FALSE
9330159F19Rik	chr10	FALSE	FALSE
9330182O14Rik	chr15	FALSE	TRUE
9430038I01Rik	chr7	FALSE	FALSE
9530068E07Rik	chr11	FALSE	FALSE
9930021J03Rik	chr19	FALSE	FALSE
A130010J15Rik	chr1	FALSE	FALSE
A1bg	chr15	FALSE	FALSE
A3galt2	chr4	FALSE	FALSE
A430005L14Rik	chr4	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
A530016L24Rik	chr12	FALSE	FALSE
A630023A22Rik	chr14	FALSE	FALSE
A630076J17Rik	chr3	FALSE	FALSE
A830018L16Rik	chr1	FALSE	FALSE
A930004D18Rik	chr2	TRUE	FALSE
A930009A15Rik	chr10	FALSE	FALSE
A930018P22Rik	chr2	FALSE	FALSE
A930033H14Rik	chr10	FALSE	FALSE
AF067063	chr13	FALSE	FALSE
AI467606	chr7	FALSE	FALSE
AI593442	chr9	FALSE	FALSE
AI854703	chr6	FALSE	FALSE
AU015836	chrX	FALSE	FALSE
AU022252	chr4	FALSE	FALSE
AU040320	chr4	FALSE	FALSE
AW554918	chr18	FALSE	FALSE
Aacs	chr5	FALSE	FALSE
Aadacl4fm2	chr4	FALSE	FALSE
Aadat	chr8	FALSE	FALSE
Aagab	chr9	FALSE	FALSE
Aak1	chr6	FALSE	FALSE
Aamp	chr1	FALSE	FALSE
Aanat	chr11	FALSE	FALSE
Aar2	chr2	FALSE	FALSE
Aard	chr15	FALSE	FALSE
Aars2	chr17	FALSE	FALSE
Aasdhppt	chr9	FALSE	FALSE
Aatf	chr11	FALSE	FALSE
Aatk	chr11	FALSE	FALSE
Abat	chr16	FALSE	FALSE
Abca1	chr4	FALSE	FALSE
Abca13	chr11	FALSE	FALSE
Abca2	chr2	FALSE	FALSE
Abca3	chr17	FALSE	FALSE
Abca4	chr3	FALSE	FALSE
Abca5	chr11	FALSE	FALSE
Abca7	chr10	FALSE	FALSE
Abca9	chr11	FALSE	FALSE
Abcb4	chr5	FALSE	FALSE
Abcb6	chr1	FALSE	FALSE
Abcb8	chr5	FALSE	FALSE
Abcb9	chr5	FALSE	FALSE
Abcc12	chr8	FALSE	FALSE
Abcc3	chr11	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Abcc8	chr7	FALSE	FALSE
Abcd1	chrX	FALSE	FALSE
Abcd4	chr12	FALSE	FALSE
Abce1	chr8	FALSE	FALSE
Abcf2	chr5	FALSE	FALSE
Abcg1	chr17	FALSE	FALSE
Abcg4	chr9	FALSE	FALSE
Abcg5	chr17	FALSE	FALSE
Abcg8	chr17	FALSE	FALSE
Abhd11	chr5	FALSE	FALSE
Abhd12	chr2	FALSE	FALSE
Abhd14b	chr9	FALSE	FALSE
