gene_name	gene_id	chr	start	end	gene_length	ctrl_F1_mca	ctrl_F2_mca	ctrl_M1_mca	ctrl_M2_mca	mut_F1_mca	mut_F2_mca	mut_M1_mca	mut_M2_mca
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	465598	0.0222622195708583	0.0230077658789375	0.0252411488678163	0.0224105059135319	0.0221869311894359	0.0252173845925588	0.021092721252775	0.0248360492646997
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	409685	0.00955373315338326	0.00953216036122961	0.0126381198099583	0.00864804330243265	0.00994762272118235	0.0118537435031887	0.00793585073766411	0.0115038655178951
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	6424	0.0075103591160221	0.0130718954248366	0.0196413321947054	0.00997578692493947	0.0105363587339777	0.0109009596571322	0.0129775747508306	0.0121598147075854
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	12534	0.00864701436130008	0.0134051173287653	0.012370361114582	0.0139388763496614	0.00979995644463802	0.0118256925319942	0.00664360405692271	0.0150282531158578
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	40623	0.012702572838859	0.0142270237370663	0.0147478980163805	0.0149482664730441	0.012866281930837	0.0150522280035992	0.0106694298630168	0.0140139120371314
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	78879	0.0132078071182549	0.0136005789733813	0.0139465288952881	0.0133782312337809	0.0123478760182134	0.0154822735863956	0.0101758741237775	0.0141408421922031
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	40096	0.0135075245197218	0.0119663170335352	0.0134930055745045	0.0126120313334879	0.0114702605135652	0.0157157060842234	0.0102410015649452	0.0130956306310321
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	160710	0.014201857893741	0.0155336511021642	0.0184601623778726	0.014933097487906	0.0135160806883984	0.0153195889614167	0.0106827806005439	0.0151443062392988
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	92512	0.0125289316346003	0.0128113421367776	0.0141221398919497	0.0127871796290229	0.0109012139338494	0.014012157052927	0.00960331905176409	0.0129865006666824
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	17666	0.0101869030440459	0.0100423579244617	0.0117070931211263	0.00706451738808009	0.00870935032954299	0.0124435566098591	0.00575453061925621	0.0123746311408025
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	3692	0.0112562387172136	0.0152589727057812	0.0170483460559796	0.0157248157248157	0.0130635653974829	0.0170585523282619	0.00791119050657139	0.0168510237702989
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	70452	0.00942883992899655	0.0132412063992635	0.0143992504499766	0.0112735394679736	0.0100383487480262	0.0129110042022217	0.00935712339961863	0.012393952551237
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	35514	0.0284945690792813	0.027108490655177	0.0264801837519933	0.0297735650342285	0.0239983760878942	0.0249057109062911	0.0186062334807526	0.0263075272142794
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	373710	0.023929674133218	0.0244747419257582	0.0268976192053578	0.0229641537335445	0.0345902973948525	0.0358406630152294	0.0350558877110914	0.0375672735845782
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	84709	0.0199468911434146	0.0193546911975977	0.020765773097775	0.0191992627483105	0.0157114857919904	0.0194557019284916	0.0138797551260459	0.018145361456924
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	938404	0.00902937886639122	0.0104833102294541	0.0134624798936989	0.00956595976027761	0.0100373970529159	0.0123837687422613	0.00842695286698969	0.0120995099811902
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	2048	0.0087463556851312	0.0111553784860558	0.0148475120385233	0.0127566274666135	0.0172773309502532	0.0221879220528651	0.0122417750573833	0.02320581257414
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	32726	0.0143041492952154	0.0154832960484178	0.0199756265564563	0.0167892515357934	0.0147666952376656	0.0173746243998714	0.0125799080896511	0.0149592930764809
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	25945	0.0513224945401602	0.0500719143853148	0.0499100488306348	0.0507877483119679	0.0451830870559328	0.0451768374796229	0.0406357358503661	0.0476742007460271
