gene_name	gene_id	chr	start	end	strand	gene_length	gene_type	n_ca_sites_mean	total_coverage_mean	mca_ctrl	mca_mut	mca_diff	log2_fc	ctrl_F1_mca	ctrl_F2_mca	ctrl_M1_mca	ctrl_M2_mca	mut_F1_mca	mut_F2_mca	mut_M1_mca	mut_M2_mca	dss_stat	dss_pval	dss_fdr	p_bonferroni	p_bh	sig_bonferroni	sig_fdr	dispersion	overlaps_sig_gene	loo_n_sig
Npvf	ENSMUSG00000029831.7	chr6	50650671	50654439	-	3768	protein_coding	531.875	15177	0.0443748733183567	0.145925651921047	0.10155077860269	1.71741860744771	0.0479399471125139	0.0442839195979899	0.0377879078694818	0.0474877186934414	0.143836143836144	0.148034711587545	0.144762845849802	0.147068906410696	14.4976734540354	1.25326178389607e-47	2.55301957997469e-43	2.55301957997469e-43	2.55301957997469e-43	TRUE	TRUE	0.001	FALSE	8
Olfr437	ENSMUSG00000071481.4	chr6	43163281	43169861	+	6580	protein_coding	941	24770.375	0.0487686754891431	0.149244453179269	0.100475777690126	1.6136506174763	0.0450055952902253	0.0538089195920861	0.0445360491432266	0.0517241379310345	0.147224813432836	0.151176223482462	0.148742487016397	0.149834288785382	14.1697643949013	1.40972679558594e-45	1.43587722764406e-41	2.87175445528812e-41	1.43587722764406e-41	TRUE	TRUE	0.001	FALSE	8
Ttr	ENSMUSG00000061808.4	chr18	20665279	20674321	+	9042	protein_coding	1446.375	34578.375	0.0529646007627864	0.13710119832499	0.0841365975622036	1.37214082875569	0.0525687452743842	0.050404851204038	0.0545043772945496	0.0543804292781738	0.139109616951915	0.133197570067652	0.136546184738956	0.139551421541437	12.0406994608818	2.17106956759779e-33	1.47422860538448e-29	4.42268581615345e-29	1.47422860538448e-29	TRUE	TRUE	0.001	FALSE	8
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	+	91119	protein_coding	12579.125	301617.375	0.0549025316374108	0.12309240077829	0.0681898691408789	1.1647971177849	0.0534863749659636	0.0561804506758635	0.0562176462358343	0.053725654671982	0.123613944112944	0.125766780012141	0.116524970727486	0.126463908260588	9.88186694144437	4.98945407753541e-23	2.54100422533685e-19	1.01640169013474e-18	2.54100422533685e-19	TRUE	TRUE	0.001	FALSE	8
Kctd12	ENSMUSG00000098557.1	chr14	102976580	102982637	-	6057	protein_coding	803	17372.125	0.0344936091755398	0.0934156823929438	0.058922073217404	1.43733567588357	0.0372085959450224	0.0348582474226804	0.0337278726301456	0.0321797207043109	0.0924037681261687	0.102347762289068	0.0910316925151719	0.0878795066413662	9.85764662380923	6.35207265707035e-23	2.5879614419436e-19	1.2939807209718e-18	2.5879614419436e-19	TRUE	TRUE	0.001	FALSE	8
Zic4	ENSMUSG00000036972.14	chr9	91362412	91389348	+	26936	protein_coding	3526	68346.625	0.0316141926520313	0.085387994483932	0.0537738018319007	1.43346086465514	0.0309609430587873	0.0300518698538213	0.0322554697554698	0.0331884879400466	0.0832767978290366	0.0850170815031723	0.0852001884126236	0.0880579101908953	9.66630360276388	4.19247804547987e-22	1.42341617107451e-18	8.54049702644705e-18	1.42341617107451e-18	TRUE	TRUE	0.001	FALSE	8
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	-	79810	protein_coding	11135.75	268092.875	0.0411225430726513	0.100523779607756	0.0594012365351049	1.28953543086551	0.0396068616666106	0.0408755731158486	0.0432049939072621	0.0408027436008837	0.0999296052136415	0.103286584904232	0.0968908043963232	0.101988123916828	9.63632317216069	5.61636969539066e-22	1.63444381521147e-18	1.14411067064803e-17	1.63444381521147e-18	TRUE	TRUE	0.001	FALSE	8
Sap30	ENSMUSG00000031609.3	chr8	57482706	57487860	-	5154	protein_coding	651	13810.375	0.0282168189831773	0.0797902082560464	0.0515733892728691	1.49965635657383	0.0263544626236896	0.0310252888422073	0.031911532385466	0.0235759920813462	0.0770659639725258	0.0813602705914617	0.0828627280625543	0.0778718703976436	9.30165277392664	1.38279203250097e-20	3.52110706175966e-17	2.81688564940773e-16	3.52110706175966e-17	TRUE	TRUE	0.001	FALSE	8
2610001J05Rik	ENSMUSG00000052419.7	chr6	13867734	13871518	-	3784	protein_coding	528	12386.5	0.0530888608696495	0.114815979677223	0.0617271188075737	1.11284235419454	0.0453990228013029	0.0553057123720218	0.0529667149059334	0.0586839933993399	0.117794372097259	0.108127646390581	0.115984625819579	0.117357274401473	9.10823691065714	8.37315587339004e-20	1.89521731440921e-16	1.70569558296829e-15	1.89521731440921e-16	TRUE	TRUE	0.001	FALSE	8
Fam72a	ENSMUSG00000055184.4	chr1	131527902	131539872	+	11970	protein_coding	1724.875	45738.375	0.0284284201029882	0.0747322002128277	0.0463037801098395	1.39439607363948	0.0274998704058888	0.0276560862203349	0.0294986428229283	0.0290590809628009	0.0749654423380727	0.0750535235051111	0.0733405154553742	0.075569319552753	8.76241257052802	1.9111532836742e-18	3.57837511032674e-15	3.89321035417271e-14	3.57837511032674e-15	TRUE	TRUE	0.001	FALSE	8
Krt24	ENSMUSG00000020913.3	chr11	99279958	99285262	-	5304	protein_coding	801.75	16782.5	0.0348754541015166	0.0871769069395841	0.0523014528380674	1.32173401547743	0.0391621129326047	0.0344778152103792	0.0348186728395062	0.0310432154235765	0.0877389513243956	0.0882224168126095	0.0808876163206872	0.0918586433006441	8.76117457475894	1.93226283508881e-18	3.57837511032674e-15	3.93621262135942e-14	3.57837511032674e-15	TRUE	TRUE	0.001	FALSE	8
Chia1	ENSMUSG00000062778.12	chr3	106113228	106132120	+	18892	protein_coding	2723.125	94370.25	0.0341165167846833	0.0836075749273111	0.0494910581426278	1.29316329935797	0.0316433183758345	0.0336253989504764	0.0387546266057043	0.032442723206718	0.0820233969633728	0.0874680306905371	0.0796543969700556	0.0852844750852789	8.56442777018481	1.08613894462754e-17	1.84381137008397e-14	2.21257364410077e-13	1.84381137008397e-14	TRUE	TRUE	0.001	FALSE	8
Slc35g2	ENSMUSG00000070287.3	chr9	100552187	100571090	-	18903	protein_coding	2836.625	72287	0.0312558822343392	0.0774011496313974	0.0461452673970583	1.30822726986169	0.0314822024000948	0.0311510657389067	0.0316017197469672	0.0307885410513881	0.0762435896444235	0.0819909672563041	0.0710704594871426	0.0802995821377195	8.28257974875653	1.2053518641421e-16	1.88878637111067e-13	2.45542228244387e-12	1.88878637111067e-13	TRUE	TRUE	0.001	FALSE	8
Islr2	ENSMUSG00000051243.14	chr9	58196296	58204319	-	8023	protein_coding	1150.875	19816	0.0931897952300103	0.0409242437937005	-0.0522655514363098	-1.18721622233575	0.104199859792238	0.0911052376072064	0.0786307053941909	0.0988233781264065	0.0445518585131894	0.0367761116856256	0.0419918980337911	0.040377106942196	-8.0635288851423	7.41230053018111e-16	1.07854267214514e-12	1.50995974100319e-11	1.07854267214514e-12	TRUE	TRUE	0.001	FALSE	7
Cd300ld3	ENSMUSG00000069607.4	chr11	115042130	115048409	-	6279	protein_coding	346.375	6917.125	0.0691638519606962	0.129225272833908	0.0600614208732113	0.901798123529096	0.0713598768994037	0.063912704598597	0.0624450307827617	0.0789377955620226	0.12094395280236	0.125619519634007	0.134262331342623	0.13607528755664	7.94960142198088	1.87112541286357e-15	2.54111305236291e-12	3.81166957854437e-11	2.54111305236291e-12	TRUE	TRUE	0.001	FALSE	8
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	-	119300	protein_coding	18870	438510.25	0.0334645984709451	0.0763201880507571	0.042855589579812	1.18942902205191	0.0339971940954008	0.0338213351772039	0.0335572112912835	0.0324826533198922	0.0759886762842463	0.077963634716075	0.0743016403660368	0.0770268008366702	7.88856853616237	3.05672343448187e-15	3.89178206773938e-12	6.22685130838301e-11	3.89178206773938e-12	TRUE	TRUE	0.001	FALSE	8
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	-	88984	protein_coding	13544.5	324860.875	0.0498972617559578	0.0984058285524172	0.0485085667964594	0.979783122525196	0.0508596755723619	0.0506070346810704	0.0491389652519623	0.0489833715184366	0.0977545194001498	0.0994854801409303	0.0976647062204257	0.098718608448163	7.78517788200546	6.96151914561334e-15	8.34194744207584e-12	1.41813106515289e-10	8.34194744207584e-12	TRUE	TRUE	0.001	FALSE	8
Nsmf	ENSMUSG00000006476.19	chr2	25054354	25062881	+	8527	protein_coding	1333.875	26330.375	0.101068066495889	0.0521657510850072	-0.0489023154108819	-0.954152399423967	0.103492884864166	0.103596327155246	0.098252146033716	0.0989309079304292	0.053181226183011	0.0528904665314402	0.0491392388364884	0.0534520727890894	-7.66618497804348	1.77187602931188e-14	2.00527147739513e-11	3.60948865931124e-10	2.00527147739513e-11	TRUE	TRUE	0.001	FALSE	8
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	-	90800	protein_coding	14037.75	322396.375	0.0456951032528913	0.0918929506397601	0.0461978473868689	1.00791462018986	0.0456819103567785	0.0456684507512763	0.0445674167149056	0.0468626351886046	0.0917462758289284	0.0929302530457059	0.0895883066567526	0.0933069670276536	7.63849172274175	2.19781081381862e-14	2.35640021517363e-11	4.4771604088299e-10	2.35640021517363e-11	TRUE	TRUE	0.001	TRUE	8
Scg2	ENSMUSG00000050711.7	chr1	79434668	79440120	-	5452	protein_coding	759	18381.25	0.0349831475426299	0.0749322488851537	0.0399491013425239	1.09892665178051	0.0326431635888827	0.0388140161725067	0.0295222758990875	0.0389531345100426	0.0750998243092158	0.070886624756124	0.078175131074419	0.0755674154008562	7.48602781125213	7.09893591841021e-14	7.23062117969672e-11	1.44612423593934e-09	7.23062117969672e-11	TRUE	TRUE	0.001	FALSE	8
Edn2	ENSMUSG00000028635.7	chr4	120161205	120167360	+	6155	protein_coding	1009.5	20349.5	0.147979487767113	0.0922872335396884	-0.055692254227425	-0.681194216952664	0.150249137600613	0.137239377144365	0.154641459271841	0.149787977051634	0.0871957810606309	0.0974557451938329	0.0888778959518509	0.095619511952439	-7.30738131330178	2.72398741950208e-13	2.64239751060366e-10	5.54903477226769e-09	2.64239751060366e-10	TRUE	TRUE	0.001	FALSE	8
Spry2	ENSMUSG00000022114.5	chr14	105891946	105896819	-	4873	protein_coding	650.75	11599	0.0145875934244526	0.0466609242828075	0.0320733308583549	1.67747298970081	0.0132450331125828	0.0168084882865847	0.0173508907823393	0.0109459615163037	0.0467240655186896	0.0478177150192555	0.0419033194497034	0.0501985971435815	7.28119442823135	3.30877402687847e-13	3.02618178182076e-10	6.74030357015414e-09	3.02618178182076e-10	TRUE	TRUE	0.001	FALSE	7
Cst8	ENSMUSG00000027442.10	chr2	148798784	148805595	+	6811	protein_coding	1070.375	27226.5	0.0436942508570021	0.0880601245981919	0.0443658737411898	1.01104541833926	0.0445995558174319	0.0412177985948478	0.0443970401973202	0.0445626088184085	0.0873509933774834	0.0854764799401478	0.0856690777576854	0.0937439473174511	7.27686262298009	3.41672873113139e-13	3.02618178182076e-10	6.96021809818775e-09	3.02618178182076e-10	TRUE	TRUE	0.001	FALSE	8
Fgf20	ENSMUSG00000031603.14	chr8	40279165	40308331	-	29166	protein_coding	4075.375	94112.125	0.0434373110711353	0.0870124434002256	0.0435751323290903	1.00228693360712	0.0422723770792023	0.0432560932272967	0.044721210959954	0.0434995630180884	0.0857632603982117	0.0869762143317915	0.0837746826237491	0.0915356162471502	7.20964937442326	5.60961313218143e-13	4.7613928798195e-10	1.14273429115668e-08	4.7613928798195e-10	TRUE	TRUE	0.001	FALSE	8
Exoc3l	ENSMUSG00000043251.6	chr8	105289923	105296101	-	6178	protein_coding	929.5	18941.625	0.0261389147198937	0.0613305843416354	0.0351916696217417	1.23040745456199	0.0267617614342734	0.023641539794529	0.0236934968912788	0.0304588607594937	0.0654824677036646	0.0667569108007979	0.058166210315992	0.0549167485460871	7.17128601010554	7.42965005660839e-13	6.05397605212678e-10	1.51349401303169e-08	6.05397605212678e-10	TRUE	TRUE	0.001	FALSE	8
A330070K13Rik	ENSMUSG00000052014.6	chr5	130378777	130384631	-	5854	protein_coding	804.125	16364.625	0.0256745939818169	0.0614180334874399	0.035743439505623	1.25832085820378	0.0243197688418011	0.0268451519536903	0.0240174672489083	0.0275159878828677	0.0591612183064902	0.0624767294660809	0.0601321790933631	0.0639020070838253	7.10175069727862	1.23186301729446e-12	9.6516467405021e-10	2.50942815253055e-08	9.6516467405021e-10	TRUE	TRUE	0.001	FALSE	7
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	+	75075	protein_coding	11071.375	267522.875	0.0400243870689658	0.0803605797596868	0.0403361926907209	1.00560866283491	0.0394222591933378	0.0402005106863471	0.0409648833113166	0.039509895084862	0.0789509386794656	0.0818663559648413	0.0793439972281573	0.0812810271662828	7.04674055103458	1.83157364362187e-12	1.38188839608226e-09	3.7310986694221e-08	1.38188839608226e-09	TRUE	TRUE	0.001	FALSE	7
Pdlim7	ENSMUSG00000021493.15	chr13	55495794	55513676	-	17882	protein_coding	2749.375	58149.75	0.112477866869422	0.0655333415136056	-0.0469445253558167	-0.779340138183781	0.117626302461705	0.112597569026446	0.106622568706197	0.113065027283342	0.0643054508917357	0.0703608824334071	0.0610947081535317	0.0663723245757477	-7.01246266651233	2.3415935565131e-12	1.70359294070459e-09	4.77006023397284e-08	1.70359294070459e-09	TRUE	TRUE	0.001	FALSE	7
Flrt3	ENSMUSG00000051379.12	chr2	140650913	140671469	-	20556	protein_coding	2908.5	72668.125	0.0208518072472031	0.0525055397782496	0.0316537325310465	1.33229721840475	0.0195311176610089	0.02035611391867	0.0246335908100614	0.018886406599072	0.0529719791854758	0.0518476552505574	0.0517121181053927	0.0534904065715726	6.98574800484133	2.83342254402229e-12	1.99033278083718e-09	5.77196506442781e-08	1.99033278083718e-09	TRUE	TRUE	0.001	FALSE	7
Gprin3	ENSMUSG00000045441.5	chr6	59347225	59426294	-	79069	protein_coding	11870.5	285902.75	0.0449614994032318	0.0861941603156715	0.0412326609124397	0.938899981308211	0.0447556215003621	0.0456574903866266	0.0453375926017998	0.0440952931241389	0.0870306991849865	0.0875713211353739	0.0842005270247787	0.0859740939175469	6.94126385195715	3.88607412771366e-12	2.63877386852183e-09	7.9163216055655e-08	2.63877386852183e-09	TRUE	TRUE	0.001	FALSE	7
Isx	ENSMUSG00000031621.9	chr8	74873172	74893506	+	20334	protein_coding	3252.625	71700.625	0.046110396138035	0.0872840673021065	0.0411736711640715	0.920626270468843	0.0446200650417876	0.0455861547066759	0.0475060436026525	0.0467293212010239	0.0856321054248745	0.0863973822173745	0.0884338876384852	0.0886728939276919	6.87647208811018	6.13529493672399e-12	4.03168042438724e-09	1.24982093156004e-07	4.03168042438724e-09	TRUE	TRUE	0.001	FALSE	7
Cytip	ENSMUSG00000026832.12	chr2	58129136	58195532	-	66396	protein_coding	9819.5	240646.5	0.0412552378475686	0.0809259345197947	0.0396706966722261	0.972024822106049	0.0407409806334607	0.0401994125465304	0.0438135269392434	0.0402670312710398	0.0797302856684159	0.0829238840772818	0.078968350718583	0.0820812176148981	6.79997403836876	1.04638005683858e-11	6.66119004308087e-09	2.13158081378588e-07	6.66119004308087e-09	TRUE	TRUE	0.001	FALSE	7
Bcl2l15	ENSMUSG00000044165.12	chr3	103832600	103854618	+	22018	protein_coding	3195.375	71977.25	0.041893633913258	0.0824298967158202	0.0405362628025622	0.976436656129334	0.0412845686337972	0.0437914237802444	0.0439428062640758	0.0385557369749146	0.0828352112334285	0.0873229693814395	0.0757510948161727	0.0838103114322401	6.68166630123271	2.36240485049643e-11	1.45831967301402e-08	4.81245492094628e-07	1.45831967301402e-08	TRUE	TRUE	0.001	FALSE	7
