"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant","label_strength"
"Fam81b",3.3861816731533,4.3e-35,3,3,TRUE,2.09345791139018,8.76e-78,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",5.47963958454348
"Ndst3",3.5107809529751,5.16e-31,9,9,TRUE,1.60091698546117,5.86e-48,12,12,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",5.11169793843628
"A130030D18Rik",3.40773328754742,3.38e-26,6,7,TRUE,1.5824178338068,6e-47,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.99015112135423
"Ercc8",3.29631571834569,1.82e-25,2,3,TRUE,1.63024523740338,3.51e-44,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.92656095574907
"Etv1",3.31567083953942,3.55e-39,31,36,TRUE,1.57016239255776,5.47e-78,34,36,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.88583323209717
"Tbc1d2b",3.31212601073791,6.71e-23,3,4,TRUE,1.54302159011353,5.77e-44,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.85514760085144
"Gm17750",2.75973400079595,1.38e-22,5,5,TRUE,1.83235809841026,3.48e-107,5,5,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.5920920992062
"Kcnd2",3.07532049830643,1.2e-22,9,10,TRUE,1.48142527893991,6.71e-26,6,7,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.55674577724635
"Sphkap",2.89018624337681,4.82e-23,6,7,TRUE,1.6213974504126,1.21e-36,7,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.51158369378941
"Gm16291",2.89917890089743,6.08e-25,7,8,TRUE,1.60726010973625,1.24e-44,8,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.50643901063368
"A330023F24Rik",-1.42442358748118,3.53e-07,3,5,TRUE,-1.26156240795015,1.26e-22,3,4,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.68598599543133
"Csmd2os",-1.25529189522252,1.35e-08,13,24,TRUE,-0.945396649888862,4.37e-16,9,12,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.20068854511138
"Brpf3",-1.16295071164883,1.29e-05,4,9,TRUE,-0.879053041044852,2.05e-16,3,3,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.04200375269369
"Papola",-1.46016487080397,2.67e-08,3,6,TRUE,-0.574793335302975,3.07e-11,7,10,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.03495820610695
"Mir7214",-1.22602415235556,1.27e-06,7,7,TRUE,-0.787551222549741,3.4e-20,5,5,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.0135753749053
