gene_name	feature_type	feature_rank	chr	start	end	strand	feature_length	ctrl_coverage	ctrl_methylated	ctrl_ch_sites	mut_coverage	mut_methylated	mut_ch_sites	mch_ctrl	mch_mut	delta_mch	enhancer_overlap	enhancer_status	gene_edger_logFC	gene_edger_fdr	gene_mch_diff	gene_mch_sig	gene_mch_hyper	gene_mch_hypo	midpoint_mb	facet_label
Arhgap26	5UTR	1	chr18	38676717	38676775	+	58	1298	39	88	1791	53	88	0.0300462249614792	0.0295924064768286	-0.00045381848465061	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.676746	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	Exon	1	chr18	38676717	38676805	+	88	2201	51	140	3052	80	140	0.0231712857791913	0.0262123197903014	0.00304103401111016	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.676761	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	SpliceSite_Donor	1	chr18	38676794	38676815	+	21	665	7	36	876	28	36	0.0105263157894737	0.0319634703196347	0.021437154530161	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.6768045	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	Intron	1	chr18	38676805	38933792	+	256987	7005423	201560	445462	11520259	455536	446329	0.0287719956382363	0.0395421665433043	0.010770170905068	TRUE	Active enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.8052985	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	SpliceSite_Acceptor	1	chr18	38933782	38933803	+	21	1217	6	44	1640	25	44	0.00493015612161052	0.0152439024390244	0.0103137463174139	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.9337925	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	Exon	2	chr18	38933792	38933964	+	172	8445	472	328	12179	737	328	0.0558910597986975	0.0605139995073487	0.00462293970865126	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.933878	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	SpliceSite_Donor	2	chr18	38933953	38933974	+	21	705	26	28	1078	48	28	0.0368794326241135	0.0445269016697588	0.00764746904564534	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.9339635	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	Intron	2	chr18	38933964	38993144	+	59180	1654527	56379	101576	2785045	133608	101757	0.0340755998542182	0.0479733720640061	0.013897772209788	TRUE	Active enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.963554	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	SpliceSite_Acceptor	2	chr18	38993134	38993155	+	21	388	5	48	673	17	48	0.0128865979381443	0.025260029717682	0.0123734317795377	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.9931445	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
Arhgap26	5UTR	2	chr18	38993144	38993475	+	331	5335	50	644	9812	105	644	0.00937207122774133	0.0107011822258459	0.00132911099810457	FALSE	No enhancer	0.704215640764072	4.81031639917514e-18	0.0170988603431517	TRUE	TRUE	FALSE	38.9933095	Arhgap26 (chr18, gene logFC = 0.70, FDR = 4.8e-18)
