gene_name	chr	MeCP2_up	K27me3_up
Rasgef1b	chr5	FALSE	TRUE
Dpys	chr15	TRUE	TRUE
Runx1t1	chr4	FALSE	TRUE
Trpm3	chr19	TRUE	TRUE
Csrnp3	chr2	FALSE	TRUE
Pcgf5	chr19	FALSE	FALSE
Tenm2	chr11	FALSE	TRUE
Enox1	chr14	TRUE	FALSE
Tjp1	chr7	FALSE	FALSE
Abr	chr11	FALSE	FALSE
Plekha6	chr1	TRUE	FALSE
Gsg1l	chr7	FALSE	FALSE
Rnf157	chr11	FALSE	FALSE
Sema6d	chr2	FALSE	TRUE
Prkar2b	chr12	FALSE	TRUE
Afap1	chr5	FALSE	FALSE
Hdac9	chr12	FALSE	FALSE
Cmip	chr8	FALSE	FALSE
Pappa2	chr1	TRUE	FALSE
Nln	chr13	FALSE	TRUE
Fstl4	chr11	FALSE	FALSE
Opcml	chr9	TRUE	FALSE
Kcnq1	chr7	FALSE	FALSE
Wdr25	chr12	FALSE	FALSE
Col27a1	chr4	TRUE	FALSE
Vwf	chr6	FALSE	FALSE
Pcdh7	chr5	TRUE	FALSE
Acly	chr11	FALSE	FALSE
Gria1	chr11	TRUE	FALSE
Lrba	chr3	FALSE	TRUE
Nfib	chr4	FALSE	TRUE
Zbtb16	chr9	FALSE	FALSE
Foxp1	chr6	FALSE	FALSE
Ppp2r2b	chr18	FALSE	TRUE
Fgf20	chr8	TRUE	FALSE
Shank2	chr7	TRUE	FALSE
Myo3b	chr2	TRUE	FALSE
Prune2	chr19	FALSE	FALSE
Snph	chr2	FALSE	FALSE
Dagla	chr19	TRUE	FALSE
Nkain3	chr4	TRUE	FALSE
Ebf2	chr14	FALSE	FALSE
Sdk1	chr5	FALSE	TRUE
Prkca	chr11	FALSE	FALSE
Mark1	chr1	TRUE	FALSE
Epha5	chr5	TRUE	FALSE
Pcsk5	chr19	FALSE	FALSE
Prickle2	chr6	FALSE	FALSE
Alk	chr17	TRUE	FALSE
Slc17a6	chr7	FALSE	TRUE
Runx1	chr16	FALSE	FALSE
Vav2	chr2	FALSE	FALSE
Grip1	chr10	TRUE	FALSE
Sh3pxd2a	chr19	FALSE	FALSE
Ptprk	chr10	TRUE	TRUE
Slc24a3	chr2	TRUE	FALSE
