gene_name	chr	mch_gain	mecp2_gain
Rasgef1b	chr5	FALSE	FALSE
Dpys	chr15	TRUE	TRUE
Runx1t1	chr4	TRUE	FALSE
Trpm3	chr19	TRUE	TRUE
Csrnp3	chr2	FALSE	FALSE
Pcgf5	chr19	FALSE	FALSE
Tenm2	chr11	FALSE	FALSE
Enox1	chr14	FALSE	TRUE
Tmem178b	chr6	FALSE	TRUE
Plekha6	chr1	FALSE	TRUE
Gsg1l	chr7	FALSE	FALSE
Sema6d	chr2	TRUE	FALSE
Prkar2b	chr12	FALSE	FALSE
Afap1	chr5	FALSE	FALSE
Hdac9	chr12	FALSE	FALSE
Pappa2	chr1	TRUE	TRUE
Nln	chr13	FALSE	FALSE
Fstl4	chr11	FALSE	FALSE
Opcml	chr9	TRUE	TRUE
Col27a1	chr4	FALSE	TRUE
Ptprn2	chr12	FALSE	FALSE
Pcdh7	chr5	TRUE	TRUE
Lrba	chr3	FALSE	FALSE
Nfib	chr4	TRUE	FALSE
Elmo1	chr13	TRUE	FALSE
Zbtb16	chr9	FALSE	FALSE
Ppp2r2b	chr18	FALSE	FALSE
Fgf20	chr8	TRUE	TRUE
Kbtbd12	chr6	TRUE	TRUE
Prune2	chr19	TRUE	FALSE
Snph	chr2	FALSE	FALSE
Mark1	chr1	FALSE	TRUE
Epha5	chr5	TRUE	TRUE
Grip1	chr10	FALSE	TRUE
Sh3pxd2a	chr19	FALSE	FALSE
Ptprk	chr10	TRUE	TRUE
Sema5b	chr16	FALSE	FALSE
Slc39a11	chr11	FALSE	TRUE
Tbc1d30	chr10	FALSE	FALSE
Col5a1	chr2	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Trp73	chr4	FALSE	FALSE
Dnah11	chr12	TRUE	TRUE
Syt6	chr3	FALSE	FALSE
Nek7	chr1	FALSE	FALSE
Dkk3	chr7	FALSE	FALSE
Zfp423	chr8	FALSE	FALSE
Gse1	chr8	FALSE	FALSE
Robo2	chr16	TRUE	TRUE
Gabrb3	chr7	FALSE	FALSE
Nr6a1	chr2	FALSE	FALSE
Fam20c	chr5	FALSE	FALSE
Cenpf	chr1	TRUE	TRUE
Rgl1	chr1	FALSE	FALSE
Aff3	chr1	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Cdh4	chr2	FALSE	FALSE
Nrp2	chr1	FALSE	FALSE
Frmd4a	chr2	FALSE	FALSE
Ntrk3	chr7	FALSE	FALSE
Marchf4	chr1	FALSE	FALSE
Prickle1	chr15	FALSE	FALSE
Hspa12a	chr19	FALSE	FALSE
Fmn1	chr2	FALSE	FALSE
Atxn7l1	chr12	FALSE	FALSE
Prr16	chr18	TRUE	FALSE
Cntn4	chr6	TRUE	FALSE
Tbxas1	chr6	FALSE	FALSE
Tmem132c	chr5	TRUE	FALSE
Adcy5	chr16	FALSE	FALSE
Cdh20	chr1	TRUE	FALSE
Pnpla7	chr2	FALSE	FALSE
Zswim6	chr13	FALSE	FALSE
Elk3	chr10	TRUE	TRUE
Nr3c2	chr8	FALSE	FALSE
Pde11a	chr2	FALSE	TRUE
Mtss1	chr15	FALSE	FALSE
Smad3	chr9	FALSE	FALSE
Slc24a2	chr4	FALSE	FALSE
Iqgap2	chr13	FALSE	TRUE
Zfp462	chr4	FALSE	FALSE
Arhgap23	chr11	FALSE	FALSE
Lrig2	chr3	FALSE	FALSE
Mdga1	chr17	FALSE	FALSE
Ttc39b	chr4	TRUE	FALSE
Siah3	chr14	FALSE	FALSE
Lrrk1	chr7	FALSE	TRUE
Col19a1	chr1	TRUE	TRUE
Pcsk6	chr7	FALSE	FALSE
Abcc4	chr14	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Zfp800	chr6	TRUE	FALSE
Clstn2	chr9	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Dclk1	chr3	TRUE	TRUE
Nrxn3	chr12	TRUE	TRUE
Plekhd1	chr12	FALSE	FALSE
Kalrn	chr16	FALSE	FALSE
Arhgef3	chr14	TRUE	TRUE
Zfp407	chr18	FALSE	FALSE
Scn8a	chr15	FALSE	FALSE
Scn1a	chr2	FALSE	FALSE
Kcna2	chr3	FALSE	TRUE
Lrrc8b	chr5	FALSE	FALSE
Rbms3	chr9	TRUE	TRUE
Syn3	chr10	FALSE	FALSE
Slc9a9	chr9	FALSE	FALSE
Sv2c	chr13	FALSE	FALSE
Gabra2	chr5	TRUE	TRUE
Otof	chr5	FALSE	FALSE
Rin2	chr2	FALSE	FALSE
Tle1	chr4	FALSE	FALSE
Igsf3	chr3	FALSE	FALSE
Cmss1	chr16	FALSE	FALSE
Adgrl2	chr3	FALSE	FALSE
B3galt5	chr16	FALSE	FALSE
Mcc	chr18	FALSE	TRUE
Fgf5	chr5	FALSE	FALSE
Spata13	chr14	TRUE	FALSE
Dlg2	chr7	TRUE	FALSE
Eva1c	chr16	FALSE	FALSE
Chn1	chr2	FALSE	TRUE
Elavl2	chr4	FALSE	FALSE
Dscam	chr16	FALSE	FALSE
Ccdc13	chr9	FALSE	FALSE
Plcl1	chr1	FALSE	FALSE
Arhgef17	chr7	FALSE	FALSE
Rps6kc1	chr1	FALSE	TRUE
Slc22a14	chr9	FALSE	FALSE
Susd4	chr1	FALSE	FALSE
Rnf220	chr4	FALSE	FALSE
Robo1	chr16	FALSE	FALSE
Qsox1	chr1	FALSE	FALSE
Cradd	chr10	FALSE	FALSE
Zfhx4	chr3	FALSE	FALSE
Adamts17	chr7	FALSE	TRUE
Zic3	chrX	FALSE	FALSE
Thsd7b	chr1	TRUE	FALSE
Ptk2b	chr14	FALSE	TRUE
Ophn1	chrX	FALSE	FALSE
Nr4a2	chr2	TRUE	TRUE
Cdh13	chr8	FALSE	TRUE
Slc1a3	chr15	FALSE	FALSE
Nin	chr12	FALSE	FALSE
Camkmt	chr17	FALSE	TRUE
Ccdc88c	chr12	FALSE	FALSE
Glp1r	chr17	FALSE	FALSE
Schip1	chr3	TRUE	FALSE
Mdga2	chr12	TRUE	FALSE
Scarb1	chr5	FALSE	FALSE
Irx5	chr8	FALSE	FALSE
a	chr2	FALSE	FALSE
Phyhipl	chr10	FALSE	FALSE
Vit	chr17	FALSE	FALSE
Arl4a	chr12	FALSE	TRUE
Nhs	chrX	FALSE	FALSE
Dach1	chr14	TRUE	TRUE
Cobll1	chr2	TRUE	TRUE
Cacnb2	chr2	TRUE	FALSE
Aktip	chr8	FALSE	FALSE
Fgf12	chr16	TRUE	FALSE
Gm37013	chr18	TRUE	FALSE
Fars2	chr13	TRUE	TRUE
Sntg1	chr1	TRUE	FALSE
Rgma	chr7	FALSE	FALSE
Slco2a1	chr9	FALSE	FALSE
Myo16	chr8	TRUE	TRUE
Atf3	chr1	FALSE	FALSE
Pyroxd2	chr19	FALSE	FALSE
Ino80d	chr1	FALSE	TRUE
Stox2	chr8	FALSE	FALSE
Lifr	chr15	FALSE	FALSE
Ehbp1	chr11	TRUE	TRUE
Dpysl3	chr18	FALSE	FALSE
Gja5	chr3	TRUE	TRUE
Bdnf	chr2	TRUE	FALSE
Tshz3	chr7	FALSE	FALSE
Tnfaip8	chr18	FALSE	FALSE
Pde4a	chr9	FALSE	TRUE
Cpm	chr10	FALSE	FALSE
Foxp4	chr17	FALSE	FALSE
Creb5	chr6	FALSE	TRUE
Iqsec1	chr6	FALSE	FALSE
Plagl1	chr10	FALSE	FALSE
Abtb2	chr2	TRUE	FALSE
Cdh6	chr15	TRUE	FALSE
Lhfpl3	chr5	TRUE	FALSE
Col13a1	chr10	FALSE	FALSE
Sorbs2	chr8	TRUE	FALSE
Slc2a9	chr5	FALSE	FALSE
Nxph1	chr6	TRUE	FALSE
Itgb4	chr11	FALSE	FALSE
Il11ra1	chr4	FALSE	FALSE
Rbm20	chr19	FALSE	FALSE
Col8a2	chr4	FALSE	FALSE
Sh3tc1	chr5	FALSE	FALSE
Ankrd6	chr4	FALSE	TRUE
Ninl	chr2	FALSE	FALSE
Grid1	chr14	TRUE	FALSE
Laptm4b	chr15	FALSE	TRUE
Pla2r1	chr2	FALSE	FALSE
Dlc1	chr8	TRUE	FALSE
Barhl1	chr2	FALSE	FALSE
Ext2	chr2	FALSE	FALSE
Gnal	chr18	FALSE	FALSE
Bcar3	chr3	FALSE	FALSE
Lrig3	chr10	FALSE	FALSE
Plcb3	chr19	FALSE	FALSE
Rasgrf1	chr9	FALSE	FALSE
Csnk1e	chr15	FALSE	FALSE
Ptprb	chr10	TRUE	FALSE
Pdzd2	chr15	FALSE	FALSE
Kctd1	chr18	FALSE	FALSE
Vipr1	chr9	FALSE	FALSE
Cdc14b	chr13	FALSE	FALSE
Slc35f4	chr14	TRUE	FALSE
Rassf3	chr10	FALSE	FALSE
Faah	chr4	FALSE	TRUE
Frmd4b	chr6	FALSE	FALSE
Osbpl3	chr6	TRUE	TRUE
Cald1	chr6	FALSE	FALSE
Socs2	chr10	FALSE	FALSE
Tacc2	chr7	FALSE	FALSE
Egf	chr3	FALSE	TRUE
Npas2	chr1	TRUE	FALSE
BC034090	chr1	FALSE	FALSE
Wnt3	chr11	FALSE	FALSE
Otx2	chr14	FALSE	TRUE
Parvb	chr15	FALSE	FALSE
Ntm	chr9	TRUE	FALSE
Cttnbp2	chr6	FALSE	FALSE
Asap1	chr15	FALSE	TRUE
Enpp2	chr15	FALSE	FALSE
Myo10	chr15	TRUE	FALSE
Plekhg3	chr12	FALSE	FALSE
Kcnmb2	chr3	TRUE	FALSE
Fat3	chr9	FALSE	FALSE
Grm8	chr6	TRUE	FALSE
Arhgap27	chr11	FALSE	TRUE
Adamts2	chr11	TRUE	FALSE
Phldb2	chr16	TRUE	TRUE
Pdgfa	chr5	FALSE	TRUE
Immp2l	chr12	TRUE	TRUE
Onecut2	chr18	TRUE	TRUE
Epb41l1	chr2	FALSE	FALSE
Gmds	chr13	TRUE	FALSE
Tmem132e	chr11	FALSE	FALSE
Cfap45	chr1	FALSE	FALSE
Slc4a8	chr15	FALSE	FALSE
Shc3	chr13	FALSE	FALSE
Nefm	chr14	FALSE	TRUE
Hmcn1	chr1	TRUE	TRUE
Chst7	chrX	TRUE	FALSE
Plag1	chr4	FALSE	TRUE
Epo	chr5	FALSE	FALSE
Ell2	chr13	FALSE	FALSE
Vipr2	chr12	TRUE	FALSE
Socs6	chr18	TRUE	TRUE
Lrrc38	chr4	FALSE	FALSE
Pcdh10	chr3	FALSE	FALSE
Wwox	chr8	TRUE	TRUE
Tpbg	chr9	FALSE	FALSE
Nlgn1	chr3	TRUE	TRUE
Thsd4	chr9	TRUE	FALSE
Gucy1a1	chr3	FALSE	FALSE
Ofcc1	chr13	TRUE	FALSE
Slc16a2	chrX	FALSE	FALSE
Rbpj	chr5	TRUE	FALSE
Prkn	chr17	TRUE	FALSE
