gene_name	chr	K119ub_up	mch_hyper
Auts2	chr5	FALSE	FALSE
Csmd2	chr4	FALSE	FALSE
Arhgap26	chr18	TRUE	TRUE
Rasgef1b	chr5	FALSE	FALSE
Lrrc49	chr9	TRUE	TRUE
Emcn	chr3	TRUE	TRUE
Slc13a1	chr6	TRUE	TRUE
Dpys	chr15	TRUE	TRUE
Fgf1	chr18	TRUE	TRUE
Runx1t1	chr4	TRUE	TRUE
Trpm3	chr19	TRUE	TRUE
Pcdh9	chr14	TRUE	TRUE
Cog5	chr12	TRUE	TRUE
Cadps	chr14	TRUE	FALSE
Zbbx	chr3	TRUE	TRUE
Col9a1	chr1	TRUE	TRUE
Gprin3	chr6	TRUE	TRUE
Maml3	chr3	TRUE	TRUE
Csrnp3	chr2	TRUE	FALSE
Nrxn1	chr17	FALSE	FALSE
Erbb4	chr1	TRUE	TRUE
Pcgf5	chr19	FALSE	FALSE
Tenm2	chr11	FALSE	FALSE
Enox1	chr14	TRUE	FALSE
Slc6a6	chr6	FALSE	FALSE
Zfp608	chr18	TRUE	TRUE
Cytip	chr2	TRUE	TRUE
Camta1	chr4	FALSE	FALSE
Lsamp	chr16	TRUE	TRUE
Ctnnd2	chr15	FALSE	FALSE
Patj	chr4	TRUE	TRUE
Btbd3	chr2	TRUE	TRUE
Tjp1	chr7	FALSE	FALSE
Tmem178b	chr6	FALSE	FALSE
Abr	chr11	FALSE	FALSE
Ephb1	chr9	FALSE	FALSE
Plekha6	chr1	FALSE	FALSE
Cerkl	chr2	TRUE	TRUE
Gabbr2	chr4	FALSE	FALSE
Tafa5	chr15	FALSE	FALSE
Gsg1l	chr7	FALSE	FALSE
Rnf157	chr11	FALSE	FALSE
Tgfbr3	chr5	FALSE	FALSE
Sema6d	chr2	TRUE	TRUE
Cacna1e	chr1	FALSE	FALSE
Msi2	chr11	FALSE	FALSE
Hgd	chr16	TRUE	TRUE
Dlgap4	chr2	FALSE	FALSE
Phex	chrX	TRUE	TRUE
Prkar2b	chr12	TRUE	FALSE
Afap1	chr5	FALSE	FALSE
Ephb2	chr4	FALSE	FALSE
Zbtb20	chr16	TRUE	TRUE
Lrrc4c	chr2	TRUE	TRUE
Megf11	chr9	FALSE	FALSE
Hdac9	chr12	FALSE	FALSE
Cmip	chr8	FALSE	FALSE
Ccdc192	chr18	TRUE	TRUE
Epha3	chr16	TRUE	TRUE
Snca	chr6	TRUE	TRUE
Cacna2d2	chr9	FALSE	FALSE
Pappa2	chr1	TRUE	TRUE
Arhgef38	chr3	TRUE	TRUE
Nos1	chr5	FALSE	FALSE
Lamb3	chr1	TRUE	TRUE
Fam107b	chr2	TRUE	TRUE
Nln	chr13	TRUE	FALSE
Zic4	chr9	TRUE	TRUE
Pag1	chr3	FALSE	FALSE
Fstl4	chr11	FALSE	FALSE
Opcml	chr9	TRUE	TRUE
Kcnq1	chr7	FALSE	FALSE
Heg1	chr16	TRUE	TRUE
Prkce	chr17	FALSE	FALSE
D430041D05Rik	chr2	FALSE	FALSE
Wdr25	chr12	FALSE	FALSE
Tmem51	chr4	TRUE	TRUE
Ncald	chr15	TRUE	TRUE
Igsf21	chr4	FALSE	FALSE
Med13l	chr5	FALSE	FALSE
Col27a1	chr4	FALSE	FALSE
Phactr3	chr2	FALSE	FALSE
Atxn1	chr13	FALSE	FALSE
Ttr	chr18	TRUE	TRUE
Clnk	chr5	TRUE	TRUE
Sez6	chr11	FALSE	FALSE
Akap6	chr12	TRUE	FALSE
