gene_name	chr	mch_hyper	k27ac_gained
Auts2	chr5	FALSE	TRUE
Csmd2	chr4	FALSE	TRUE
Arhgap26	chr18	TRUE	FALSE
Rasgef1b	chr5	FALSE	FALSE
Emcn	chr3	TRUE	FALSE
Slc13a1	chr6	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Fgf1	chr18	TRUE	FALSE
Runx1t1	chr4	TRUE	FALSE
Trpm3	chr19	TRUE	FALSE
Pcdh9	chr14	TRUE	FALSE
Cog5	chr12	TRUE	FALSE
Col9a1	chr1	TRUE	FALSE
Gprin3	chr6	TRUE	FALSE
Maml3	chr3	TRUE	FALSE
Csrnp3	chr2	FALSE	FALSE
Nrxn1	chr17	FALSE	TRUE
Pcgf5	chr19	FALSE	TRUE
Tenm2	chr11	FALSE	FALSE
Slc6a6	chr6	FALSE	TRUE
Zfp608	chr18	TRUE	FALSE
Cytip	chr2	TRUE	FALSE
Lsamp	chr16	TRUE	TRUE
Btbd3	chr2	TRUE	FALSE
Ephb1	chr9	FALSE	TRUE
Plekha6	chr1	FALSE	TRUE
Cerkl	chr2	TRUE	FALSE
Gabbr2	chr4	FALSE	TRUE
Tafa5	chr15	FALSE	TRUE
Gsg1l	chr7	FALSE	TRUE
Tgfbr3	chr5	FALSE	TRUE
Sema6d	chr2	TRUE	FALSE
Cacna1e	chr1	FALSE	TRUE
Msi2	chr11	FALSE	TRUE
Hgd	chr16	TRUE	FALSE
Phex	chrX	TRUE	FALSE
Afap1	chr5	FALSE	TRUE
Zbtb20	chr16	TRUE	FALSE
Lrrc4c	chr2	TRUE	FALSE
Megf11	chr9	FALSE	TRUE
Cmip	chr8	FALSE	TRUE
Epha3	chr16	TRUE	FALSE
Snca	chr6	TRUE	FALSE
Cacna2d2	chr9	FALSE	TRUE
Pappa2	chr1	TRUE	FALSE
Arhgef38	chr3	TRUE	FALSE
Nos1	chr5	FALSE	TRUE
Lamb3	chr1	TRUE	FALSE
Fam107b	chr2	TRUE	FALSE
Nln	chr13	FALSE	TRUE
Zic4	chr9	TRUE	FALSE
Pag1	chr3	FALSE	TRUE
Fstl4	chr11	FALSE	TRUE
Opcml	chr9	TRUE	FALSE
Kcnq1	chr7	FALSE	TRUE
Heg1	chr16	TRUE	FALSE
D430041D05Rik	chr2	FALSE	TRUE
Wdr25	chr12	FALSE	TRUE
Ncald	chr15	TRUE	FALSE
Med13l	chr5	FALSE	TRUE
Col27a1	chr4	FALSE	TRUE
Clnk	chr5	TRUE	FALSE
Sez6	chr11	FALSE	TRUE
Lancl3	chrX	TRUE	FALSE
Ptprn2	chr12	FALSE	FALSE
Rab11fip4	chr11	FALSE	TRUE
Anks1b	chr10	FALSE	TRUE
Angpt1	chr15	FALSE	FALSE
Cacna1c	chr6	FALSE	TRUE
Jph1	chr1	TRUE	FALSE
Fam135b	chr15	FALSE	TRUE
Lingo1	chr9	FALSE	TRUE
Ssh2	chr11	FALSE	TRUE
Cnpy1	chr5	TRUE	FALSE
Svep1	chr4	TRUE	FALSE
Elmo1	chr13	TRUE	FALSE
Plcb4	chr2	FALSE	TRUE
Ppp2r2b	chr18	FALSE	TRUE
Grik2	chr10	FALSE	TRUE
Gm973	chr1	TRUE	FALSE
Kbtbd12	chr6	TRUE	FALSE
Shank2	chr7	FALSE	TRUE
Pde4b	chr4	FALSE	TRUE
Nfia	chr4	TRUE	FALSE
Grxcr1	chr5	TRUE	FALSE
Prune2	chr19	TRUE	FALSE
Pde10a	chr17	FALSE	TRUE
Ptchd4	chr17	TRUE	FALSE
Klhl29	chr12	FALSE	TRUE
Ift57	chr16	TRUE	FALSE
Elp4	chr2	TRUE	FALSE
Dagla	chr19	FALSE	TRUE
Nkain3	chr4	TRUE	TRUE
Sybu	chr15	TRUE	FALSE
Mamdc2	chr19	TRUE	FALSE
Galnt7	chr8	TRUE	FALSE
Celf4	chr18	FALSE	TRUE
Epha5	chr5	TRUE	TRUE
Psd3	chr8	TRUE	FALSE
Asb15	chr6	TRUE	FALSE
Npvf	chr6	TRUE	FALSE
Itgb5	chr16	TRUE	FALSE
Lpp	chr16	TRUE	FALSE
Astn2	chr4	FALSE	FALSE
Dip2c	chr13	FALSE	TRUE
Dsc2	chr18	TRUE	FALSE
Rab3c	chr13	TRUE	FALSE
Ambra1	chr2	FALSE	TRUE
Focad	chr4	TRUE	FALSE
Zbtb40	chr4	TRUE	FALSE
Samd12	chr15	TRUE	FALSE
Slc24a3	chr2	TRUE	TRUE
Cdk15	chr1	TRUE	FALSE
Fam72a	chr1	TRUE	FALSE
Ercc8	chr13	TRUE	FALSE
Bank1	chr3	TRUE	FALSE
Wipf3	chr6	TRUE	FALSE
Rxra	chr2	FALSE	TRUE
Tbc1d30	chr10	FALSE	TRUE
Syn2	chr6	TRUE	FALSE
Trio	chr15	FALSE	TRUE
Adk	chr14	FALSE	FALSE
Trp73	chr4	FALSE	FALSE
Fgf14	chr14	FALSE	TRUE
Dnah11	chr12	TRUE	FALSE
Tbc1d1	chr5	FALSE	TRUE
Syt6	chr3	FALSE	FALSE
Syt1	chr10	TRUE	FALSE
Sema3a	chr5	TRUE	FALSE
Dst	chr1	FALSE	TRUE
Dkk3	chr7	FALSE	FALSE
Snd1	chr6	TRUE	FALSE
Glt8d2	chr10	TRUE	FALSE
Xkr6	chr14	FALSE	TRUE
Cenpf	chr1	TRUE	FALSE
Lrrn1	chr6	TRUE	FALSE
Ldlrad3	chr2	TRUE	FALSE
Nup93	chr8	FALSE	FALSE
Tmcc1	chr6	FALSE	TRUE
Aff3	chr1	FALSE	TRUE
F830045P16Rik	chr2	TRUE	FALSE
Tcf20	chr15	FALSE	TRUE
Hlf	chr11	FALSE	TRUE
Ncor2	chr5	FALSE	TRUE
Cdh4	chr2	FALSE	TRUE
Brinp3	chr1	TRUE	FALSE
Nfasc	chr1	FALSE	TRUE
Ncoa1	chr12	FALSE	FALSE
Chchd6	chr6	TRUE	FALSE
Mgll	chr6	TRUE	FALSE
Nsmaf	chr4	TRUE	FALSE
Anks1	chr17	FALSE	TRUE
Ntrk3	chr7	FALSE	TRUE
Cux1	chr5	FALSE	TRUE
Pou2f2	chr7	FALSE	TRUE
Cadps2	chr6	FALSE	TRUE
Mtus2	chr5	FALSE	TRUE
Prickle1	chr15	FALSE	TRUE
Fmn1	chr2	FALSE	FALSE
Atxn7l1	chr12	FALSE	FALSE
Ncoa2	chr1	FALSE	TRUE
Nav1	chr1	FALSE	TRUE
Itsn1	chr16	FALSE	FALSE
