gene_name	chr	MeCP2_up	mCH_up
Mta1	chr12	FALSE	FALSE
Cep78	chr19	FALSE	FALSE
Arl6ip6	chr2	TRUE	FALSE
Spef1	chr2	FALSE	FALSE
Cxcl2	chr5	FALSE	FALSE
Dixdc1	chr9	FALSE	TRUE
Tpd52	chr3	FALSE	TRUE
Lta4h	chr10	FALSE	TRUE
Fhit	chr14	TRUE	TRUE
Grb14	chr2	TRUE	TRUE
Slain2	chr5	FALSE	FALSE
Nipal3	chr4	FALSE	FALSE
Kctd17	chr15	FALSE	FALSE
Sstr2	chr11	FALSE	FALSE
Pcdhgb6	chr18	FALSE	TRUE
Neu4	chr1	TRUE	FALSE
Mrpl17	chr7	FALSE	FALSE
Micall1	chr15	FALSE	FALSE
Rc3h1	chr1	FALSE	TRUE
Pcsk1n	chrX	TRUE	FALSE
Pld6	chr11	FALSE	FALSE
Rnf128	chrX	FALSE	TRUE
Gm20605	chr5	FALSE	FALSE
Gopc	chr10	FALSE	TRUE
Tbc1d21	chr9	FALSE	FALSE
Gucd1	chr10	FALSE	TRUE
Glce	chr9	TRUE	TRUE
Smc6	chr12	TRUE	TRUE
Tmem255b	chr8	FALSE	FALSE
Bckdha	chr7	FALSE	TRUE
Hcn2	chr10	TRUE	FALSE
4930562C15Rik	chr16	TRUE	FALSE
Commd4	chr9	FALSE	TRUE
Mpped1	chr15	FALSE	FALSE
Wif1	chr10	TRUE	FALSE
Asb1	chr1	FALSE	FALSE
Runx2	chr17	FALSE	TRUE
Prelp	chr1	FALSE	FALSE
Muc6	chr7	FALSE	FALSE
Abca4	chr3	FALSE	TRUE
Aldh1a3	chr7	FALSE	FALSE
Ntn5	chr7	FALSE	FALSE
Chid1	chr7	TRUE	TRUE
4930453N24Rik	chr16	TRUE	FALSE
Kif13a	chr13	FALSE	TRUE
Stmnd1	chr13	FALSE	FALSE
Gabrb1	chr5	TRUE	TRUE
Atp2c2	chr8	FALSE	TRUE
Ranbp3l	chr15	FALSE	TRUE
Fbn1	chr2	FALSE	TRUE
Lgals3	chr14	FALSE	FALSE
Gnb1l	chr16	FALSE	TRUE
Celf5	chr10	FALSE	FALSE
Ptpn18	chr1	FALSE	FALSE
Gmfg	chr7	FALSE	FALSE
Kcnj10	chr1	FALSE	FALSE
Pde5a	chr3	FALSE	TRUE
Fggy	chr4	TRUE	TRUE
Ywhaq	chr12	FALSE	TRUE
Wdfy4	chr14	FALSE	TRUE
Gm5105	chr3	FALSE	TRUE
Atp2a1	chr7	FALSE	FALSE
Gucy2d	chr7	FALSE	FALSE
Eln	chr5	FALSE	FALSE
Hap1	chr11	FALSE	FALSE
Nos1ap	chr1	FALSE	TRUE
Dot1l	chr10	FALSE	FALSE
C7	chr15	FALSE	TRUE
Tmem67	chr4	FALSE	FALSE
Htra3	chr5	FALSE	FALSE
Triobp	chr15	FALSE	TRUE
Abce1	chr8	FALSE	FALSE
Tmprss5	chr9	TRUE	FALSE
Rrp1b	chr17	FALSE	FALSE
Gatb	chr3	FALSE	TRUE
Stk36	chr1	FALSE	FALSE
Smad4	chr18	FALSE	FALSE
Sp6	chr11	FALSE	FALSE
Ctbp2	chr7	TRUE	TRUE
Dgcr6	chr16	FALSE	TRUE
Rgs7bp	chr13	FALSE	TRUE
Slc9a1	chr4	FALSE	FALSE
Ncl	chr1	FALSE	FALSE
Cnot3	chr7	FALSE	FALSE
Slc39a8	chr3	TRUE	TRUE
Mknk2	chr10	FALSE	FALSE
Doc2b	chr11	FALSE	FALSE
Yjefn3	chr8	TRUE	FALSE
Wdr19	chr5	TRUE	FALSE
Slc36a1	chr11	FALSE	FALSE
Spon1	chr7	TRUE	TRUE
Sh2d3c	chr2	FALSE	FALSE
