gene_name	chr	mch_gain	mecp2_gain
Arhgap26	chr18	TRUE	TRUE
Lrrc49	chr9	TRUE	TRUE
Emcn	chr3	TRUE	TRUE
Slc13a1	chr6	TRUE	TRUE
Fgf1	chr18	TRUE	TRUE
Pcdh9	chr14	TRUE	TRUE
Cog5	chr12	TRUE	TRUE
Cadps	chr14	FALSE	FALSE
Col9a1	chr1	TRUE	TRUE
Gprin3	chr6	TRUE	TRUE
Maml3	chr3	TRUE	FALSE
Nrxn1	chr17	FALSE	TRUE
Erbb4	chr1	TRUE	TRUE
Slc6a6	chr6	FALSE	TRUE
Zfp608	chr18	TRUE	TRUE
Cytip	chr2	TRUE	TRUE
Camta1	chr4	FALSE	TRUE
Lsamp	chr16	TRUE	TRUE
Ctnnd2	chr15	FALSE	FALSE
Patj	chr4	TRUE	TRUE
Btbd3	chr2	TRUE	FALSE
Ephb1	chr9	FALSE	FALSE
Cerkl	chr2	TRUE	TRUE
Gabbr2	chr4	FALSE	FALSE
Tafa5	chr15	FALSE	TRUE
Tgfbr3	chr5	FALSE	FALSE
Cacna1e	chr1	FALSE	TRUE
Msi2	chr11	FALSE	FALSE
Hgd	chr16	TRUE	TRUE
Dlgap4	chr2	FALSE	TRUE
Phex	chrX	TRUE	TRUE
Ephb2	chr4	FALSE	FALSE
Zbtb20	chr16	TRUE	TRUE
Lrrc4c	chr2	TRUE	TRUE
Megf11	chr9	FALSE	FALSE
Ccdc192	chr18	TRUE	TRUE
Epha3	chr16	TRUE	TRUE
Snca	chr6	TRUE	TRUE
Cacna2d2	chr9	FALSE	FALSE
Nos1	chr5	FALSE	FALSE
Lamb3	chr1	TRUE	TRUE
Fam107b	chr2	TRUE	TRUE
Zic4	chr9	TRUE	TRUE
Pag1	chr3	FALSE	FALSE
Heg1	chr16	TRUE	TRUE
Prkce	chr17	FALSE	TRUE
D430041D05Rik	chr2	FALSE	FALSE
Ncald	chr15	TRUE	FALSE
Igsf21	chr4	FALSE	FALSE
Med13l	chr5	FALSE	TRUE
Phactr3	chr2	FALSE	TRUE
Atxn1	chr13	FALSE	TRUE
Clnk	chr5	TRUE	TRUE
Sez6	chr11	FALSE	FALSE
Akap6	chr12	FALSE	TRUE
Ksr2	chr5	FALSE	FALSE
Cntnap2	chr6	FALSE	TRUE
Nav3	chr10	TRUE	TRUE
Lancl3	chrX	TRUE	FALSE
Tmem150c	chr5	FALSE	FALSE
Dip2b	chr15	FALSE	FALSE
Rab11fip4	chr11	FALSE	FALSE
Anks1b	chr10	FALSE	FALSE
Slc35g2	chr9	TRUE	TRUE
Angpt1	chr15	FALSE	FALSE
Cacna1c	chr6	FALSE	FALSE
Jph1	chr1	TRUE	FALSE
Brpf3	chr17	FALSE	TRUE
Fam135b	chr15	FALSE	FALSE
Ptk2	chr15	FALSE	FALSE
Dgkb	chr12	TRUE	TRUE
Lingo1	chr9	FALSE	FALSE
Ssh2	chr11	FALSE	FALSE
Cnpy1	chr5	TRUE	TRUE
Svep1	chr4	TRUE	TRUE
Plcb4	chr2	FALSE	TRUE
Grik2	chr10	FALSE	TRUE
Gm973	chr1	TRUE	FALSE
Pde4b	chr4	FALSE	FALSE
Nfia	chr4	TRUE	TRUE
Grxcr1	chr5	TRUE	FALSE
Pde10a	chr17	FALSE	TRUE
Ptchd4	chr17	TRUE	TRUE
Klhl29	chr12	FALSE	FALSE
Ralgps1	chr2	FALSE	FALSE
Ift57	chr16	TRUE	TRUE
Elp4	chr2	TRUE	TRUE
Kctd8	chr5	TRUE	FALSE
Sybu	chr15	TRUE	TRUE
Mamdc2	chr19	TRUE	TRUE
Galnt7	chr8	TRUE	TRUE
Celf4	chr18	FALSE	TRUE
Foxn3	chr12	FALSE	FALSE
Psd3	chr8	TRUE	TRUE
Clybl	chr14	TRUE	TRUE
Cep350	chr1	FALSE	FALSE
Prkcb	chr7	FALSE	FALSE
Adam22	chr5	FALSE	FALSE
Itgb5	chr16	TRUE	TRUE
Spag17	chr3	TRUE	TRUE
Tcf12	chr9	FALSE	FALSE
Lpp	chr16	TRUE	TRUE
Astn2	chr4	FALSE	TRUE
Nbea	chr3	FALSE	TRUE
Bahcc1	chr11	FALSE	FALSE
Hcn1	chr13	TRUE	TRUE
Igf1r	chr7	FALSE	FALSE
Fbh1	chr2	FALSE	FALSE
Zfpm2	chr15	FALSE	TRUE
Rab3c	chr13	TRUE	TRUE
Ahcyl2	chr6	FALSE	FALSE
Focad	chr4	TRUE	TRUE
Grin2a	chr16	FALSE	FALSE
Mbd5	chr2	FALSE	FALSE
Zbtb40	chr4	TRUE	FALSE
Samd12	chr15	TRUE	FALSE
Cdk15	chr1	TRUE	TRUE
Ryr2	chr13	FALSE	TRUE
Vps13d	chr4	FALSE	TRUE
Fam72a	chr1	TRUE	FALSE
Ercc8	chr13	TRUE	TRUE
Bank1	chr3	TRUE	TRUE
Wipf3	chr6	TRUE	TRUE
Mvb12b	chr2	FALSE	FALSE
Ptprg	chr14	FALSE	FALSE
Gnaq	chr19	FALSE	TRUE
Cacnb4	chr2	FALSE	FALSE
Adgrb3	chr1	FALSE	TRUE
Syn2	chr6	TRUE	TRUE
Trio	chr15	FALSE	FALSE
Rap1gap2	chr11	FALSE	FALSE
Rgs7	chr1	FALSE	TRUE
Pld5	chr1	TRUE	FALSE
Kcnj6	chr16	FALSE	FALSE
Rora	chr9	FALSE	FALSE
Rbfox1	chr16	FALSE	FALSE
Adk	chr14	FALSE	FALSE
Fgf14	chr14	FALSE	FALSE
Baz2b	chr2	FALSE	TRUE
Syt2	chr1	FALSE	FALSE
Tbc1d1	chr5	FALSE	TRUE
Btbd9	chr17	FALSE	TRUE
Syt1	chr10	TRUE	FALSE
Sema3a	chr5	TRUE	TRUE
Fto	chr8	FALSE	FALSE
Dst	chr1	FALSE	FALSE
Ascc3	chr10	FALSE	FALSE
Bcl2l15	chr3	TRUE	TRUE
Snd1	chr6	TRUE	FALSE
Sik3	chr9	FALSE	FALSE
