gene_name	chr	MeCP2_up	K27ac_up
Arhgap26	chr18	TRUE	FALSE
Lrrc49	chr9	TRUE	FALSE
Emcn	chr3	TRUE	FALSE
Slc13a1	chr6	TRUE	FALSE
Fgf1	chr18	TRUE	FALSE
Pcdh9	chr14	TRUE	FALSE
Cog5	chr12	TRUE	FALSE
Cadps	chr14	FALSE	TRUE
Col9a1	chr1	TRUE	FALSE
Gprin3	chr6	TRUE	FALSE
Maml3	chr3	FALSE	FALSE
Nrxn1	chr17	TRUE	TRUE
Erbb4	chr1	TRUE	FALSE
Slc6a6	chr6	TRUE	TRUE
Zfp608	chr18	TRUE	FALSE
Cytip	chr2	TRUE	FALSE
Camta1	chr4	TRUE	TRUE
Lsamp	chr16	TRUE	TRUE
Ctnnd2	chr15	FALSE	TRUE
Patj	chr4	TRUE	FALSE
Btbd3	chr2	FALSE	FALSE
Ephb1	chr9	FALSE	TRUE
Cerkl	chr2	TRUE	FALSE
Gabbr2	chr4	FALSE	TRUE
Tafa5	chr15	TRUE	TRUE
Tgfbr3	chr5	FALSE	TRUE
Cacna1e	chr1	TRUE	TRUE
Msi2	chr11	FALSE	TRUE
Hgd	chr16	TRUE	FALSE
Dlgap4	chr2	TRUE	FALSE
Phex	chrX	TRUE	FALSE
Ephb2	chr4	FALSE	TRUE
Zbtb20	chr16	TRUE	FALSE
Lrrc4c	chr2	TRUE	FALSE
Megf11	chr9	FALSE	TRUE
Epha3	chr16	TRUE	FALSE
Snca	chr6	TRUE	FALSE
Cacna2d2	chr9	FALSE	TRUE
Arhgef38	chr3	TRUE	FALSE
Nos1	chr5	FALSE	TRUE
Lamb3	chr1	TRUE	FALSE
Fam107b	chr2	TRUE	FALSE
Zic4	chr9	TRUE	FALSE
Pag1	chr3	FALSE	TRUE
Heg1	chr16	TRUE	FALSE
Prkce	chr17	TRUE	TRUE
D430041D05Rik	chr2	FALSE	TRUE
Ncald	chr15	FALSE	FALSE
Igsf21	chr4	FALSE	TRUE
Med13l	chr5	TRUE	TRUE
Phactr3	chr2	TRUE	TRUE
Atxn1	chr13	TRUE	TRUE
Clnk	chr5	TRUE	FALSE
Sez6	chr11	FALSE	TRUE
Akap6	chr12	TRUE	FALSE
Ksr2	chr5	FALSE	TRUE
Cntnap2	chr6	TRUE	FALSE
Nav3	chr10	TRUE	TRUE
Lancl3	chrX	FALSE	FALSE
Tmem150c	chr5	FALSE	TRUE
Dip2b	chr15	FALSE	FALSE
Rab11fip4	chr11	FALSE	TRUE
Anks1b	chr10	FALSE	TRUE
Slc35g2	chr9	TRUE	FALSE
Angpt1	chr15	FALSE	FALSE
Cacna1c	chr6	FALSE	TRUE
Jph1	chr1	FALSE	FALSE
Vti1a	chr19	FALSE	TRUE
Brpf3	chr17	TRUE	TRUE
Fam135b	chr15	FALSE	TRUE
Ptk2	chr15	FALSE	TRUE
Dgkb	chr12	TRUE	FALSE
Lingo1	chr9	FALSE	TRUE
Ssh2	chr11	FALSE	TRUE
Cnpy1	chr5	TRUE	FALSE
Svep1	chr4	TRUE	FALSE
Plcb4	chr2	TRUE	TRUE
Grik2	chr10	TRUE	TRUE
Gm973	chr1	FALSE	FALSE
Cux2	chr5	TRUE	TRUE
Pde4b	chr4	FALSE	TRUE
Nfia	chr4	TRUE	FALSE
Grxcr1	chr5	FALSE	FALSE
Pde10a	chr17	TRUE	TRUE
Mad1l1	chr5	FALSE	TRUE
Ptchd4	chr17	TRUE	FALSE
Klhl29	chr12	FALSE	TRUE
Ralgps1	chr2	FALSE	FALSE
Ift57	chr16	TRUE	FALSE
Elp4	chr2	TRUE	FALSE
Kctd8	chr5	FALSE	FALSE
Gtf3c1	chr7	FALSE	TRUE
Sybu	chr15	TRUE	FALSE
