gene_name	chr	mch_hyper	k27me3_gained
Fgf1	chr18	TRUE	TRUE
Runx1t1	chr4	TRUE	TRUE
Trpm3	chr19	TRUE	TRUE
Cadps	chr14	FALSE	TRUE
Gprin3	chr6	TRUE	TRUE
Csrnp3	chr2	FALSE	TRUE
Erbb4	chr1	TRUE	TRUE
Pcgf5	chr19	FALSE	FALSE
Tenm2	chr11	FALSE	TRUE
Enox1	chr14	FALSE	FALSE
Slc6a6	chr6	FALSE	FALSE
Zfp608	chr18	TRUE	TRUE
Camta1	chr4	FALSE	TRUE
Lsamp	chr16	TRUE	TRUE
Btbd3	chr2	TRUE	TRUE
Abr	chr11	FALSE	FALSE
Plekha6	chr1	FALSE	FALSE
Gsg1l	chr7	FALSE	FALSE
Rnf157	chr11	FALSE	FALSE
Afap1	chr5	FALSE	FALSE
Zbtb20	chr16	TRUE	TRUE
Cmip	chr8	FALSE	FALSE
Epha3	chr16	TRUE	TRUE
Zic4	chr9	TRUE	TRUE
Col27a1	chr4	FALSE	FALSE
Cntnap2	chr6	FALSE	TRUE
Nav3	chr10	TRUE	TRUE
Angpt1	chr15	FALSE	TRUE
Pcdh7	chr5	TRUE	FALSE
Gria1	chr11	TRUE	FALSE
Lrba	chr3	FALSE	TRUE
Fam135b	chr15	FALSE	FALSE
Nfib	chr4	TRUE	TRUE
Zbtb16	chr9	FALSE	FALSE
Foxp1	chr6	FALSE	FALSE
Shank2	chr7	FALSE	FALSE
Nfia	chr4	TRUE	TRUE
Grxcr1	chr5	TRUE	TRUE
Myo3b	chr2	TRUE	FALSE
Prune2	chr19	TRUE	FALSE
Ift57	chr16	TRUE	TRUE
Dagla	chr19	FALSE	FALSE
Nkain3	chr4	TRUE	FALSE
Gtf3c1	chr7	FALSE	FALSE
Mamdc2	chr19	TRUE	TRUE
Prkca	chr11	FALSE	FALSE
Clybl	chr14	TRUE	TRUE
Npvf	chr6	TRUE	TRUE
Alk	chr17	FALSE	FALSE
Itgb5	chr16	TRUE	TRUE
Vav2	chr2	FALSE	FALSE
Grip1	chr10	FALSE	FALSE
Nbea	chr3	FALSE	TRUE
Hcn1	chr13	TRUE	TRUE
Dsc2	chr18	TRUE	TRUE
Focad	chr4	TRUE	TRUE
Slc24a3	chr2	TRUE	FALSE
Dapk1	chr13	FALSE	FALSE
Rxra	chr2	FALSE	FALSE
Tbc1d30	chr10	FALSE	TRUE
Trp73	chr4	FALSE	TRUE
Dnah11	chr12	TRUE	TRUE
Tbc1d1	chr5	FALSE	TRUE
Btbd9	chr17	FALSE	FALSE
Syt6	chr3	FALSE	TRUE
Syt1	chr10	TRUE	TRUE
Nek7	chr1	FALSE	TRUE
Sema3a	chr5	TRUE	TRUE
Robo2	chr16	TRUE	TRUE
Sh3gl3	chr7	FALSE	FALSE
Cenpf	chr1	TRUE	TRUE
Dysf	chr6	FALSE	FALSE
Lrrn1	chr6	TRUE	TRUE
Ldlrad3	chr2	TRUE	TRUE
Rgl1	chr1	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Cdh4	chr2	FALSE	FALSE
Nfasc	chr1	FALSE	TRUE
Prdm5	chr6	TRUE	TRUE
Rapgef2	chr3	FALSE	TRUE
Prickle1	chr15	FALSE	FALSE
Gphn	chr12	FALSE	FALSE
Nav1	chr1	FALSE	FALSE
Myt1l	chr12	TRUE	TRUE
Cntnap5a	chr1	TRUE	FALSE
Cntn4	chr6	TRUE	TRUE
Tmem132c	chr5	TRUE	TRUE
Cdh20	chr1	TRUE	TRUE
Arap2	chr5	TRUE	TRUE
Pax5	chr4	FALSE	FALSE
Kcnab1	chr3	TRUE	TRUE
Pnpla7	chr2	FALSE	FALSE
Slc1a7	chr4	FALSE	FALSE
Zswim6	chr13	FALSE	TRUE
Msrb3	chr10	FALSE	FALSE
Osbpl5	chr7	FALSE	FALSE
Hs6st3	chr14	FALSE	TRUE
Ntrk2	chr13	FALSE	TRUE
Mms22l	chr4	FALSE	FALSE
Mtss1	chr15	FALSE	TRUE
Hdgfl3	chr7	FALSE	FALSE
Prdm16	chr4	FALSE	FALSE
Fryl	chr5	FALSE	TRUE
Triqk	chr4	TRUE	TRUE
Ap3b1	chr13	FALSE	TRUE
Iqgap2	chr13	FALSE	TRUE
Epyc	chr10	TRUE	TRUE
Shisal1	chr15	FALSE	FALSE
Fibcd1	chr2	FALSE	FALSE
