gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	mch_ctrl	mch_mut	mch_diff	ctrl_M1_mch	ctrl_M2_mch	ctrl_F1_mch	ctrl_F2_mch	mut_M1_mch	mut_M2_mch	mut_F1_mch	mut_F2_mch	n_ch_sites_mean	total_coverage_mean	edger_logFC	edger_logCPM	edger_F	edger_pval	edger_fdr	p_bonferroni	sig_bonferroni	sig_fdr005	sig_fdr010
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	+	protein_coding	383140	0.0354762192867347	0.0685588248726125	0.0330826055858778	0.0365846396617689	0.0352933660647432	0.0350813472375639	0.0349455241828627	0.0666344237175518	0.0702313873818519	0.0680010092914181	0.0693684790996283	58700	1387424.75	0.93110178096528	9.5508431310376	4001.20402813204	3.21716060729615e-24	6.55303444100154e-20	6.55303444100154e-20	TRUE	TRUE	TRUE
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	-	protein_coding	119300	0.0334645984709451	0.0763208272624193	0.0428562287914742	0.0335572112912835	0.0324826533198922	0.0339971940954008	0.0338213351772039	0.0743016403660368	0.0770279713322229	0.0759900626353425	0.077963634716075	18870	438510.25	1.17642795229081	7.97524275989069	3042.37792718803	4.7046000293823e-23	4.7913998999244e-19	9.5827997998488e-19	TRUE	TRUE	TRUE
Arhgap26	ENSMUSG00000118193.1	chr18	38676717	39110534	+	protein_coding	433817	0.0460912707750642	0.0759294496836638	0.0298381789085995	0.0467294834592126	0.0454341275337364	0.0458808155254251	0.0463206565818829	0.0739593504607331	0.0768235490314671	0.0760516681357065	0.0768832311067483	66643.25	1537714.125	0.706669924710771	9.92506088686735	2791.60932503644	1.09134963155831e-22	5.69024858098556e-19	2.22297006452113e-18	TRUE	TRUE	TRUE
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	+	protein_coding	91119	0.0549025316374109	0.12309240077829	0.0681898691408789	0.0562176462358343	0.053725654671982	0.0534863749659636	0.0561804506758635	0.116524970727486	0.126463908260588	0.123613944112944	0.125766780012141	12579.125	301617.375	1.13725115264703	8.12778057232347	2731.84586879322	1.34855043981708e-22	5.69024858098556e-19	2.7468623908634e-18	TRUE	TRUE	TRUE
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	-	protein_coding	1106012	0.105117791083924	0.0681677925817553	-0.0369499985021684	0.104067007282194	0.105688622483642	0.10638929932529	0.104326235244568	0.0667690720583358	0.0696318829243703	0.0667188373356962	0.0695513780086188	167782.375	3997587.5	-0.636791067869862	11.8225341349137	2722.04348202861	1.39679134493239e-22	5.69024858098556e-19	2.84512429049278e-18	TRUE	TRUE	TRUE
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	-	protein_coding	79810	0.0411225430726513	0.100523779607756	0.0594012365351049	0.0432049939072621	0.0408027436008837	0.0396068616666106	0.0408755731158486	0.0968908043963232	0.101988123916828	0.0999296052136415	0.103286584904232	11135.75	268092.875	1.26366151502455	7.62916765185272	2670.91273752068	1.68131213947505e-22	5.70777449482789e-19	3.42466469689674e-18	TRUE	TRUE	TRUE
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	+	protein_coding	579800	0.0872609003912567	0.0515244876357923	-0.0357364127554644	0.0862166100048567	0.0878734600573787	0.0878782092639329	0.0870753222388584	0.0483579984812165	0.052622821035159	0.0513160279320214	0.0538011030947724	92414.25	2034088.875	-0.785993146988604	10.5328047788987	2623.62086845056	2.00213972217724e-22	5.82594057157547e-19	4.07815840010283e-18	TRUE	TRUE	TRUE
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	-	protein_coding	88984	0.0498972617559578	0.0984062887296038	0.048509026973646	0.0491389652519623	0.0489833715184366	0.0508596755723619	0.0506070346810704	0.0976647062204257	0.098718608448163	0.0977563601088963	0.0994854801409303	13544.5	324860.875	0.977528961372953	7.9713637308128	2063.33574639915	2.09121260000542e-21	5.32448868118881e-18	4.25959094495104e-17	TRUE	TRUE	TRUE
Pcdh9	ENSMUSG00000055421.8	chr14	93013409	93890679	-	protein_coding	877270	0.0462559539444198	0.0667540509120776	0.0204980969676578	0.0469104105723551	0.045419706148837	0.0462515232574804	0.0464421757990067	0.0646797302742596	0.0684314306634189	0.066132428302822	0.0677726144078101	120043.625	2910037.125	0.510710802228796	10.7398169144498	1974.3482746612	3.21481145054291e-21	7.27583271512318e-18	6.54824944361086e-17	TRUE	TRUE	TRUE
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	+	protein_coding	856365	0.0335044285552414	0.0542747470303907	0.0207703184751493	0.0352298790213258	0.0325924350112049	0.0332577842510733	0.0329376159373615	0.052618709230324	0.0556817248569365	0.0541484765069251	0.0546500775273771	123853.375	2909564.25	0.673618207301563	10.3719137466767	1850.42411377477	6.04813884745417e-21	1.23194540183794e-17	1.23194540183794e-16	TRUE	TRUE	TRUE
