gene_name	gene_id	ctrl_M1	ctrl_M2	ctrl_F1	ctrl_F2	mut_M1	mut_M2	mut_F1	mut_F2
Xkr4	ENSMUSG00000051951.5	0.0205889004608122	0.017196019608939	0.0172312436373931	0.0184838218620276	0.0156313748318663	0.021464187763146	0.0177042399919393	0.0228947443669221
Rp1	ENSMUSG00000025900.13	0.0154108903179866	0.0103711899900771	0.0111362132549784	0.0119572868078526	0.00941795335433471	0.0150863101917708	0.0122422498406365	0.016351754420998
Sox17	ENSMUSG00000025902.13	0.0216635734773072	0.0115755423062286	0.00859940400170285	0.0147234174918347	0.0162348877374784	0.0157814060431521	0.0127491146448163	0.0177453661501064
Mrpl15	ENSMUSG00000033845.13	0.0131678071442024	0.0128039197559397	0.00915697842894069	0.0152248562326755	0.00689077891212388	0.0169495841545835	0.0109742454466352	0.0152740231014991
Lypla1	ENSMUSG00000025903.14	0.0153937657141312	0.01446249592937	0.0118498577460576	0.0141312395144912	0.0102259517582098	0.0158602154881937	0.0134043904597422	0.0179761048384575
Gm37988	ENSMUSG00000104217.1	0.0149777569132408	0.0131232299594849	0.012788129291869	0.0139426105747741	0.0107859195846339	0.01642841221175	0.0136318798319851	0.0189331427194473
Tcea1	ENSMUSG00000033813.15	0.0154710664753706	0.0125840303329983	0.0135999693521817	0.0131432700808111	0.0114496013085259	0.0162582794337628	0.0138029175397609	0.0193871728707323
Rgs20	ENSMUSG00000002459.17	0.0180916829337655	0.0138109820506594	0.0128845443586412	0.0151570295083668	0.0101105709245794	0.0166639183489264	0.0137599864941958	0.0184287862040786
Atp6v1h	ENSMUSG00000033793.12	0.014945321363262	0.0127726681754707	0.0122451486959667	0.0135401216793161	0.00996749287064701	0.0152168071967808	0.0116640129494348	0.0169204545454545
Oprk1	ENSMUSG00000025905.14	0.0130293868139995	0.00778331257783313	0.010967630357709	0.0106197836052462	0.00598024624543364	0.014387699066447	0.00940219346247159	0.0160518384045445
Npbwr1	ENSMUSG00000033774.4	0.0192066805845511	0.0166950902073423	0.0126543446583327	0.0160965794768612	0.00901277584204414	0.0179377585526203	0.0156601286921467	0.0206185567010309
Rb1cc1	ENSMUSG00000025907.14	0.0151280480003232	0.0109012134737429	0.00909777047802426	0.0138411507594723	0.00993076184370039	0.0149225566634817	0.0112361037294161	0.0172374748243729
Alkal1	ENSMUSG00000087247.3	0.0196982323008457	0.0230582265071357	0.0196754117554254	0.0200510249373767	0.0135602800573766	0.022744570876801	0.0201005128542852	0.0235835633269041
St18	ENSMUSG00000033740.17	0.0218196566853455	0.0171614603390718	0.017789561628933	0.0193879729029235	0.0231034456199985	0.0276176557154619	0.0239269837249455	0.0282721116201325
Pcmtd1	ENSMUSG00000051285.17	0.0179560615403432	0.0156658054180473	0.016128869158973	0.015875486381323	0.0116075105626821	0.0177511185500772	0.0141193590316773	0.0200774245899145
Sntg1	ENSMUSG00000025909.16	0.0158594083713385	0.0120834408765359	0.0114262787694391	0.0128563991315889	0.0104057516100831	0.0154399796062057	0.0120500314442023	0.0168069029814358
Rrs1	ENSMUSG00000061024.8	0.0161972682219267	0.0133530204789112	0.0105534267227841	0.0159970466990709	0.0073941659218331	0.0260691070817653	0.0200687540648518	0.0259218692953633
Adhfe1	ENSMUSG00000025911.14	0.0187437144953929	0.0146617765876894	0.0119639100178022	0.0132641904819753	0.0109996342164394	0.0145377469107964	0.0136327902021049	0.0181325252452589
Vxn	ENSMUSG00000067879.3	0.0319700905472436	0.0304562140633634	0.0299614705068438	0.0314441309876762	0.0240039577389383	0.0322653349043131	0.0291888812880798	0.0313126785814331
Mybl1	ENSMUSG00000025912.16	0.0219386685163975	0.0176958388864209	0.0180219323516355	0.0195788910202079	0.0160487720573775	0.0231717080622452	0.0193908723865487	0.0245444403123838
Vcpip1	ENSMUSG00000045210.8	0.0181172614712309	0.0111012507744085	0.0138809755225615	0.0137425353390279	0.011808996017728	0.017620322520391	0.0146409568368423	0.0190128890286074
Sgk3	ENSMUSG00000025915.14	0.0181444232321045	0.0140526885600866	0.0143900997424197	0.0166948599298505	0.0121561212870939	0.0177860116382611	0.0151348917551597	0.0197563862919024
Mcmdc2	ENSMUSG00000046101.16	0.015258266695483	0.0125350931251712	0.0111213815775715	0.0127304498066087	0.00999228395061728	0.0153897611907395	0.0105466256906281	0.0150017616407366
Tcf24	ENSMUSG00000099032.2	0.0173863400456716	0.0110668273241264	0.0137821583695289	0.016782067832414	0.00774044032444959	0.0189958865931359	0.0131620818895411	0.0201813337575059
Ppp1r42	ENSMUSG00000025916.10	0.0138060346141729	0.0135930666627857	0.0143894258276489	0.0147706685741408	0.0109044231038834	0.0171625135584178	0.0122196264931236	0.0191563906031142
Cops5	ENSMUSG00000025917.9	0.0184787219001838	0.0112723529649215	0.0124077897655122	0.0085417159924964	0.0102857409111559	0.01396614403283	0.0129440938888752	0.018939353771434
Cspp1	ENSMUSG00000056763.16	0.0159499320015316	0.0116297388822787	0.00993671621859285	0.012739482938495	0.0104367002087732	0.0151168135904873	0.0108762856356309	0.0164171889879734
Arfgef1	ENSMUSG00000067851.11	0.0141698340279997	0.0111274901059639	0.0110080173225325	0.012093504773715	0.00887098647382643	0.0139115374588859	0.0119965347052906	0.0168043730746196
Cpa6	ENSMUSG00000042501.12	0.0162423300108282	0.0125771133218474	0.0120318999770073	0.0132237208344432	0.0117411066559888	0.0166210778682046	0.0136427151077145	0.0176281284774676
Prex2	ENSMUSG00000048960.13	0.0210208024380621	0.0172946603816042	0.0168316422520201	0.0181198861766793	0.0183786314195236	0.0234479518965443	0.0203094331661741	0.023448593927633
A830018L16Rik	ENSMUSG00000057715.13	0.0173337959148272	0.0126800261640007	0.0120807957500078	0.0145611994435239	0.0115816941055639	0.0170974789486633	0.0136139823008114	0.0185904585170117
Sulf1	ENSMUSG00000016918.15	0.0186059169244135	0.0168953049173053	0.016097232048441	0.0166232038519392	0.0143618649978821	0.0192373787587704	0.0174313957033614	0.0196184776995518
Slco5a1	ENSMUSG00000025938.16	0.0179073638294209	0.0148382580687961	0.0137120265682256	0.0152029066294625	0.0127428501466423	0.019528627152919	0.0155257015686913	0.020650843267528
Prdm14	ENSMUSG00000042414.7	0.0234807508749602	0.0145870969081584	0.0151357652887745	0.0166755236297667	0.0157145173494757	0.0161361514302691	0.0158323446426257	0.019696487100188
Ncoa2	ENSMUSG00000005886.14	0.0200928969515164	0.016727230405152	0.0166807481753384	0.0171855106654973	0.013003987264558	0.0175611493618107	0.0143525468031101	0.0195148691904867
Tram1	ENSMUSG00000025935.10	0.0171841013841	0.0131799585975606	0.0127299458529064	0.0129904901678847	0.0119932488334381	0.0148655638959457	0.0130553601028828	0.0154372122145695
Lactb2	ENSMUSG00000025937.6	0.0170032095832596	0.0142368371032123	0.0136048570343132	0.0164168057970017	0.0126687113772673	0.0178033520661263	0.0135302124001576	0.0192806548821026
Xkr9	ENSMUSG00000067813.3	0.0171961080659428	0.0159948299539543	0.0147384890671531	0.015579914138926	0.0135958637935501	0.0204150709631273	0.0159131745334896	0.0221486657676433
Eya1	ENSMUSG00000025932.14	0.0298555852175871	0.0281593899898862	0.0260009717877331	0.0292400700442526	0.0318829715770321	0.0370047888550283	0.0341311204921689	0.0368902176827387
Msc	ENSMUSG00000025930.6	0.0169130187606595	0.0235849056603774	0.0227570120043238	0.0191677852348993	0.0248688113164499	0.0301528567023479	0.0319537820496434	0.0400339682154555
Trpa1	ENSMUSG00000032769.5	0.0147384150464567	0.0136090098578654	0.0101023920669407	0.0122772377480761	0.00826528087107152	0.0153173437306937	0.0116708618922443	0.0156153661433421
Kcnb2	ENSMUSG00000092083.4	0.0311711381096346	0.0293446944357974	0.0297728865908418	0.0301183135124924	0.0285211872028359	0.0328193909250232	0.0302133631184329	0.0346973137766953
Terf1	ENSMUSG00000025925.14	0.0138237768962616	0.0128750373147348	0.0134678912404255	0.0126611932444803	0.0143206039076377	0.0182048049322361	0.0148106627743377	0.0189770399687081
Sbspon	ENSMUSG00000032719.4	0.0208190408745878	0.0171899918416209	0.0162192521080474	0.0170539988812286	0.0172239158714239	0.0210336317732719	0.0183067064438224	0.0213459228191456
4930444P10Rik	ENSMUSG00000067795.13	0.0216949497002337	0.0158884544750667	0.0146737471038657	0.0152320105684529	0.00990001396682468	0.0198239330368271	0.0131732298472393	0.020373247330436
Rpl7	ENSMUSG00000043716.13	0.021091271075717	0.00558721644876523	0.0134361047931935	0.00755796888758439	0.0133119486768244	0.0166709721863429	0.0114289206698448	0.0159632034632035
Rdh10	ENSMUSG00000025921.7	0.024282726578252	0.0172102585882376	0.0188454717618895	0.0205215741254506	0.0162044731468731	0.0214012355352474	0.0190762799653325	0.0229547497752472
Stau2	ENSMUSG00000025920.19	0.0180345839145891	0.0151012177190818	0.0147100451304124	0.0160271364381562	0.0117351468757094	0.0171758850260123	0.0141053011466562	0.0191550559850803
Ube2w	ENSMUSG00000025939.19	0.0173201178150173	0.0125819721830953	0.0140114881522769	0.0137784164689994	0.00908433265629782	0.0151304668991402	0.0121698766473226	0.0166681398862139
Eloc	ENSMUSG00000079658.9	0.0224027448408093	0.0117697768316605	0.0116365781904301	0.0128208303407055	0.0103113012253868	0.018222978115341	0.012938827164552	0.0206354501923228
Tmem70	ENSMUSG00000025940.6	0.0184452376722175	0.0133443604989047	0.00880824855776399	0.0114411394613571	0.00806463043016087	0.014633077988754	0.0120534599050712	0.0200216190247418
Ly96	ENSMUSG00000025779.10	0.014650869865803	0.0102733129293924	0.0127951689774697	0.0158097417537125	0.0106693774345657	0.016880706921944	0.0129810654912433	0.0185861975796704
Jph1	ENSMUSG00000042686.5	0.0202045788601844	0.0167197898070768	0.0173955850824001	0.0182985590561927	0.0250263495554945	0.0305327244152285	0.0266558231154074	0.0321223020724758
Gdap1	ENSMUSG00000025777.8	0.0203583447883585	0.016063934136262	0.0168822783902054	0.0196113997155875	0.0161449438321435	0.0235544456949916	0.019786954136991	0.0240042007351286
Pi15	ENSMUSG00000067780.3	0.017513757029691	0.0107318815771847	0.0117769647570972	0.0134449090760354	0.0104396672024872	0.016410636497759	0.0121610964048044	0.0179695200545909
Crispld1	ENSMUSG00000025776.13	0.0168422150380644	0.0115809777598748	0.0115803984568968	0.013814853976009	0.00944901048988861	0.0157422303473492	0.013534005749933	0.0173660385303716
Crisp4	ENSMUSG00000025774.14	0.0151386597533192	0.0109095197845616	0.0125327771431743	0.0130137683910334	0.00936919617162421	0.01928915836313	0.0140315451198641	0.0207097822196525
Defb18	ENSMUSG00000073735.1	0.0141158989598811	0.0073097319764942	0.00335988053758089	0.0115313653136531	0.0139745916515427	0.0116904172710982	0.0103921296937786	0.0211649466503411
Defb41	ENSMUSG00000067773.6	0.0236169784751559	0.0115811364457119	0.00934251873338168	0.013078308389741	0.00637319413843583	0.0152399481193256	0.0141295800747319	0.0171189861269882
Tfap2d	ENSMUSG00000042596.7	0.0156114274683911	0.0133017176565844	0.0107708092856227	0.0129930312177137	0.0104914936936287	0.01685590745523	0.0127073221471797	0.017996564874385
Tfap2b	ENSMUSG00000025927.13	0.0187054857596675	0.0139715444289988	0.0124264224983649	0.0144418379085557	0.0137692239832976	0.0159156654490171	0.0128121206350718	0.0177367398307185
