gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	mch_ctrl	mch_mut	mch_diff	ctrl_M1_mch	ctrl_M2_mch	ctrl_F1_mch	ctrl_F2_mch	mut_M1_mch	mut_M2_mch	mut_F1_mch	mut_F2_mch	n_ch_sites_mean	total_coverage_mean	edger_logFC	edger_logCPM	edger_F	edger_pval	edger_fdr	p_bonferroni	sig_bonferroni	sig_fdr005	sig_fdr010
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	-	protein_coding	1106012	0.0585930354568514	0.0405551707375849	-0.0180378647192666	0.0591015406781917	0.0583260404621734	0.0586561529185429	0.0582884077684978	0.037478209814417	0.0424535015111042	0.0387528452301247	0.0435361263946936	451114	10141579.125	-0.589453234068138	11.4230387475933	1406.62637732946	3.07776353479975e-24	6.49315772936704e-20	6.49315772936704e-20	TRUE	TRUE	TRUE
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	+	protein_coding	579800	0.0495954803208768	0.0322662483584066	-0.0173292319624701	0.05050942201369	0.0493590027075866	0.0489265959194582	0.0495869006427723	0.0283735164667936	0.0340987664272395	0.0312305322839468	0.0353621782556467	259220.875	5291654.25	-0.702488424646554	10.2104312469861	1218.00240834166	1.94557948405814e-23	2.05229451875872e-19	4.10458903751745e-19	TRUE	TRUE	TRUE
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	+	protein_coding	383140	0.0240667114846402	0.0411655718277919	0.0170988603431517	0.0257270096222647	0.023352593795499	0.0232126103692273	0.02397463215157	0.0376731535521374	0.0434192986335345	0.0398322342695883	0.0437376008559075	160940.5	3563067.5	0.704215640764072	9.28252365863893	921.267333305505	6.84028496825398e-22	4.81031639917514e-18	1.44309491975254e-17	TRUE	TRUE	TRUE
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	-	protein_coding	511640	0.0543948964773618	0.0369045314632584	-0.0174903650141034	0.054215439268905	0.0544393304932921	0.0533936635767515	0.0555311525704984	0.0334087054062766	0.039330646663393	0.0353485272966872	0.0395302464866767	210049.25	4749845.75	-0.626358182933927	10.2077628584329	807.764456856044	3.62484904542843e-21	1.91183600778509e-17	7.64734403114037e-17	TRUE	TRUE	TRUE
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	-	protein_coding	119300	0.0232240221033662	0.0457047237189033	0.0224807016155371	0.0238604612713896	0.0220799838842737	0.023573094824411	0.0233825484333904	0.0426396728711491	0.0470717898334735	0.0444021151412005	0.04870531702979	49075.875	1079634.125	0.925662885715961	7.64488276592243	743.977916958148	1.0255395606187e-20	4.32716162207456e-17	2.16358081103728e-16	TRUE	TRUE	TRUE
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	+	protein_coding	91119	0.0341953858377244	0.0712838669062373	0.0370884810685128	0.0369443182086839	0.032239914287447	0.0323817447523963	0.0352155661023705	0.0652036232417704	0.0740108312736871	0.0706099330338616	0.07531108007563	32045.625	729599.875	0.994570493076339	7.6914355933593	726.695100750627	1.37971632297295e-20	4.85131254429339e-17	2.91078752657603e-16	TRUE	TRUE	TRUE
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	-	protein_coding	79810	0.0279154504799454	0.0600276489322722	0.0321121984523268	0.0303725164830954	0.0272679760920589	0.0258366112549663	0.0281846980896611	0.0548601061263869	0.0622260494111654	0.0590660869470024	0.0639583532445343	28801.125	650567.125	1.03501814773005	7.26145645961785	657.246184812825	4.88902731442709e-20	1.47348298932098e-16	1.03143809252468e-15	TRUE	TRUE	TRUE
Arhgap26	ENSMUSG00000118193.1	chr18	38676717	39110534	+	protein_coding	433817	0.0289702968715419	0.0443358143886387	0.0153655175170967	0.0305109722779334	0.027766653665587	0.0282528771866426	0.0293506843560048	0.0411551153690841	0.045817372180168	0.0437567551185458	0.0466140148867568	186785.75	4014332.875	0.560363885358525	9.62240223565603	629.872272158769	8.34288302935536e-20	2.20012254087888e-16	1.7600980327031e-15	TRUE	TRUE	TRUE
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	-	protein_coding	88984	0.0313516764771984	0.0561886074277392	0.0248369309505408	0.0317007651469821	0.03037367823178	0.0311795165547611	0.0321527459752704	0.0530452201499821	0.0575230466042071	0.0553479641550212	0.0588381988017463	36929	822633.875	0.803923333716464	7.59647591187966	565.993292829081	3.18430868186905e-19	7.46437336237682e-16	6.71793602613913e-15	TRUE	TRUE	TRUE
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	-	protein_coding	90800	0.0287311295506861	0.0518081884842646	0.0230770589335785	0.0289747324450963	0.0289991649210874	0.0286811411166004	0.0282694797199603	0.0482840445993648	0.0534316912804514	0.0514554208312654	0.0540615972259768	40173.5	853979.75	0.811254567920538	7.52808087074879	532.914077672466	6.75248868209237e-19	1.39178947360121e-15	1.42457253726103e-14	TRUE	TRUE	TRUE
Runx1t1	ENSMUSG00000006586.15	chr4	13743435	13893649	+	protein_coding	150214	0.0388851256335426	0.062282111174255	0.0233969855407124	0.0392170047853062	0.0371160676365028	0.0389126948607133	0.0402947352516479	0.057772232155072	0.0637329173392743	0.060867252271489	0.0667560429311847	58203.875	1326145.375	0.629816196957794	8.49214715194104	529.843169867773	7.25680628033054e-19	1.39178947360121e-15	1.53096842096133e-14	TRUE	TRUE	TRUE
Btbd11	ENSMUSG00000020042.15	chr10	85386813	85660292	+	protein_coding	273479	0.0437518773607595	0.0312552806128405	-0.012496596747919	0.0452590118116078	0.0433224261027396	0.0424992035591127	0.0439268679695779	0.0283050821752296	0.0333747229363033	0.0298530588746376	0.0334882584651913	119158.875	2604804.875	-0.559519405894851	9.05082443883602	519.557457966638	9.26394552684832e-19	1.62867882316599e-15	1.95441458779919e-14	TRUE	TRUE	TRUE
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	+	protein_coding	856365	0.0231301443580463	0.0346791959487539	0.0115490515907076	0.02546293183438	0.0219271409123875	0.0222494214071449	0.0228810832782728	0.0313794872725105	0.0365087141303598	0.0336085130898378	0.0372200693023075	325922.75	7181342.125	0.503316927880416	10.1204789754683	500.373286564452	1.47930153218263e-18	2.4006788018813e-15	3.12088244244569e-14	TRUE	TRUE	TRUE
Pcdh9	ENSMUSG00000055421.8	chr14	93013409	93890679	-	protein_coding	877270	0.0303739024695834	0.0421892334192686	0.0118153309496852	0.03224725125469	0.0291936111504174	0.0294368383060851	0.0306179091671412	0.0386504305406047	0.0442582186941183	0.0409226036192566	0.044925680823095	294729.75	6745965.375	0.406051180141993	10.36492858572	476.864171237207	2.68849465812728e-18	4.05136941446509e-15	5.67191718025112e-14	TRUE	TRUE	TRUE
Cog5	ENSMUSG00000035933.5	chr12	31654868	31937630	+	protein_coding	282762	0.0220625280856643	0.0381392677670208	0.0160767396813565	0.0243342339881704	0.0198708256380217	0.0212493626919485	0.0227956900245165	0.0341014123492532	0.0400731713476638	0.0367140600468868	0.0416684273242793	107756	2450355.375	0.698366375461975	8.62973243495833	443.940909957047	6.51713174560712e-18	9.16612856247155e-15	1.37491928437073e-13	TRUE	TRUE	TRUE
Cadps	ENSMUSG00000054423.14	chr14	12372562	12823079	-	protein_coding	450517	0.0376948755829827	0.0296110983526095	-0.00808377723037319	0.0392038990743291	0.0367126888942767	0.0370359301054442	0.0378269842578808	0.0254806740963733	0.0317517914095319	0.0281337219372962	0.0330782059672366	181214.5	4107991.25	-0.452971446494937	9.5474137471482	432.087868743253	9.10220686825024e-18	1.20018286437172e-14	1.92029258299475e-13	TRUE	TRUE	TRUE
Zbbx	ENSMUSG00000034151.13	chr3	75037906	75165034	-	protein_coding	127128	0.0206600089699952	0.0379188803863125	0.0172588714163172	0.0219005828060866	0.0191503589682398	0.0197744890441616	0.021814605061493	0.0352745078222609	0.0382970343198561	0.0381058127591585	0.0399981666439744	44936.25	990874.75	0.826865004786908	7.29560896247513	395.278542881455	2.72245410888504e-17	3.37856554912633e-14	5.74356143351476e-13	TRUE	TRUE	TRUE
