gene_name	mch_logfc	mch_fdr	mch_sig	mch_direction	mch_diff	cg_mc_log2fc	cg_mc_diff	cg_mc_qvalue	cg_mc_ctrl	cg_mc_mut	cg_hmc_log2fc	cg_hmc_diff	cg_hmc_qvalue	cg_hmc_ctrl	cg_hmc_mut
0610009B22Rik	-0.203904489191432	0.671049123761839	FALSE	Hypomethylated	0.000182662192448113	0.0577477232944887	0.0279391025697027	0.0336297969246592	0.684118339741014	0.712057442310717	-0.134315734633767	-0.0103996208931682	0.301051137548907	0.116983564791742	0.106583943898574
0610010F05Rik	-0.21335011582808	0.0572741869177017	FALSE	Hypomethylated	0.00031917130477704	0.0196530420482191	0.0111346674148263	0.000313601041863493	0.811821538609387	0.822956206024213	-0.303099494124929	-0.0201115780162393	3.03203695838229e-19	0.106134864304674	0.0860232862884344
0610010K14Rik	-0.472681134242593	0.407275545998949	FALSE	Hypomethylated	-0.0010286050968369	-0.134664108188754	-0.026362362547755	0.285159697207539	0.295813728309786	0.269451365762031	-0.126767159561723	-0.0150195766661825	0.402978968900775	0.17855257846854	0.163533001802358
0610012G03Rik	-0.203372237200963	0.790906022447735	FALSE	Hypomethylated	-1.98120917743461e-05	0.178557782012728	0.00946165072153177	0.463441085847381	0.0718141272547119	0.0812757779762437	-0.164664235730543	-0.0106674497789224	0.387729139297385	0.0988973356479011	0.0882298858689787
0610040J01Rik	-0.259503168918075	0.00230377208130918	TRUE	Hypomethylated	-0.000995262111297603	-0.0282269388461543	-0.0147585280320162	2.55266702962409e-10	0.761720163011329	0.746961634979313	0.102534483487545	0.00513643863186417	0.000396858123228138	0.0697336370819865	0.0748700757138506
1110002E22Rik	0.275236472864458	0.0150699538246193	TRUE	Hypermethylated	0.00789546497810353	-0.0264838355560413	-0.0115823910944359	0.0501820326846251	0.63675446389639	0.625172072801955	0.0103902810138034	0.00118158409637498	0.81632621455639	0.163473383136001	0.164654967232376
1110004F10Rik	-0.0945820989398361	0.303313825607443	FALSE	Hypomethylated	0.00052510493412777	0.0185136006735946	0.00876479388734297	0.0243079387731754	0.678634290377542	0.687399084264885	-0.046006489431295	-0.00288357532489843	0.283227852138151	0.0918740812588992	0.0889905059340008
1110008P14Rik	-0.412250207877378	0.202633596661505	FALSE	Hypomethylated	-0.00404871059107448	0.0893156953029934	0.0393053463338535	0.0152412945374302	0.615439941422888	0.654745287756741	-0.180478536157543	-0.0208304061684966	0.110712892492204	0.177144752804593	0.156314346636096
1110012L19Rik	-0.134899584396022	0.849731648735865	FALSE	Hypomethylated	0.0024313140516883	0.0548024887340895	0.0232880773440108	0.259064559204474	0.601496611462783	0.624784688806793	-0.593638136413604	-0.0315922311487064	0.00055710999382999	0.0936537017304642	0.0620614705817577
1110017D15Rik	-0.0322393723815989	0.884175594277989	FALSE	Hypomethylated	0.000467866285483329	-0.0430921740641247	-0.0176551235935674	0.0326813436055915	0.599952365370461	0.582297241776893	-0.107528242569798	-0.00906083077455738	0.0703926230729689	0.126154894431153	0.117094063656596
1110025L11Rik	1.3735574402245	0.117197904946606	FALSE	Hypermethylated	0.0180101278358154	-0.0344256075832549	-0.0208396618474439	0.54739410826266	0.883801754579273	0.86296209273183	0.564089305387245	0.00236858389786347	0.912902081495941	0.00495049504950495	0.00731907894736842
1110032A03Rik	-0.37632040675512	0.101807792536467	FALSE	Hypomethylated	-0.00018652748810298	0.0550825421121201	0.0201313300087802	0.00967607891413693	0.517268348661295	0.537399678670075	-0.182594949200382	-0.012845661005525	0.00602925491320346	0.108052715029996	0.0952070540244712
1110032F04Rik	-0.103124864548497	0.784506602820814	FALSE	Hypomethylated	-0.000149395956790144	-0.0799061399334639	-0.0286657822688701	0.296413225731403	0.532022191207616	0.503356408938746	0.179859370276943	0.0193618785540773	0.304631770146633	0.145826421100719	0.165188299654796
1110038F14Rik	0.667004143916866	0.270442276425365	FALSE	Hypermethylated	0.0051854485326168	0.0790230715694401	0.0338685892985557	0.181007702507627	0.601546622469481	0.635415211768037	-0.0902021689845683	-0.00691498938477153	0.679253539264275	0.114091980443197	0.107176991058425
