gene_name	gene_id	chr	start	end	gene_length	promoter_state	body_state	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_hyper	mch_hypo	pc_body_polycomb	pc_body_polycomb_mixed	pc_repressed_bivalent	pc_k27me3_peak	pc_k119ub_top	gb_ctrl_signal	gb_mut_signal	gb_log2fc	gb_signal_class	k119ub_cutoff
Speer1	ENSMUSG00000095829.8	chr5	11341515	11346286	4771	Unmarked_Promoter	Unmarked	0.0190292073127985	0.0108012694969243	-0.00822793781587415	-2.46628614509205	0.0119756991838338	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	2.55434
Hbb-bs	ENSMUSG00000052305.6	chr7	103826533	103828096	1563	Unmarked_Promoter	Unmarked	0.0184831625757988	0.0134765584354949	-0.00500660414030391	-2.25262785151236	0.0185361478360563	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	2.55434
Gm13283	ENSMUSG00000100505.1	chr4	88760118	88761581	1463	Unmarked_Promoter	Enhancer_Marked	0.0253357277527433	0.00942603247384431	-0.015909695278899	-2.21620312978136	0.0283175744705691	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	10.711208	12.011053	0.162092	quantifiable	2.55434
H1f6	ENSMUSG00000036211.4	chr13	23695813	23696725	912	Unmarked_Promoter	Enhancer_Marked	0.0240419317279395	0.00733100156709556	-0.0167109301608439	-2.16273991316443	0.0094554685296183	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2.733923	5.284885	0.898027	quantifiable	2.55434
Tdpoz6	ENSMUSG00000103350.1	chr3	93692049	93693070	1021	Unmarked_Promoter	Unmarked	0.0204031022604989	0.00765884795939302	-0.0127442543011059	-2.15750967732385	0.0451605018757504	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	2.55434
Ackr1	ENSMUSG00000037872.5	chr1	173331885	173333750	1865	Unmarked_Promoter	Active	0.0154224953618383	0.0107779792384976	-0.00464451612334073	-2.06078162224193	0.00482388912461673	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2.689871	3.234778	0.247619	quantifiable	2.55434
Taar8b	ENSMUSG00000100186.1	chr10	24091259	24092294	1035	Unmarked_Promoter	Unmarked	0.0148331548760732	0.00603750799819448	-0.0087956468778787	-2.04252741667297	0.0608466902678941	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.769208	1.353663	-0.338021	quantifiable	2.55434
Gm19935	ENSMUSG00000110332.1	chr8	90816144	90817393	1249	Unmarked_Promoter	Enhancer_Marked	0.0337287536443468	0.0129390240895406	-0.0207897295548062	-2.01316034299029	0.00223861985086722	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2.550152	3.294444	0.343305	quantifiable	2.55434
Vmn1r48	ENSMUSG00000057592.1	chr6	90035932	90036841	909	Unmarked_Promoter	Unmarked	0.00328479944408927	0.01069639060216	0.00741159115807074	1.98675231741674	0.118124586168924	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.734543	0.521613	-0.364041	quantifiable	2.55434
2310039H08Rik	ENSMUSG00000062619.6	chr17	46772634	46773396	762	Unmarked_Promoter	Unmarked	0.031522157626899	0.00799983664609893	-0.0235223209808	-1.96644251270747	0.0898912555706519	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.048255	1.974741	0.791092	quantifiable	2.55434
4930402K13Rik	ENSMUSG00000045797.1	chrX	9104561	9106342	1781	Unmarked_Promoter	Unmarked	0.0196326848545155	0.00819733697246553	-0.01143534788205	-1.95627550018794	0.0163179960339529	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.564286	0.339565	-0.486897	quantifiable	2.55434
2310057N15Rik	ENSMUSG00000048830.3	chr16	88773178	88774206	1028	Unmarked_Promoter	Unmarked	0.0184932965565185	0.00888251295389026	-0.00961078360262827	-1.92054379533395	0.0350973983908246	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	2.55434
Olfr885	ENSMUSG00000096424.1	chr9	38061321	38062251	930	Unmarked_Promoter	Unmarked	0.00574993801406848	0.0158964409453729	0.0101465029313044	1.90837623816517	0.121216188309213	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	2.55434
Eif1	ENSMUSG00000035530.13	chr11	100319884	100322096	2212	Unmarked_Promoter	Enhancer_Marked	0.0184380302275342	0.00785522940754054	-0.0105828008199936	-1.83331131155587	0.00959182498587104	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1.655906	1.247335	-0.354338	quantifiable	2.55434
Apcs	ENSMUSG00000026542.6	chr1	172893960	172895041	1081	Unmarked_Promoter	Unmarked	0.00489885413049472	0.0138767831539346	0.00897792902343984	1.82504516492953	0.0479119996468217	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.36833	0.561666	-1.022664	quantifiable	2.55434
H2-M1	ENSMUSG00000037334.2	chr17	36670007	36672219	2212	Unmarked_Promoter	Unmarked	0.0188903665839475	0.00959943900798417	-0.0092909275759633	-1.81524529917677	0.00421416067984393	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.503828	0.261888	-0.58671	quantifiable	2.55434
