gene_name	gene_id	chr	start	end	promoter_state	body_state	prom_ctcf_overlap	prom_h3k27ac_overlap	prom_h3k27me3_overlap	prom_h3k4me1_overlap	prom_h3k4me3_overlap	prom_bivalent_overlap	body_ctcf_overlap	body_h3k27ac_overlap	body_h3k27me3_overlap	body_h3k4me1_overlap	body_h3k4me3_overlap	body_bivalent_overlap
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	Active_Promoter	Polycomb	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	Active_Promoter	Polycomb	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	Active_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	Unmarked_Promoter	Active	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Arhgap26	ENSMUSG00000118193.1	chr18	38676717	39110534	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	Repressed_Promoter	Mixed	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	Unmarked_Promoter	Active	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
