gene_name	gene_id	chr	start	end	gene_length	gene_midpoint	bin_start	bin_end	subcompartment	mut_subcompartment	label_changed	rank_ctrl	rank_mut	h3k27me3_overlap	h3k27ac_overlap	mark_category	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	mch_hyper	mch_hypo
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	1106012	131990338	131900001	132000000	A.2	A.1	TRUE	0.59108119478334	0.747815230961298	TRUE	FALSE	H3K27me3 only	0.0585930354568514	0.0405551707375849	-0.0180378647192666	-0.589453234068138	6.49315772936704e-20	TRUE	Hypomethylated	FALSE	TRUE
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	579800	128277756	128200001	128300000	A.2	A.1	TRUE	0.60748843079512	0.772367873491469	TRUE	FALSE	H3K27me3 only	0.0495954803208768	0.0322662483584066	-0.0173292319624701	-0.702488424646554	2.05229451875872e-19	TRUE	Hypomethylated	FALSE	TRUE
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	383140	39184714	39100001	39200000	A.1	A.1	FALSE	0.948254101809003	0.928838951310862	FALSE	TRUE	H3K27ac only	0.0240667114846402	0.0411655718277919	0.0170988603431517	0.704215640764072	4.81031639917514e-18	TRUE	Hypermethylated	TRUE	FALSE
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	511640	99473245	99400001	99500000	B.1	B.1	FALSE	0.41943626419857	0.40033291718685	TRUE	TRUE	H3K27me3 + H3K27ac	0.0543948964773618	0.0369045314632584	-0.0174903650141034	-0.626358182933927	1.91183600778509e-17	TRUE	Hypomethylated	FALSE	TRUE
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	119300	60628508	60600001	60700000	A.1	A.1	FALSE	0.864535128313	0.877236787349147	FALSE	TRUE	H3K27ac only	0.0232240221033662	0.0457047237189033	0.0224807016155371	0.925662885715961	4.32716162207456e-17	TRUE	Hypermethylated	TRUE	FALSE
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	91119	137386626	137300001	137400000	A.1	A.1	FALSE	0.917543121581826	0.927174365376613	FALSE	TRUE	H3K27ac only	0.0341953858377244	0.0712838669062373	0.0370884810685128	0.994570493076339	4.85131254429339e-17	TRUE	Hypermethylated	TRUE	FALSE
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	79810	24128187	24100001	24200000	A.1	A.1	FALSE	0.959612957509466	0.928838951310862	FALSE	TRUE	H3K27ac only	0.0279154504799454	0.0600276489322722	0.0321121984523268	1.03501814773005	1.47348298932098e-16	TRUE	Hypermethylated	TRUE	FALSE
Arhgap26	ENSMUSG00000118193.1	chr18	38676717	39110534	433817	38893626	38800001	38900000	A.1	A.1	FALSE	0.923222549432058	0.960258010819809	FALSE	TRUE	H3K27ac only	0.0289702968715419	0.0443358143886387	0.0153655175170967	0.560363885358525	2.20012254087888e-16	TRUE	Hypermethylated	TRUE	FALSE
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	88984	39812978	39800001	39900000	A.1	A.1	FALSE	0.99411022297013	0.944652517686226	TRUE	TRUE	H3K27me3 + H3K27ac	0.0313516764771984	0.0561886074277392	0.0248369309505408	0.803923333716464	7.46437336237682e-16	TRUE	Hypermethylated	TRUE	FALSE
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	90800	38884072	38800001	38900000	A.1	A.1	FALSE	0.923222549432058	0.960258010819809	FALSE	TRUE	H3K27ac only	0.0287311295506861	0.0518081884842646	0.0230770589335785	0.811254567920538	1.39178947360121e-15	TRUE	Hypermethylated	TRUE	FALSE
