gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_hyper	mch_hypo	mch_direction	promoter_state	body_state	prom_ctcf_overlap	prom_h3k27ac_overlap	prom_h3k27me3_overlap	prom_h3k4me1_overlap	prom_h3k4me3_overlap	prom_bivalent_overlap	body_ctcf_overlap	body_h3k27ac_overlap	body_h3k27me3_overlap	body_h3k4me1_overlap	body_h3k4me3_overlap	body_bivalent_overlap	log10_gene_length	plot_label
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	383140	0.0240667114846402	0.0411655718277919	0.0170988603431517	0.704215640764072	4.81031639917514e-18	TRUE	TRUE	FALSE	Hypermethylated	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.58335749490251	Arhgap26 (ENSMUSG00000036452.18)
Arhgap26	ENSMUSG00000118193.1	chr18	38676717	39110534	433817	0.0289702968715419	0.0443358143886387	0.0153655175170967	0.560363885358525	2.20012254087888e-16	TRUE	TRUE	FALSE	Hypermethylated	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.63730656672274	Arhgap26 (ENSMUSG00000118193.1)
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	856365	0.0231301443580463	0.0346791959487539	0.0115490515907076	0.503316927880416	2.4006788018813e-15	TRUE	TRUE	FALSE	Hypermethylated	Repressed_Promoter	Mixed	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	5.93265890918582	Trpm3
Zbtb20	ENSMUSG00000022708.16	chr16	42875880	43642602	766722	0.0273724342712657	0.0359248640383483	0.0085524297670826	0.319456862975036	3.23721304105379e-12	TRUE	TRUE	FALSE	Hypermethylated	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.88463792489902	Zbtb20
Epha3	ENSMUSG00000052504.7	chr16	63543533	63864175	320642	0.0317222961265713	0.0429121385410209	0.0111898424144496	0.361934777032521	7.0060800467962e-12	TRUE	TRUE	FALSE	Hypermethylated	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.50602040876535	Epha3
Cntnap2	ENSMUSG00000039419.17	chr6	45059356	47304213	2244857	0.0245563568961777	0.023064027763695	-0.0014923291324827	-0.216476531930265	9.04579205744142e-11	TRUE	FALSE	TRUE	Hypomethylated	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	6.35118868115719	Cntnap2
Lpp	ENSMUSG00000033306.15	chr16	24393506	24992578	599072	0.0259634755144554	0.0326663355652015	0.006702860050746	0.242947773065929	2.92646484260367e-09	TRUE	TRUE	FALSE	Hypermethylated	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.77747902159392	Lpp
Syt1	ENSMUSG00000035864.14	chr10	108497649	109010982	513333	0.0221576848541594	0.0276948126364928	0.00553712778233336	0.229950086437305	2.24916039908572e-08	TRUE	TRUE	FALSE	Hypermethylated	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.71039918410731	Syt1
Mcu	ENSMUSG00000009647.13	chr10	59446983	59616692	169709	0.0223817363866081	0.0259224021704381	0.00354066578383002	0.0890300164448271	0.0980671506452571	FALSE	FALSE	FALSE	Hypermethylated	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.22970487441369	Mcu
Dlgap1	ENSMUSG00000003279.17	chr17	69969072	70821413	852341	0.0221395081307162	0.0243470865971058	0.0022075784663896	0.0238565586213443	0.449696876723901	FALSE	FALSE	FALSE	Hypermethylated	Active_Promoter	Active	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.93061337973145	Dlgap1
Cdh8	ENSMUSG00000036510.17	chr8	99024470	99416471	392001	0.0210568684894349	0.0235040696395056	0.00244720115007071	0.0258038858015461	0.558621868411024	FALSE	FALSE	FALSE	Hypermethylated	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	5.59328717491313	Cdh8
