gene_name	chr	mch_hyper	cg_hmc_up
0610040J01Rik	chr5	FALSE	TRUE
1110051M20Rik	chr2	FALSE	FALSE
1110059E24Rik	chr19	FALSE	FALSE
1700012B07Rik	chr11	FALSE	FALSE
1700016C15Rik	chr1	FALSE	FALSE
1700019D03Rik	chr1	TRUE	TRUE
1700069L16Rik	chr5	FALSE	FALSE
1700102P08Rik	chr9	FALSE	FALSE
1810013L24Rik	chr16	FALSE	FALSE
2010109A12Rik	chr5	TRUE	FALSE
2010300C02Rik	chr1	FALSE	FALSE
2210408I21Rik	chr13	FALSE	FALSE
2410131K14Rik	chr5	FALSE	FALSE
2700049A03Rik	chr12	FALSE	FALSE
2900026A02Rik	chr5	FALSE	TRUE
3110009E18Rik	chr1	FALSE	FALSE
3110082I17Rik	chr5	FALSE	FALSE
3830406C13Rik	chr14	FALSE	FALSE
4430402I18Rik	chr19	FALSE	FALSE
4921524L21Rik	chr18	FALSE	FALSE
4930402H24Rik	chr2	FALSE	FALSE
4930430F08Rik	chr10	FALSE	FALSE
4930447A16Rik	chr15	TRUE	FALSE
4930447C04Rik	chr12	FALSE	TRUE
4930470P17Rik	chr2	FALSE	TRUE
4930523C07Rik	chr1	TRUE	TRUE
4931406P16Rik	chr7	FALSE	FALSE
4931428F04Rik	chr8	TRUE	FALSE
4931428L18Rik	chr1	TRUE	TRUE
4932414N04Rik	chr2	FALSE	FALSE
4932438H23Rik	chr16	FALSE	TRUE
4933424G06Rik	chr1	FALSE	FALSE
4933427D14Rik	chr11	FALSE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
5330417C22Rik	chr3	FALSE	FALSE
5730480H06Rik	chr5	FALSE	FALSE
5730522E02Rik	chr11	FALSE	TRUE
6430548M08Rik	chr8	FALSE	FALSE
6430550D23Rik	chr2	FALSE	FALSE
7420426K07Rik	chr9	FALSE	FALSE
7530416G11Rik	chr15	FALSE	TRUE
9330182L06Rik	chr5	FALSE	FALSE
9930021J03Rik	chr19	FALSE	FALSE
a	chr2	FALSE	FALSE
A330070K13Rik	chr5	TRUE	FALSE
A630023A22Rik	chr14	FALSE	TRUE
A930009A15Rik	chr10	TRUE	TRUE
Aak1	chr6	FALSE	FALSE
Aamdc	chr7	FALSE	FALSE
Aar2	chr2	FALSE	FALSE
Aass	chr6	FALSE	TRUE
Aatf	chr11	FALSE	FALSE
Abca13	chr11	TRUE	TRUE
Abca8a	chr11	FALSE	FALSE
Abcb1b	chr5	FALSE	TRUE
Abcb7	chrX	FALSE	FALSE
Abcc12	chr8	TRUE	FALSE
