gene_name	chr	mch_hyper	k119ub_gained
1110002E22Rik	chr3	TRUE	TRUE
1110059E24Rik	chr19	FALSE	TRUE
1700011L22Rik	chr8	TRUE	TRUE
1700017N19Rik	chr10	TRUE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
2010109A12Rik	chr5	TRUE	TRUE
4930444P10Rik	chr1	FALSE	TRUE
4930505A04Rik	chr11	TRUE	TRUE
4930523C07Rik	chr1	TRUE	TRUE
4930564D02Rik	chr3	FALSE	TRUE
4933427D14Rik	chr11	FALSE	TRUE
9130401M01Rik	chr15	TRUE	TRUE
A830018L16Rik	chr1	FALSE	TRUE
A930004D18Rik	chr2	TRUE	TRUE
Abca13	chr11	TRUE	TRUE
Abcb1b	chr5	FALSE	TRUE
Abcc12	chr8	TRUE	TRUE
Abcc4	chr14	FALSE	TRUE
Abcd2	chr15	FALSE	TRUE
Abcd3	chr3	FALSE	TRUE
Abhd12	chr2	FALSE	TRUE
Abhd3	chr18	FALSE	TRUE
Abhd6	chr14	FALSE	TRUE
Ablim1	chr19	FALSE	TRUE
Ablim3	chr18	FALSE	TRUE
Acap2	chr16	FALSE	TRUE
Acer3	chr7	FALSE	TRUE
Acot7	chr4	FALSE	TRUE
Acsl3	chr1	FALSE	TRUE
Acsl6	chr11	FALSE	TRUE
Acss2	chr2	FALSE	TRUE
Actr2	chr11	FALSE	TRUE
Actr3b	chr5	FALSE	TRUE
Acvr1	chr2	FALSE	TRUE
Acvr2a	chr2	FALSE	TRUE
Adam22	chr5	FALSE	TRUE
Adam23	chr1	FALSE	TRUE
Adam28	chr14	FALSE	TRUE
Adam7	chr14	FALSE	TRUE
Adamts16	chr13	TRUE	TRUE
Adamts18	chr8	TRUE	TRUE
Adck1	chr12	FALSE	TRUE
Adck2	chr6	FALSE	TRUE
Adcy1	chr11	FALSE	TRUE
Adcy10	chr1	FALSE	TRUE
Adcy2	chr13	FALSE	TRUE
Adcy3	chr12	FALSE	TRUE
Adk	chr14	FALSE	TRUE
Aen	chr7	FALSE	TRUE
Aff2	chrX	TRUE	TRUE
Aff3	chr1	FALSE	TRUE
Afg3l2	chr18	FALSE	TRUE
Agap3	chr5	FALSE	TRUE
Agbl1	chr7	TRUE	TRUE
Agpat4	chr17	FALSE	TRUE
Agt	chr8	FALSE	TRUE
Ahr	chr12	FALSE	TRUE
Ak9	chr10	FALSE	TRUE
Akap6	chr12	FALSE	TRUE
Akap9	chr5	FALSE	TRUE
Akr1d1	chr6	TRUE	TRUE
Akt3	chr1	FALSE	TRUE
Aktip	chr8	FALSE	TRUE
Aldh1l2	chr10	FALSE	TRUE
Alg8	chr7	TRUE	TRUE
Amer2	chr14	TRUE	TRUE
Amotl1	chr9	FALSE	TRUE
Angel1	chr12	TRUE	TRUE
Angpt1	chr15	FALSE	TRUE
Ankdd1b	chr13	FALSE	TRUE
Ankef1	chr2	TRUE	TRUE
Ankib1	chr5	FALSE	TRUE
Ankrd34b	chr13	FALSE	TRUE
Ankrd35	chr3	FALSE	TRUE
Ankrd44	chr1	FALSE	TRUE
Ankrd55	chr13	FALSE	TRUE
Anks1b	chr10	FALSE	TRUE
Ano3	chr2	TRUE	TRUE
Ano4	chr10	FALSE	TRUE
Ano6	chr15	FALSE	TRUE
Aox1	chr1	TRUE	TRUE
Aox4	chr1	TRUE	TRUE
Ap1s3	chr1	FALSE	TRUE
Ap3b2	chr7	FALSE	TRUE
Apba1	chr19	FALSE	TRUE
Apc	chr18	FALSE	TRUE
Apip	chr2	FALSE	TRUE
Apmap	chr2	FALSE	TRUE
App	chr16	FALSE	TRUE
Aqp6	chr15	TRUE	TRUE
Arfip1	chr3	FALSE	TRUE
Arhgap12	chr18	FALSE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap5	chr12	FALSE	TRUE
Arhgef26	chr3	FALSE	TRUE
Arhgef3	chr14	TRUE	TRUE
Arhgef33	chr17	FALSE	TRUE
Arhgef38	chr3	TRUE	TRUE
Arhgef7	chr8	FALSE	TRUE
Arid1b	chr17	FALSE	TRUE
Arid4a	chr12	FALSE	TRUE
Arl13b	chr16	FALSE	TRUE
Arl15	chr13	FALSE	TRUE
Arl4a	chr12	FALSE	TRUE
Armh4	chr14	TRUE	TRUE
Arpp21	chr9	FALSE	TRUE
Arrdc4	chr7	TRUE	TRUE
Arsg	chr11	TRUE	TRUE
Arvcf	chr16	FALSE	TRUE
Asah2	chr19	FALSE	TRUE
Asap1	chr15	FALSE	TRUE
Asb15	chr6	TRUE	TRUE
Ascc3	chr10	FALSE	TRUE
Asic4	chr1	FALSE	TRUE
Astn2	chr4	FALSE	TRUE
Atg4c	chr4	FALSE	TRUE
Atg9b	chr5	FALSE	TRUE
Atl2	chr17	FALSE	TRUE
Atoh8	chr6	TRUE	TRUE
Atp11c	chrX	FALSE	TRUE
Atp6v0d1	chr8	FALSE	TRUE
Atp8a1	chr5	FALSE	TRUE
AW554918	chr18	FALSE	TRUE
B4galt1	chr4	FALSE	TRUE
Bach1	chr16	FALSE	TRUE
Bag5	chr12	FALSE	TRUE
Bahd1	chr2	FALSE	TRUE
Bank1	chr3	TRUE	TRUE
Basp1	chr15	TRUE	TRUE
Baz2b	chr2	FALSE	TRUE
Bbs9	chr9	FALSE	TRUE
Bbx	chr16	FALSE	TRUE
Bckdhb	chr9	FALSE	TRUE
Bcl2l15	chr3	TRUE	TRUE
Bcl9	chr3	FALSE	TRUE
Bdnf	chr2	TRUE	TRUE
Bend6	chr1	FALSE	TRUE
Bex6	chr16	TRUE	TRUE
Bhlhe40	chr6	TRUE	TRUE
Bhmt	chr13	TRUE	TRUE
Bicd1	chr6	FALSE	TRUE
Bmp5	chr9	FALSE	TRUE
Bmpr1a	chr14	FALSE	TRUE
Bmpr1b	chr3	FALSE	TRUE
Bora	chr14	TRUE	TRUE
Brinp2	chr1	TRUE	TRUE
Brinp3	chr1	TRUE	TRUE
Btbd17	chr11	TRUE	TRUE
Btbd3	chr2	TRUE	TRUE
Btbd7	chr12	FALSE	TRUE
Btrc	chr19	FALSE	TRUE
Bub1b	chr2	FALSE	TRUE
C1qtnf7	chr5	FALSE	TRUE
C6	chr15	TRUE	TRUE
C8a	chr4	FALSE	TRUE
Cabcoco1	chr10	TRUE	TRUE
Cabin1	chr10	TRUE	TRUE
Cacna1a	chr8	FALSE	TRUE
Cacna2d3	chr14	FALSE	TRUE
Cacnb4	chr2	FALSE	TRUE
Cadm2	chr16	TRUE	TRUE
Calb2	chr8	TRUE	TRUE
Cald1	chr6	FALSE	TRUE
Camk1d	chr2	FALSE	TRUE
Camk2a	chr18	FALSE	TRUE
Caprin2	chr6	FALSE	TRUE
Caps2	chr10	FALSE	TRUE
Capsl	chr15	TRUE	TRUE
Car10	chr11	FALSE	TRUE
Car3	chr3	TRUE	TRUE
Cast	chr13	FALSE	TRUE
Cav2	chr6	TRUE	TRUE
Cc2d2a	chr5	FALSE	TRUE
Ccdc113	chr8	FALSE	TRUE
Ccdc149	chr5	FALSE	TRUE
Ccdc150	chr1	FALSE	TRUE
Ccdc171	chr4	FALSE	TRUE
Ccdc187	chr2	FALSE	TRUE
Ccdc192	chr18	TRUE	TRUE
Ccdc28a	chr10	TRUE	TRUE
Ccdc50	chr16	FALSE	TRUE
Ccdc6	chr10	FALSE	TRUE
Ccdc91	chr6	FALSE	TRUE
Ccny	chr18	FALSE	TRUE
Ccser1	chr6	FALSE	TRUE
Cd200r3	chr16	TRUE	TRUE
Cd276	chr9	TRUE	TRUE
Cd28	chr1	FALSE	TRUE
Cd47	chr16	TRUE	TRUE
Cd6	chr19	TRUE	TRUE
Cdc14a	chr3	FALSE	TRUE
Cdc26	chr4	FALSE	TRUE
Cdc40	chr10	TRUE	TRUE
Cdh10	chr15	TRUE	TRUE
Cdh2	chr18	FALSE	TRUE
Cdh20	chr1	TRUE	TRUE
Cdh7	chr1	TRUE	TRUE
Cdk15	chr1	TRUE	TRUE
Cdk17	chr10	TRUE	TRUE
Cdk19	chr10	TRUE	TRUE
Cdkl2	chr5	FALSE	TRUE
Cdyl2	chr8	FALSE	TRUE
Cenpf	chr1	TRUE	TRUE
Cenpj	chr14	TRUE	TRUE
Cep128	chr12	TRUE	TRUE
Cep162	chr9	FALSE	TRUE
Cep170	chr1	FALSE	TRUE
Cep290	chr10	FALSE	TRUE
Cep83	chr10	FALSE	TRUE
Cerkl	chr2	TRUE	TRUE
Cers4	chr8	FALSE	TRUE
Cfap161	chr7	TRUE	TRUE
Cfap54	chr10	FALSE	TRUE
Chil5	chr3	TRUE	TRUE
Chl1	chr6	TRUE	TRUE
Chn1	chr2	FALSE	TRUE
Chrm3	chr13	TRUE	TRUE
Chrna7	chr7	FALSE	TRUE
Chst15	chr7	TRUE	TRUE
Chst7	chrX	TRUE	TRUE
Chst9	chr18	TRUE	TRUE
Ciao2b	chr8	FALSE	TRUE
Cipc	chr12	TRUE	TRUE
Cldn1	chr16	TRUE	TRUE
Clgn	chr8	FALSE	TRUE
Clnk	chr5	TRUE	TRUE
Clvs1	chr4	FALSE	TRUE
Cmc2	chr8	FALSE	TRUE
Cmtm4	chr8	FALSE	TRUE
Cnksr3	chr10	FALSE	TRUE
Cnot4	chr6	FALSE	TRUE
Cnpy1	chr5	TRUE	TRUE
Cntn1	chr15	FALSE	TRUE
Cntn4	chr6	TRUE	TRUE
Cntn5	chr9	TRUE	TRUE
Cntn6	chr6	TRUE	TRUE
Cntnap4	chr8	FALSE	TRUE
Cntnap5a	chr1	TRUE	TRUE
Cobl	chr11	TRUE	TRUE
Cog3	chr14	FALSE	TRUE
Cog4	chr8	FALSE	TRUE
Cog5	chr12	TRUE	TRUE
Col11a1	chr3	FALSE	TRUE
Col19a1	chr1	TRUE	TRUE
Col25a1	chr3	FALSE	TRUE
Col28a1	chr6	FALSE	TRUE
Col8a1	chr16	FALSE	TRUE
Col9a1	chr1	TRUE	TRUE
Commd3	chr2	TRUE	TRUE
Commd9	chr2	FALSE	TRUE
Cop1	chr1	FALSE	TRUE
Cpa2	chr6	TRUE	TRUE
Cpe	chr8	FALSE	TRUE
Cpeb1	chr7	FALSE	TRUE
Cradd	chr10	FALSE	TRUE
Crb1	chr1	FALSE	TRUE
