gene_name	chr	mch_hyper	cg_mc_up
0610040J01Rik	chr5	FALSE	FALSE
1110051M20Rik	chr2	FALSE	TRUE
1110059E24Rik	chr19	FALSE	TRUE
1190005I06Rik	chr8	FALSE	FALSE
1300017J02Rik	chr9	FALSE	FALSE
1700011L22Rik	chr8	TRUE	TRUE
1700017N19Rik	chr10	TRUE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
1700028P14Rik	chr19	TRUE	TRUE
1700069L16Rik	chr5	FALSE	TRUE
1810013L24Rik	chr16	FALSE	TRUE
2010109A12Rik	chr5	TRUE	TRUE
2010300C02Rik	chr1	FALSE	TRUE
2610001J05Rik	chr6	TRUE	TRUE
2700049A03Rik	chr12	FALSE	TRUE
2900026A02Rik	chr5	FALSE	FALSE
3110009E18Rik	chr1	FALSE	FALSE
3110082I17Rik	chr5	FALSE	TRUE
3830406C13Rik	chr14	FALSE	TRUE
4430402I18Rik	chr19	FALSE	FALSE
4930430F08Rik	chr10	FALSE	TRUE
4930447A16Rik	chr15	TRUE	TRUE
4931406P16Rik	chr7	FALSE	TRUE
4931428F04Rik	chr8	TRUE	TRUE
4931429L15Rik	chr9	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
4933427D14Rik	chr11	FALSE	TRUE
5031439G07Rik	chr15	FALSE	FALSE
5730480H06Rik	chr5	FALSE	TRUE
5730522E02Rik	chr11	FALSE	FALSE
6330411D24Rik	chr4	TRUE	TRUE
6430548M08Rik	chr8	FALSE	TRUE
6430550D23Rik	chr2	FALSE	TRUE
7420426K07Rik	chr9	FALSE	TRUE
7530416G11Rik	chr15	FALSE	FALSE
9330182L06Rik	chr5	FALSE	TRUE
9430038I01Rik	chr7	FALSE	FALSE
9530053A07Rik	chr7	FALSE	FALSE
9930021J03Rik	chr19	FALSE	TRUE
a	chr2	FALSE	TRUE
A330070K13Rik	chr5	TRUE	TRUE
A430005L14Rik	chr4	FALSE	TRUE
A630001G21Rik	chr1	FALSE	FALSE
A630023A22Rik	chr14	FALSE	FALSE
A830031A19Rik	chr11	FALSE	FALSE
A930004D18Rik	chr2	TRUE	FALSE
A930009A15Rik	chr10	TRUE	FALSE
Aak1	chr6	FALSE	TRUE
Aamdc	chr7	FALSE	TRUE
Aar2	chr2	FALSE	TRUE
Aass	chr6	FALSE	FALSE
Aatf	chr11	FALSE	TRUE
Abat	chr16	FALSE	FALSE
Abca9	chr11	FALSE	FALSE
Abcb1b	chr5	FALSE	FALSE
Abcb5	chr12	FALSE	FALSE
Abcb7	chrX	FALSE	TRUE
Abcc12	chr8	TRUE	TRUE
Abcc4	chr14	FALSE	FALSE
Abcc5	chr16	FALSE	TRUE
Abcc6	chr7	FALSE	FALSE
Abcd2	chr15	FALSE	TRUE
Abcd3	chr3	FALSE	TRUE
Abcf1	chr17	FALSE	TRUE
Abcg1	chr17	FALSE	TRUE
Abcg8	chr17	FALSE	FALSE
Abhd12	chr2	FALSE	TRUE
Abhd17c	chr7	FALSE	TRUE
Abhd2	chr7	FALSE	TRUE
Abhd3	chr18	FALSE	FALSE
Abhd6	chr14	FALSE	TRUE
Abi1	chr2	FALSE	TRUE
Abi3	chr11	FALSE	FALSE
Abi3bp	chr16	FALSE	FALSE
Abl2	chr1	FALSE	TRUE
Ablim1	chr19	FALSE	TRUE
Ablim2	chr5	FALSE	FALSE
Ablim3	chr18	FALSE	TRUE
Abr	chr11	FALSE	FALSE
Abtb2	chr2	TRUE	FALSE
Acacb	chr5	FALSE	FALSE
Acad10	chr5	FALSE	FALSE
Acad11	chr9	FALSE	FALSE
Acad9	chr3	FALSE	TRUE
Acan	chr7	FALSE	FALSE
Acap2	chr16	FALSE	TRUE
Acat1	chr9	FALSE	TRUE
Acbd6	chr1	FALSE	TRUE
Ace2	chrX	TRUE	FALSE
Acer2	chr4	FALSE	FALSE
Acer3	chr7	FALSE	TRUE
Ackr1	chr1	FALSE	TRUE
Acly	chr11	FALSE	FALSE
Aco2	chr15	FALSE	TRUE
Acot3	chr12	FALSE	FALSE
Acot7	chr4	FALSE	TRUE
Acox1	chr11	FALSE	TRUE
Acox3	chr5	FALSE	FALSE
Acsl3	chr1	FALSE	TRUE
Acsl6	chr11	FALSE	TRUE
Acss2	chr2	FALSE	TRUE
Actg2	chr6	TRUE	TRUE
Actl6b	chr5	FALSE	TRUE
Actn1	chr12	FALSE	FALSE
Actr2	chr11	FALSE	TRUE
Actr3b	chr5	FALSE	TRUE
Acvr1	chr2	FALSE	TRUE
Acvr2a	chr2	FALSE	TRUE
Adam10	chr9	FALSE	TRUE
Adam12	chr7	TRUE	FALSE
Adam17	chr12	FALSE	TRUE
Adam23	chr1	FALSE	TRUE
Adam7	chr14	FALSE	FALSE
Adamts14	chr10	FALSE	FALSE
Adamts16	chr13	TRUE	TRUE
Adamts17	chr7	FALSE	FALSE
Adamts18	chr8	TRUE	TRUE
Adamts3	chr5	FALSE	FALSE
Adamts9	chr6	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Adamtsl5	chr10	FALSE	FALSE
Adarb1	chr10	FALSE	TRUE
Adarb2	chr13	FALSE	FALSE
