"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","over_represented_padj"
"GO:1990032",9.0979744031026e-05,1,2,2,"parallel fiber","CC",1
"GO:0005509",0.00129538985128691,0.999741868559266,8,289,"calcium ion binding","MF",1
"GO:0140115",0.00153620497596747,0.99992374342441,3,39,"export across plasma membrane","BP",1
"GO:0043121",0.00280066500641046,0.9999408471397,2,11,"neurotrophin binding","MF",1
"GO:0051625",0.00341376629464449,1,1,1,"epinephrine uptake","BP",1
"GO:0003094",0.00550839961950861,0.999823111596722,2,20,"glomerular filtration","BP",1
"GO:0040036",0.00665257136039505,0.999762749219686,2,22,"regulation of fibroblast growth factor receptor signaling pathway","BP",1
"GO:0097205",0.00742080660279578,0.999719056712211,2,23,"renal filtration","BP",1
"GO:0051615",0.00746783038345155,0.999986331774422,1,2,"histamine uptake","BP",1
"GO:2001014",0.00753747519063571,0.999719511053164,2,17,"regulation of skeletal muscle cell differentiation","BP",1
"GO:1905056",0.00834182136159461,1,1,1,"P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration","MF",1
"GO:1990760",0.00840930958908469,1,1,1,"osmolarity-sensing monoatomic cation channel activity","MF",1
"GO:1900746",0.00842637717293026,0.99966285300788,2,20,"regulation of vascular endothelial growth factor signaling pathway","BP",1
"GO:0014846",0.00935285548632261,1,1,1,"esophagus smooth muscle contraction","BP",1
"GO:1902547",0.00964196849334968,0.999584599147454,2,21,"regulation of cellular response to vascular endothelial growth factor stimulus","BP",1
"GO:0140895",0.0102840368551388,0.999535017072407,2,26,"cell surface toll-like receptor signaling pathway","BP",1
"GO:0002752",0.0106204995640232,0.999510575038797,2,27,"cell surface pattern recognition receptor signaling pathway","BP",1
"GO:0098928",0.0107160752555751,1,1,1,"presynaptic signal transduction","BP",1
"GO:1900744",0.0107992688124575,0.999497984995725,2,27,"regulation of p38MAPK cascade","BP",1
"GO:1990597",0.010955953188325,1,1,1,"AIP1-IRE1 complex","CC",1
"GO:0031032",0.0114454346152288,0.998229413427714,4,122,"actomyosin structure organization","BP",1
"GO:0002220",0.0120316870589973,0.999406984561031,2,28,"innate immune response activating cell surface receptor signaling pathway","BP",1
"GO:0005034",0.0126047327977039,0.999960957224164,1,2,"osmosensor activity","MF",1
"GO:0008449",0.0129944893112681,0.999958497019943,1,2,"N-acetylglucosamine-6-sulfatase activity","MF",1
"GO:0032238",0.0133126464891361,0.999934723604524,1,4,"adenosine transport","BP",1
"GO:1901642",0.0133126464891361,0.999934723604524,1,4,"nucleoside transmembrane transport","BP",1
"GO:0044301",0.0134579534897601,0.99995547305326,1,2,"climbing fiber","CC",1
"GO:0070317",0.0134579534897601,0.99995547305326,1,2,"negative regulation of G0 to G1 transition","BP",1
"GO:0071902",0.01380419385048,0.998456588739815,3,72,"positive regulation of protein serine/threonine kinase activity","BP",1
"GO:0032902",0.0138137936322817,0.999953078629615,1,2,"nerve growth factor production","BP",1
"GO:0042500",0.013911132525696,0.999928704149788,1,4,"aspartic endopeptidase activity, intramembrane cleaving","MF",1
"GO:0034137",0.0139794927064174,0.999927999603868,1,4,"positive regulation of toll-like receptor 2 signaling pathway","BP",1
"GO:0038084",0.0140996276820334,0.99841787603516,3,62,"vascular endothelial growth factor signaling pathway","BP",1
"GO:1902435",0.0151039123747696,0.999943867614005,1,2,"regulation of male mating behavior","BP",1
"GO:1902437",0.0151039123747696,0.999943867614005,1,2,"positive regulation of male mating behavior","BP",1
"GO:0007342",0.0160731233282516,0.99989840945056,1,5,"fusion of sperm to egg plasma membrane involved in single fertilization","BP",1
"GO:0045026",0.0160731233282516,0.99989840945056,1,5,"plasma membrane fusion","BP",1
"GO:0005337",0.0163733753922057,0.999894565392403,1,5,"nucleoside transmembrane transporter activity","MF",1
"GO:0004869",0.0167632728843285,0.999930796921405,1,2,"cysteine-type endopeptidase inhibitor activity","MF",1
"GO:0098553",0.0171944103896678,0.999878864276724,1,6,"lumenal side of endoplasmic reticulum membrane","CC",1
"GO:0015858",0.0174792089397643,0.999879787604327,1,5,"nucleoside transport","BP",1
"GO:0004185",0.0175433987252466,0.999924175270386,1,2,"serine-type carboxypeptidase activity","MF",1
"GO:0031293",0.0180840945646602,0.999879298002652,1,4,"membrane protein intracellular domain proteolysis","BP",1
"GO:0016459",0.0183261122941703,0.998883527327883,2,24,"myosin complex","CC",1
"GO:0035924",0.018452534360036,0.997699823749875,3,73,"cellular response to vascular endothelial growth factor stimulus","BP",1
"GO:0035470",0.0185670697535591,0.999886818112898,1,3,"positive regulation of vascular wound healing","BP",1
"GO:0038066",0.0187782143518575,0.998817369296002,2,35,"p38MAPK cascade","BP",1
"GO:0007354",0.0195594317581783,0.999874338737218,1,3,"zygotic determination of anterior/posterior axis, embryo","BP",1
"GO:0140552",0.0201926706888538,0.999899406922665,1,2,"TEAD-YAP complex","CC",1
"GO:0008543",0.0202364178131871,0.99738393557886,3,78,"fibroblast growth factor receptor signaling pathway","BP",1
"GO:1904472",0.0207803642012468,0.999893433791799,1,2,"positive regulation of endothelin production","BP",1
"GO:0051346",0.0209807655765144,0.998598675982878,2,35,"negative regulation of hydrolase activity","BP",1
"GO:0050840",0.021384911803646,0.998548000159951,2,41,"extracellular matrix binding","MF",1
"GO:0019534",0.0214828859628171,0.999829413548867,1,4,"toxin transmembrane transporter activity","MF",1
"GO:0033235",0.0222293688634342,0.999805187695853,1,5,"positive regulation of protein sumoylation","BP",1
"GO:0036324",0.0225232400222374,0.99981240695467,1,4,"vascular endothelial growth factor receptor-2 signaling pathway","BP",1
"GO:0048687",0.022679023164347,0.999872945280326,1,2,"positive regulation of sprouting of injured axon","BP",1
"GO:0048691",0.022679023164347,0.999872945280326,1,2,"positive regulation of axon extension involved in regeneration","BP",1
"GO:0051620",0.0228122696064455,0.999807537379553,1,4,"norepinephrine uptake","BP",1
"GO:0032898",0.0229415234552137,0.999792444009289,1,5,"neurotrophin production","BP",1
"GO:0016342",0.0232085292927839,0.998397092081459,2,24,"catenin complex","CC",1
"GO:0045773",0.0233267394531293,0.998369545373543,2,28,"positive regulation of axon extension","BP",1
"GO:0016339",0.0236347433624394,0.998351733067544,2,24,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","BP",1
"GO:0016461",0.0237632590607966,0.999814157707584,1,3,"unconventional myosin complex","CC",1
"GO:0034144",0.0238431156137697,0.99981289964631,1,3,"negative regulation of toll-like receptor 4 signaling pathway","BP",1
"GO:0001764",0.02391315558216,0.995379938463497,4,138,"neuron migration","BP",1
"GO:0071196",0.0243909902496273,0.999852908272304,1,2,"Kv4.3-KChIP1 channel complex","CC",1
"GO:0048241",0.0244828456434413,0.999746693156507,1,7,"epinephrine transport","BP",1
"GO:1901626",0.0246815290696271,0.999799432162204,1,3,"regulation of postsynaptic membrane organization","BP",1
"GO:1901628",0.0246815290696271,0.999799432162204,1,3,"positive regulation of postsynaptic membrane organization","BP",1
"GO:1904719",0.0246815290696271,0.999799432162204,1,3,"positive regulation of AMPA glutamate receptor clustering","BP",1
"GO:0003012",0.0249833017299628,0.993969098114151,5,243,"muscle system process","BP",1
"GO:1904470",0.0251030058996449,0.999792483130714,1,3,"regulation of endothelin production","BP",1
"GO:1990775",0.0251030058996449,0.999792483130714,1,3,"endothelin production","BP",1
"GO:0008504",0.0255983116683543,0.999730601708667,1,6,"monoamine transmembrane transporter activity","MF",1
"GO:0044344",0.0256531674449245,0.996357327437257,3,93,"cellular response to fibroblast growth factor stimulus","BP",1
"GO:0090161",0.0263271933871896,0.999726276307647,1,5,"Golgi ribbon formation","BP",1
"GO:1903036",0.0268003270013747,0.99795149316033,2,39,"positive regulation of response to wounding","BP",1
"GO:0008343",0.0274623730748644,0.999702021393032,1,5,"adult feeding behavior","BP",1
"GO:1905606",0.0274670504207878,0.997904916681123,2,28,"regulation of presynapse assembly","BP",1
"GO:0030948",0.02768308978726,0.999684667690939,1,6,"negative regulation of vascular endothelial growth factor receptor signaling pathway","BP",1
"GO:0097165",0.0277675741347684,0.999809027608113,1,2,"nuclear stress granule","CC",1
"GO:0071774",0.0277711397288504,0.995931724091107,3,97,"response to fibroblast growth factor","BP",1
"GO:0008233",0.0284020277806179,0.994189722137661,4,194,"peptidase activity","MF",1
"GO:0034135",0.0291992668146024,0.999648964852053,1,6,"regulation of toll-like receptor 2 signaling pathway","BP",1
"GO:0030955",0.0293277886311735,0.999635818659877,1,7,"potassium ion binding","MF",1
"GO:0034983",0.0294308495945832,0.999785277265604,1,2,"peptidyl-lysine deacetylation","BP",1
"GO:0006508",0.0296023817580935,0.990518181537332,7,500,"proteolysis","BP",1
"GO:0044331",0.0298547700022814,0.997602305341762,2,32,"cell-cell adhesion mediated by cadherin","BP",1
"GO:0140937",0.0307145727300412,0.999611345980267,1,6,"histone H4K12 deacetylase activity, hydrolytic mechanism","MF",1
"GO:0180032",0.0307145727300412,0.999611345980267,1,6,"histone H4K5 deacetylase activity, hydrolytic mechanism","MF",1
"GO:0180033",0.0307145727300412,0.999611345980267,1,6,"histone H4K8 deacetylase activity, hydrolytic mechanism","MF",1
"GO:1990162",0.0307145727300412,0.999611345980267,1,6,"histone H3K4 deacetylase activity, hydrolytic mechanism","MF",1
"GO:0014042",0.0309405441025695,0.999644696211918,1,4,"positive regulation of neuron maturation","BP",1
"GO:0030307",0.0313703660964477,0.995187567071158,3,93,"positive regulation of cell growth","BP",1
"GO:0099174",0.033091569446182,0.997199592349033,2,30,"regulation of presynapse organization","BP",1
"GO:0070008",0.0334464107652624,0.999538622691163,1,6,"serine-type exopeptidase activity","MF",1
"GO:0006936",0.0337581966742476,0.992721830281148,4,175,"muscle contraction","BP",1
"GO:0005326",0.0340924758316264,0.99948886861387,1,9,"neurotransmitter transmembrane transporter activity","MF",1
"GO:0021814",0.0345741769230727,0.999604617173965,1,3,"cell motility involved in cerebral cortex radial glia guided migration","BP",1
"GO:0030018",0.0346145251247261,0.994490779407332,3,87,"Z disc","CC",1
"GO:0051608",0.0354894188193187,0.999454388418805,1,8,"histamine transport","BP",1
"GO:0048677",0.0358636950467756,0.999574317737854,1,3,"axon extension involved in regeneration","BP",1
"GO:0048682",0.0358636950467756,0.999574317737854,1,3,"sprouting of injured axon","BP",1
"GO:0048686",0.0358636950467756,0.999574317737854,1,3,"regulation of sprouting of injured axon","BP",1
"GO:0048690",0.0358636950467756,0.999574317737854,1,3,"regulation of axon extension involved in regeneration","BP",1
"GO:0061043",0.0360570404220413,0.999484472354212,1,5,"regulation of vascular wound healing","BP",1
"GO:0004065",0.0361497256864541,0.999481798429046,1,5,"arylsulfatase activity","MF",1
"GO:0014883",0.0364604722865065,0.99950542082146,1,4,"transition between fast and slow fiber","BP",1
"GO:0044300",0.036487505789762,0.99947199420257,1,5,"cerebellar mossy fiber","CC",1
"GO:0015562",0.0366096468771282,0.999430869399488,1,7,"efflux transmembrane transporter activity","MF",1
"GO:0010454",0.0366256344614358,0.999418633056113,1,8,"negative regulation of cell fate commitment","BP",1
"GO:0043184",0.0366624111936712,0.99944490279489,1,6,"vascular endothelial growth factor receptor 2 binding","MF",1
"GO:0010944",0.0367423835810002,0.99944246025485,1,6,"negative regulation of transcription by competitive promoter binding","BP",1
"GO:0098698",0.0367890086560784,0.996692602796914,2,32,"postsynaptic specialization assembly","BP",1
"GO:0051058",0.0372607613982261,0.996602087090866,2,38,"negative regulation of small GTPase mediated signal transduction","BP",1
"GO:0098554",0.0373227631315994,0.999396125295827,1,8,"cytoplasmic side of endoplasmic reticulum membrane","CC",1
"GO:0045743",0.0376290124566429,0.999438170750195,1,5,"positive regulation of fibroblast growth factor receptor signaling pathway","BP",1
"GO:0030660",0.0378255504864286,0.999350436149725,1,12,"Golgi-associated vesicle membrane","CC",1
"GO:0048406",0.0381599198925513,0.999381264198493,1,7,"nerve growth factor binding","MF",1
"GO:0014733",0.0389425291648143,0.999397929996345,1,5,"regulation of skeletal muscle adaptation","BP",1
"GO:0033233",0.0394828204709206,0.999313022969766,1,9,"regulation of protein sumoylation","BP",1
"GO:0008236",0.0395127727744669,0.996237389647323,2,54,"serine-type peptidase activity","MF",1
"GO:0031674",0.0400627269378308,0.993237352266278,3,95,"I band","CC",1
"GO:0007351",0.0404110803773116,0.999291191144987,1,8,"tripartite regional subdivision","BP",1
"GO:0008595",0.0404110803773116,0.999291191144987,1,8,"anterior/posterior axis specification, embryo","BP",1
"GO:0019789",0.0408615659001203,0.9992897836186,1,7,"SUMO transferase activity","MF",1
"GO:0034134",0.041654177020952,0.99924654283096,1,8,"toll-like receptor 2 signaling pathway","BP",1
"GO:0070555",0.041932521906584,0.995875682149102,2,54,"response to interleukin-1","BP",1
"GO:0008484",0.0421260837125283,0.999244762921588,1,7,"sulfuric ester hydrolase activity","MF",1
"GO:0017171",0.0424419935473755,0.995793993063291,2,56,"serine hydrolase activity","MF",1
"GO:0034332",0.0424878049483771,0.995842834315759,2,37,"adherens junction organization","BP",1
"GO:0032103",0.0437186298165808,0.989745200859206,4,229,"positive regulation of response to external stimulus","BP",1
"GO:0008191",0.0440343603677691,0.999196804061041,1,6,"metalloendopeptidase inhibitor activity","MF",1
"GO:0014824",0.0447344888193783,0.999129927130486,1,8,"artery smooth muscle contraction","BP",1
"GO:1903431",0.044994477454997,0.999161065954259,1,6,"positive regulation of cell maturation","BP",1
"GO:0046330",0.0454732099558265,0.995340547005364,2,48,"positive regulation of JNK cascade","BP",1
"GO:0061614",0.0462442707739689,0.995204151997838,2,53,"miRNA transcription","BP",1
"GO:1902893",0.0462442707739689,0.995204151997838,2,53,"regulation of miRNA transcription","BP",1
"GO:0048742",0.0465202865143997,0.999138069232047,1,5,"regulation of skeletal muscle fiber development","BP",1
"GO:0035914",0.0471827716272933,0.995033235677633,2,62,"skeletal muscle cell differentiation","BP",1
"GO:0062207",0.0474815727752586,0.99498262572204,2,63,"regulation of pattern recognition receptor signaling pathway","BP",1
"GO:0031078",0.0478196043792216,0.999024587784376,1,7,"histone H3K14 deacetylase activity, hydrolytic mechanism","MF",1
"GO:0032129",0.0478196043792216,0.999024587784376,1,7,"histone H3K9 deacetylase activity, hydrolytic mechanism","MF",1
