chr	start	end	width	n_mecp2_peaks	n_mecp2_gained	n_mecp2_lost
chr10	101620001	101630000	10000	0	0	0
chr10	103440001	103450000	10000	0	0	0
chr10	104025001	104050000	25000	0	0	0
chr10	105960001	105970000	10000	0	0	0
chr10	106300001	106310000	10000	0	0	0
chr10	106570001	106580000	10000	0	0	0
chr10	107600001	107625000	25000	0	0	0
chr10	108700001	108725000	25000	0	0	0
chr10	108775001	108800000	25000	0	0	0
chr10	108790001	108800000	10000	0	0	0
chr10	108800001	108825000	25000	0	0	0
chr10	108850001	108875000	25000	2	1	0
chr10	109275001	109300000	25000	0	0	0
chr10	109300001	109325000	25000	0	0	0
chr10	109425001	109450000	25000	0	0	0
chr10	109440001	109450000	10000	0	0	0
chr10	109450001	109475000	25000	0	0	0
chr10	109730001	109740000	10000	2	2	0
chr10	110000001	110010000	10000	0	0	0
chr10	110010001	110020000	10000	0	0	0
chr10	110475001	110500000	25000	0	0	0
chr10	110490001	110500000	10000	0	0	0
chr10	110680001	110690000	10000	0	0	0
chr10	110710001	110720000	10000	0	0	0
chr10	110740001	110750000	10000	0	0	0
chr10	110850001	110875000	25000	0	0	0
chr10	114020001	114030000	10000	0	0	0
chr10	12450001	12475000	25000	0	0	0
chr10	116140001	116150000	10000	1	0	0
chr10	116520001	116530000	10000	0	0	0
chr10	116610001	116620000	10000	0	0	0
chr10	12825001	12850000	25000	2	1	0
chr10	119575001	119600000	25000	0	0	0
chr10	119590001	119600000	10000	0	0	0
chr10	119850001	119875000	25000	0	0	0
chr10	120070001	120080000	10000	0	0	0
chr10	120075001	120100000	25000	1	0	0
chr10	13000001	13010000	10000	1	0	0
chr10	121930001	121940000	10000	0	0	0
chr10	121975001	121980000	5000	0	0	0
chr10	122250001	122260000	10000	0	0	0
chr10	122250001	122275000	25000	0	0	0
chr10	122630001	122640000	10000	0	0	0
chr10	122675001	122700000	25000	2	0	0
chr10	122830001	122840000	10000	0	0	0
chr10	123025001	123050000	25000	0	0	0
chr10	123040001	123050000	10000	0	0	0
chr10	123050001	123075000	25000	0	0	0
chr10	123100001	123110000	10000	0	0	0
chr10	123440001	123450000	10000	0	0	0
