gene_name	chr	at_gained_anchor	at_lost_anchor	at_mixed_anchor	n_anchors	n_anchor_loops	mean_loop_logfc	gene_anchor_class	gene_length	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_conc_weighted_fold	mecp2_total_conc	mecp2_n_peaks_weighted	has_mecp2_peak	mecp2_gained	mecp2_lost
0610009B22Rik	chr11	FALSE	FALSE	FALSE	0	0	NA	No anchor	3489	0.000182662192448113	-0.203904489191432	0.671049123761839	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
0610010F05Rik	chr11	FALSE	TRUE	FALSE	1	1	-0.347119716529272	Lost anchor	68679	0.00031917130477704	-0.21335011582808	0.0572741869177017	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
0610010K14Rik	chr11	FALSE	FALSE	FALSE	0	0	NA	No anchor	2709	-0.0010286050968369	-0.472681134242593	0.407275545998949	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
0610012G03Rik	chr16	FALSE	FALSE	FALSE	0	0	NA	No anchor	1445	-1.98120917743461e-05	-0.203372237200963	0.790906022447735	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
0610030E20Rik	chr6	FALSE	FALSE	FALSE	0	0	NA	No anchor	5832	0.000660417956224577	-0.12246708246866	0.762289417635887	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
0610040J01Rik	chr5	FALSE	FALSE	FALSE	0	0	NA	No anchor	87263	-0.000995262111297603	-0.259503168918075	0.00230377208130918	TRUE	Hypomethylated	-0.058364766	0.811852365	0.811852365	1	0	FALSE	-0.058364766	4.117465461	1	TRUE	FALSE	FALSE
1110002E22Rik	chr3	FALSE	FALSE	FALSE	0	0	NA	No anchor	16455	0.00789546497810353	0.275236472864458	0.0150699538246193	TRUE	Hypermethylated	0.080082739	0.723303077	4.6e-10	5	3	TRUE	0.957535135748078	23.959247506	5	TRUE	FALSE	FALSE
1110004F10Rik	chr7	TRUE	FALSE	FALSE	2	6	0.350122983271522	Gained anchor	65814	0.00052510493412777	-0.0945820989398361	0.303313825607443	FALSE	Hypomethylated	-0.024932455	0.932489266	0.932489266	1	0	FALSE	-0.024932455	4.440212161	1	TRUE	FALSE	FALSE
1110008P14Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	4842	-0.00404871059107448	-0.412250207877378	0.202633596661505	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110012L19Rik	chrX	FALSE	FALSE	FALSE	0	0	NA	No anchor	3541	0.0024313140516883	-0.134899584396022	0.849731648735865	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
