anchor_set	region_set	shift_bp	shifted_zscore
Gained loop anchors	CTCF	-50000	1.26705674050967
Gained loop anchors	CTCF	-49000	0.412652726987812
Gained loop anchors	CTCF	-48000	0.778825875640036
Gained loop anchors	CTCF	-47000	1.26705674050967
Gained loop anchors	CTCF	-46000	1.816316463488
Gained loop anchors	CTCF	-45000	1.6942587472706
Gained loop anchors	CTCF	-44000	1.45014331483578
Gained loop anchors	CTCF	-43000	1.02294130807485
Gained loop anchors	CTCF	-42000	0.595739301313924
Gained loop anchors	CTCF	-41000	0.473681585096516
Gained loop anchors	CTCF	-40000	1.45014331483578
Gained loop anchors	CTCF	-39000	2.24351847024893
Gained loop anchors	CTCF	-38000	2.24351847024893
Gained loop anchors	CTCF	-37000	1.14499902429226
Gained loop anchors	CTCF	-36000	1.02294130807485
Gained loop anchors	CTCF	-35000	0.412652726987812
Gained loop anchors	CTCF	-34000	0.53471044320522
Gained loop anchors	CTCF	-33000	0.717797017531332
Gained loop anchors	CTCF	-32000	0.53471044320522
Gained loop anchors	CTCF	-31000	0.83985473374874
Gained loop anchors	CTCF	-30000	0.717797017531332
Gained loop anchors	CTCF	-29000	-0.0145492797731158
Gained loop anchors	CTCF	-28000	0.473681585096516
Gained loop anchors	CTCF	-27000	1.7552876053793
Gained loop anchors	CTCF	-26000	3.15895134187949
Gained loop anchors	CTCF	-25000	4.19644192972746
Gained loop anchors	CTCF	-24000	4.50158622027098
Gained loop anchors	CTCF	-23000	5.11187480135802
Gained loop anchors	CTCF	-22000	6.3934808216408
Gained loop anchors	CTCF	-21000	6.75965397029303
Gained loop anchors	CTCF	-20000	9.01772172031507
Gained loop anchors	CTCF	-19000	9.87212573383693
Gained loop anchors	CTCF	-18000	10.055212308163
Gained loop anchors	CTCF	-17000	11.5809337608806
Gained loop anchors	CTCF	-16000	12.8015109230547
Gained loop anchors	CTCF	-15000	13.4728283622505
Gained loop anchors	CTCF	-14000	14.5103189500984
Gained loop anchors	CTCF	-13000	15.9750115447073
Gained loop anchors	CTCF	-12000	17.4397041393162
Gained loop anchors	CTCF	-11000	18.6602813014903
Gained loop anchors	CTCF	-10000	22.3220127880125
Gained loop anchors	CTCF	-9000	26.2278597069696
Gained loop anchors	CTCF	-8000	30.8660529232311
Gained loop anchors	CTCF	-7000	37.5181984570798
Gained loop anchors	CTCF	-6000	43.0107956868632
Gained loop anchors	CTCF	-5000	49.3577969301684
Gained loop anchors	CTCF	-4000	57.2915484842999
Gained loop anchors	CTCF	-3000	66.6899926330403
