sub_analysis	RS1	RS2	n_region_a	n_region_b	observed_overlaps	expected_overlaps	sd_permuted	z_score	norm_zscore	perm_p_value	perm_adj_p_value	observed_over_expected	contrast_against	n_query	n_query_with_target	pct_query_with_target	n_contrast	n_contrast_with_target	pct_contrast_with_target	fisher_or	fisher_ci_low	fisher_ci_high	fisher_p	concordance	test_id	perm_stars	fisher_stars
40_02a  ATAC x marks	ATAC Down	H3K4me1	3744	113652	3538	230.597	14.9132515574037	221.7761	3.62448929983495	0.0001999600079984	2e-04	15.3427841645815	ATAC Up	3744	3538	94.4978632478633	7618	5973	78.4064058808086	4.7294089344801	4.06406193203114	5.52634777439739	1.43146413577836e-122	Confirmed	ATAC Down x H3K4me1	***	***
40_02a  ATAC x marks	ATAC Down	H3K27ac	3744	15100	1506	69.3804	8.2393005197414	174.3618	2.84959686097808	0.0001999600079984	2e-04	21.7064185274227	ATAC Up	3744	1506	40.224358974359	7618	937	12.2998162247309	4.79729454439047	4.3599440105293	5.28004222107746	2.90473343087173e-241	Confirmed	ATAC Down x H3K27ac	***	***
40_02a  ATAC x marks	ATAC Down	CTCF	3744	32474	227	27.7852	5.22835806975968	38.1027	0.62271285519414	0.0001999600079984	2e-04	8.16981702489095	ATAC Up	3744	226	6.03632478632479	7618	1319	17.3142557101601	0.306822908279824	0.263643058292927	0.355791994693184	1.64441091260772e-68	Confirmed	ATAC Down x CTCF	***	***
40_02a  ATAC x marks	ATAC Down	H3K4me3	3744	6580	158	30.729	5.49294033088798	23.1699	0.378665936628184	0.0001999600079984	2e-04	5.14172280256435	ATAC Up	3744	158	4.22008547008547	7618	561	7.36413756891573	0.554274398882141	0.459464408379225	0.665608639683353	2.58639242049153e-11	Confirmed	ATAC Down x H3K4me3	***	***
40_02a  ATAC x marks	ATAC Down	Bivalent	3744	318	15	1.7092	1.29605991924095	10.2548	0.167594311884587	0.0001999600079984	2e-04	8.77603557219752	ATAC Up	3744	15	0.400641025641026	7618	192	2.5203465476503	0.15558436535239	0.0852828550945818	0.263619920959032	6.56098834503158e-19	Confirmed	ATAC Down x Bivalent	***	***
40_02a  ATAC x marks	ATAC Down	H3K27me3	3744	15794	39	87.2258	9.36196259492238	-5.1512	-0.0841861196103178	0.0001999600079984	2e-04	0.447115417686052	ATAC Up	3744	39	1.04166666666667	7618	1801	23.6413756891573	0.0340031531959841	0.0240394866842846	0.0467977380237976	1.43858069302919e-283	Confirmed	ATAC Down x H3K27me3	***	***
40_02a  ATAC x marks	ATAC Up	H3K4me1	7618	113652	5973	469.1492	21.17531152365	259.9183	2.9779429512517	0.0001999600079984	2e-04	12.7315574661536	ATAC Down	7618	5973	78.4064058808086	3744	3538	94.4978632478633	0.211442912603608	0.180951333651641	0.246059242384683	1.43146413577836e-122	Confirmed	ATAC Up x H3K4me1	***	***
40_02a  ATAC x marks	ATAC Up	CTCF	7618	32474	1326	56.6336	7.4393023654061	170.6298	1.95494434283191	0.0001999600079984	2e-04	23.4136625607413	ATAC Down	7618	1319	17.3142557101601	3744	226	6.03632478632479	3.25920905191341	2.81063097235323	3.79300713045487	1.64441091260772e-68	Confirmed	ATAC Up x CTCF	***	***
40_02a  ATAC x marks	ATAC Up	H3K27me3	7618	15794	1801	177.1668	13.1279490541849	123.6928	1.41717648153511	0.0001999600079984	2e-04	10.1655614934627	ATAC Down	7618	1801	23.6413756891573	3744	39	1.04166666666667	29.4090372806396	21.3685541701075	41.5982259992977	1.43858069302919e-283	Confirmed	ATAC Up x H3K27me3	***	***
40_02a  ATAC x marks	ATAC Up	Bivalent	7618	318	192	3.5102	1.86981154104894	100.8068	1.15496638558439	0.0001999600079984	2e-04	54.6977380206256	ATAC Down	7618	192	2.5203465476503	3744	15	0.400641025641026	6.42738104008752	3.79334003425107	11.7256862342491	6.56098834503158e-19	Confirmed	ATAC Up x Bivalent	***	***
40_02a  ATAC x marks	ATAC Up	H3K27ac	7618	15100	937	141.0666	11.7533736773132	67.7196	0.775878826083368	0.0001999600079984	2e-04	6.64225266647101	ATAC Down	7618	937	12.2998162247309	3744	1506	40.224358974359	0.208450823843892	0.189392424933287	0.229360743529044	2.90473343087173e-241	Confirmed	ATAC Up x H3K27ac	***	***
40_02a  ATAC x marks	ATAC Up	H3K4me3	7618	6580	561	62.567	7.92803139097893	62.8697	0.720312421104282	0.0001999600079984	2e-04	8.96638803202966	ATAC Down	7618	561	7.36413756891573	3744	158	4.22008547008547	1.80416054217333	1.5023843447641	2.176447145335	2.58639242049153e-11	Confirmed	ATAC Up x H3K4me3	***	***
