"SYMBOL","n_mecp2_peaks","n_mecp2_sig_peaks","mecp2_has_sig","mecp2_Fold","mecp2_min_FDR","n_h2a_peaks","n_h2a_sig_peaks","h2a_has_sig","h2a_Fold","h2a_min_FDR","sig","quadrant","go_eligible","has_physical_overlap","n_total_peaks","gene_length"
"0610009E02Rik",1,0,FALSE,0.023639555,0.937779745,1,0,FALSE,0.156909241,0.545670537,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,2,13695
"0610038B21Rik",3,0,FALSE,-0.074018826,0.591762613,5,3,TRUE,0.339588076,0.000717987,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,8,1524
"1110002E22Rik",2,1,TRUE,1.849607307,4.72e-10,6,6,TRUE,0.498081745,1.04e-34,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,8,16455
"1110002J07Rik",4,1,TRUE,1.484616304,2.07e-08,4,2,TRUE,0.326731347,0.001059497,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,8,7770
"1110019D14Rik",5,4,TRUE,1.699408281,5.43e-09,4,4,TRUE,0.9317911635,6.81e-15,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,9,172860
"1110032F04Rik",1,0,FALSE,-0.200654244,0.368911059,1,0,FALSE,0.094485154,0.322348997,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,2578
"1500009L16Rik",2,0,FALSE,0.0554991795,0.450312591,2,0,FALSE,0.135616796,0.242696141,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,4,39898
"1500015L24Rik",3,2,TRUE,1.671088,8.42e-06,1,1,TRUE,0.860041893,2.56e-16,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,4,120028
"1600002D24Rik",12,1,TRUE,0.56176066,0.048394831,7,1,TRUE,0.253552172,0.045808161,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,19,172537
"1600014C10Rik",1,0,FALSE,0.038819184,0.886270827,1,1,TRUE,0.631493529,5.09e-05,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,2,14352
"1700001K23Rik",1,0,FALSE,-0.029960206,0.915840416,1,1,TRUE,0.567994375,4.72e-08,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,2,16670
"1700003F12Rik",1,0,FALSE,0.052794805,0.835675728,1,0,FALSE,0.133189468,0.307004406,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,2,2919
"1700003M07Rik",1,0,FALSE,0.061426608,0.801935969,2,2,TRUE,-0.014875412,0.025063466,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,TRUE,3,3284
"1700006F04Rik",4,0,FALSE,0.0073412695,0.702216996,7,5,TRUE,0.371723633,8.01e-10,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,11,2340
"1700008K24Rik",7,0,FALSE,-0.095874921,0.191275758,6,1,TRUE,-0.307277119,0.029990599,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,13,1273
"1700010I14Rik",3,0,FALSE,-0.057209624,0.62600857,2,0,FALSE,-0.1315312925,0.309401418,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,5,23617
"1700011B04Rik",3,0,FALSE,-0.072241695,0.682308614,4,2,TRUE,0.360798308,0.00491176,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,7,20091
"1700011L22Rik",2,1,TRUE,2.206170113,1.53e-17,1,1,TRUE,1.071475122,7.14e-30,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,3,38140
"1700012A03Rik",4,0,FALSE,0.0108185835,0.22562499,13,7,TRUE,0.425599228,5.26e-09,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,17,8676
"1700012D16Rik",16,2,TRUE,0.642004382,0.037116726,10,4,TRUE,0.4906849625,1.82e-09,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,26,2146
