"SYMBOL","mecp2_Fold","mecp2_FDR","mecp2_sig","n_mecp2_peaks","n_mecp2_sig_peaks","h2a_Fold","h2a_FDR","h2a_sig","n_h2a_peaks","n_h2a_sig_peaks","sig","quadrant","label_strength"
"Fam81b",3.65255053006998,4.3e-35,TRUE,3,1,2.2194652687228,8.76e-78,TRUE,3,1,"Significant","Q1 (MeCP2 up / H2A up)",5.87201579879278
"Ndst3",3.74622830940495,5.16e-31,TRUE,9,1,1.67361841513563,5.86e-48,TRUE,12,1,"Significant","Q1 (MeCP2 up / H2A up)",5.41984672454058
"Etv1",3.71624443912098,3.55e-39,TRUE,36,1,1.70173240009822,5.47e-78,TRUE,36,1,"Significant","Q1 (MeCP2 up / H2A up)",5.41797683921921
"A130030D18Rik",3.64972326500922,3.38e-26,TRUE,7,1,1.61624242793466,6e-47,TRUE,4,1,"Significant","Q1 (MeCP2 up / H2A up)",5.26596569294388
"Ercc8",3.3122224951399,1.82e-25,TRUE,3,1,1.67167252247228,3.51e-44,TRUE,3,1,"Significant","Q1 (MeCP2 up / H2A up)",4.98389501761218
"Tbc1d2b",3.34202042837438,6.71e-23,TRUE,4,1,1.54424560489581,5.77e-44,TRUE,2,1,"Significant","Q1 (MeCP2 up / H2A up)",4.88626603327019
"Slc13a1",3.20030403961481,1.26e-38,TRUE,13,1,1.65474953212898,1.67e-81,TRUE,14,1,"Significant","Q1 (MeCP2 up / H2A up)",4.85505357174379
"Csmd3",3.03994037917575,2.14e-14,TRUE,2,1,1.78577619523639,4.97e-27,TRUE,7,1,"Significant","Q1 (MeCP2 up / H2A up)",4.82571657441214
"Fut9",3.47642739432562,4.09e-31,TRUE,3,1,1.34456261594327,5.32e-39,TRUE,7,1,"Significant","Q1 (MeCP2 up / H2A up)",4.82099001026889
"Dmac1",3.09886107143071,1.78e-28,TRUE,9,1,1.71302108494553,4.2e-47,TRUE,17,1,"Significant","Q1 (MeCP2 up / H2A up)",4.81188215637623
"A330023F24Rik",-1.50524862910243,3.53e-07,TRUE,5,1,-1.39914356871584,1.26e-22,TRUE,4,1,"Significant","Q3 (MeCP2 down / H2A down)",2.90439219781827
"Csmd2os",-1.44244948733383,1.35e-08,TRUE,24,1,-1.16749897801602,4.37e-16,TRUE,12,1,"Significant","Q3 (MeCP2 down / H2A down)",2.60994846534985
"Plekha6",-1.37320131116708,4.67e-08,TRUE,15,1,-0.908047369279373,4.62e-37,TRUE,13,1,"Significant","Q3 (MeCP2 down / H2A down)",2.28124868044645
"Nos1",-1.77893687743046,2.22e-09,TRUE,10,1,-0.479334249209304,1.89e-06,TRUE,5,1,"Significant","Q3 (MeCP2 down / H2A down)",2.25827112663976
"Mir7214",-1.40408454622372,1.27e-06,TRUE,7,1,-0.809946192321625,3.4e-20,TRUE,5,1,"Significant","Q3 (MeCP2 down / H2A down)",2.21403073854535
