seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr3	9698552	9699821	1270	*	4.000004264	3.681012917	4.261077512	-0.207971754	0.045133457	0.338668193
chr12	84161296	84162525	1230	*	4.000030898	3.951005148	4.047445261	-0.021095157	0.73589638	0.945782131
chr5	143315176	143316717	1542	*	4.000060001	3.93881936	4.058806562	-0.026096314	0.678576747	0.929935507
chr14	79066138	79067471	1334	*	4.000098066	3.904899794	4.089401518	-0.050076614	0.44420296	0.842841202
chr17	85574090	85575637	1548	*	4.000128654	3.706818878	4.24376385	-0.208836616	0.040517124	0.317993079
chr8	94745669	94747793	2125	*	4.000163728	3.964524991	4.034943267	-0.012111634	0.846007674	0.971667503
chr11	54786981	54787972	992	*	4.000175289	3.878045864	4.112768072	-0.062765302	0.352419626	0.790850395
chr6	144304537	144305107	571	*	4.000180666	4.397311475	3.450378258	0.56949546	0.003533236	0.056657974
chr3	127754603	127756079	1477	*	4.000183203	3.806914483	4.170593073	-0.089826067	0.22334468	0.687603131
chr9	48824000	48825493	1494	*	4.000183322	3.929105901	4.067922774	-0.031198786	0.621178897	0.911777591
chr17	50036995	50038128	1134	*	4.000215062	4.198744644	3.769939113	0.107926347	0.17768947	0.635981737
chr2	32918768	32919788	1021	*	4.000218156	3.930591631	4.066638545	-0.028735701	0.647341718	0.920575041
chr4	138714317	138714903	587	*	4.000220429	4.59019453	2.985080318	1.398797303	5.54E-06	0.000222933
chr8	8377920	8379385	1466	*	4.000241068	3.678683583	4.263028348	-0.192441524	0.056169833	0.382270626
chr1	180459686	180460082	397	*	4.000244587	3.855150053	4.132070941	-0.056986402	0.406297723	0.823419217
chr4	126297427	126298774	1348	*	4.000270893	3.952828057	4.046203121	-0.017039717	0.784094775	0.957818967
chrX	100329691	100331179	1489	*	4.000273408	4.093345941	3.900779871	0.037995137	0.560587948	0.891492069
chr10	76569030	76570220	1191	*	4.000352238	3.785639322	4.187210741	-0.114670333	0.14627794	0.590896115
chr7	125335730	125336235	506	*	4.000372291	4.212367878	3.751768717	0.151543791	0.085951893	0.472322778
chr9	107699859	107700755	897	*	4.000374071	3.967677337	4.032346171	-0.017511108	0.780361102	0.957064418
chr12	102146933	102147955	1023	*	4.000397096	3.983708355	4.016894991	0.00165455	0.978583172	0.996538339
chr13	63186246	63187829	1584	*	4.000400437	4.003325704	3.997469227	-0.004703339	0.939093311	0.990733773
chr19	56335073	56336418	1346	*	4.000462118	3.873148075	4.117446445	-0.056485959	0.398103897	0.819100796
chr8	68734357	68735508	1152	*	4.000464818	3.955955229	4.043642208	-0.01958651	0.756976643	0.950778074
chr9	63649905	63650734	830	*	4.000499393	3.798869811	4.177373864	-0.09670751	0.196100911	0.657985338
chr16	20708018	20709099	1082	*	4.000506391	3.783288031	4.18925871	-0.107136123	0.168784412	0.62412276
chr4	152525344	152526510	1167	*	4.00051742	4.181947961	3.792943385	0.114313067	0.142743301	0.58598563
chr6	54003025	54003495	471	*	4.00055893	4.163680748	3.816613927	0.090506104	0.216893327	0.680743561
chr3	102596580	102598077	1498	*	4.00055972	3.736320219	4.223812308	-0.161025996	0.074035103	0.440330682
chr7	139395201	139396606	1406	*	4.000570154	4.052681187	3.946506073	0.029118064	0.642598769	0.919039767
chr19	23034285	23035964	1680	*	4.000669105	3.898979914	4.095660204	-0.041991425	0.517140639	0.875720781
chr1	76483756	76484777	1022	*	4.000744836	4.359999445	3.521266721	0.513047904	0.003656805	0.058236208
chr1	190591140	190592520	1381	*	4.000758922	3.981136126	4.020118396	-0.00083742	0.989163244	0.99816675
chr15	40378000	40378832	833	*	4.000760059	4.717930756	2.510892072	2.02374046	7.65E-11	8.44E-09
chr4	125894311	125895665	1355	*	4.000764435	3.806507639	4.171941751	-0.091828535	0.207458926	0.670976317
chr17	29875931	29876771	841	*	4.00077666	3.909128523	4.086948918	-0.035718687	0.575091168	0.896831486
chr8	125944182	125945268	1087	*	4.000826371	4.076190822	3.921306934	0.03171498	0.616363426	0.910121699
chr3	142205628	142206955	1328	*	4.000828785	3.477463104	4.384052733	-0.195935999	0.084517677	0.468400824
chr5	35424894	35426431	1538	*	4.000833831	3.967176346	4.033723969	-0.011646284	0.853677514	0.973568996
chr12	116613828	116615150	1323	*	4.000858477	3.831012547	4.15279831	-0.099300882	0.179409785	0.638262664
chr6	108570333	108571732	1400	*	4.000867597	3.660344396	4.276166908	-0.241362142	0.031800934	0.275081632
chr15	29255947	29256698	752	*	4.00099575	4.715538378	2.523200554	1.988135803	5.88E-09	4.58E-07
chr12	97977239	97978397	1159	*	4.001020118	4.034233996	3.967023532	0.016392629	0.794914565	0.960666443
chr15	25642252	25643577	1326	*	4.001023376	4.107946579	3.885536826	0.0443997	0.493977248	0.865389151
chr17	49084999	49086124	1126	*	4.001037245	3.62201436	4.300916973	-0.308396496	0.018095247	0.191275758
chr6	115492657	115493944	1288	*	4.001073132	3.754806004	4.211368482	-0.166174034	0.067825243	0.421607529
chr1	131763874	131764722	849	*	4.001079937	3.980248784	4.021614585	-0.00522171	0.932352068	0.989560166
chr17	28113839	28115055	1217	*	4.001097904	4.044593631	3.956249952	0.01039396	0.866252152	0.976514943
chr4	153015250	153016418	1169	*	4.001134846	3.986255753	4.015862051	-0.010836011	0.860301859	0.975142778
chr17	14213329	14214613	1285	*	4.001147048	3.954654212	4.046188247	-0.016986084	0.785514101	0.95822553
chr7	131560074	131561105	1032	*	4.001155503	3.832224	4.152363305	-0.073663856	0.298566735	0.75360077
chr5	112659587	112661295	1709	*	4.001271252	3.915462719	4.082261322	-0.04085101	0.523914445	0.877905907
chr14	70151004	70152409	1406	*	4.001296938	3.889917301	4.104690644	-0.052508524	0.423754914	0.832942372
chr2	172851879	172853077	1199	*	4.001308553	4.033801778	3.968066601	0.011269486	0.856332729	0.974218939
chr18	82592322	82593469	1148	*	4.001390571	4.070754648	3.928522315	0.029636831	0.64013686	0.918075738
chr15	9086141	9087617	1477	*	4.001398883	3.816674369	4.16513324	-0.096738555	0.198943233	0.661351625
chr15	97728504	97729969	1466	*	4.001400057	3.825633663	4.158059296	-0.082227591	0.252603342	0.716495175
chr1	170644223	170645058	836	*	4.00141365	3.92200365	4.076679798	-0.035536849	0.581816197	0.898955012
chr14	70939353	70940108	756	*	4.001419225	4.442729379	3.362430989	0.953773152	5.97E-05	0.001812511
chrX	68629545	68631397	1853	*	4.001473989	3.955401353	4.046120708	-0.022826901	0.71899279	0.941644944
chr7	119184204	119185660	1457	*	4.001503314	3.862489516	4.128291551	-0.056702785	0.397860763	0.819057836
chr7	137356389	137358134	1746	*	4.001515924	3.781666879	4.192250524	-0.113149582	0.1525667	0.600974163
chr5	129259617	129260630	1014	*	4.001534705	4.000484461	4.002584186	0.006176251	0.920436412	0.987721103
chr6	56373606	56374748	1143	*	4.001563327	4.17467867	3.804805988	0.106608397	0.165515107	0.619586177
chr6	90784010	90785370	1361	*	4.001604192	3.596128406	4.317764691	-0.311261029	0.018237536	0.192373431
chr7	112184881	112185932	1052	*	4.001716901	4.014232913	3.989091355	0.004672943	0.939776857	0.990856698
chr6	128120984	128121581	598	*	4.001742195	3.840579446	4.146696968	-0.074470444	0.289764875	0.74685606
chr1	92638066	92639417	1352	*	4.00175758	3.799894608	4.178811556	-0.082781652	0.254795989	0.718468772
chr6	50661595	50662260	666	*	4.001767463	4.056068779	3.945342103	0.033165812	0.604836184	0.906346352
chr9	61112085	61113473	1389	*	4.001826344	4.11569306	3.878196466	0.058361358	0.387218201	0.81245942
chr14	62555326	62556527	1202	*	4.001844831	3.825166265	4.159228105	-0.085976009	0.245573749	0.710379932
chr8	15080939	15082289	1351	*	4.001875062	3.819471444	4.163783915	-0.078802203	0.267222892	0.729223065
chr7	16326241	16327888	1648	*	4.001917761	4.004755615	3.999074314	-0.005761362	0.926185438	0.988689374
chr11	88838333	88839681	1349	*	4.001945667	3.759754918	4.209263205	-0.142260252	0.094387567	0.492309719
chr18	33571013	33571551	539	*	4.001985321	4.818738242	1.934427201	2.560295917	5.27E-14	1.04E-11
chr8	105293052	105293803	752	*	4.002002077	4.012560544	3.991365767	0.006520934	0.916504313	0.987139162
chrX	153139733	153140449	717	*	4.002002344	3.684158602	4.262307409	-0.190662487	0.057696881	0.387906257
chr6	107007299	107008711	1413	*	4.002005279	4.146199875	3.84178184	0.070239616	0.307183183	0.760164547
chr4	46608938	46610618	1681	*	4.002019411	4.001165601	4.002872715	-0.000165038	0.997901402	0.999649116
chr14	60520785	60521969	1185	*	4.002026943	4.080611728	3.91891373	0.035193655	0.578337412	0.897672517
chr1	136943256	136944347	1092	*	4.002040727	3.88550108	4.109865963	-0.051751654	0.43560481	0.838948591
chr10	62289998	62291545	1548	*	4.002081486	3.98478421	4.019173831	-0.009589725	0.876841433	0.978719161
chr1	57406202	57407133	932	*	4.002081553	4.016218218	3.987804993	0.004705897	0.939764996	0.990856698
chr12	83767478	83768742	1265	*	4.002116196	4.046336208	3.956497824	0.021915957	0.72648079	0.943542877
chr2	153597471	153598170	700	*	4.002124108	4.113334792	3.88161928	0.051124315	0.435482243	0.83893272
