"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","over_represented_padj"
"GO:0005283",7.44217365653743e-05,0.999996042189536,5,15,"amino acid:sodium symporter activity","MF",0.677543480946058
"GO:0005343",0.000101076405617815,0.999994048504714,5,17,"organic acid:sodium symporter activity","MF",0.677543480946058
"GO:0005416",0.000111560397521305,0.999993289273955,5,17,"amino acid:monoatomic cation symporter activity","MF",0.677543480946058
"GO:0005576",0.00026481571861852,0.999874419039135,39,817,"extracellular region","CC",1
"GO:0005332",0.000329697417926031,0.999994557922993,3,5,"gamma-aminobutyric acid:sodium:chloride symporter activity","MF",1
"GO:0086019",0.000560846738497061,0.99995184515194,5,17,"cell-cell signaling involved in cardiac conduction","BP",1
"GO:0140161",0.00059466091558595,0.99998421420047,3,7,"monocarboxylate:sodium symporter activity","MF",1
"GO:1903522",0.000594686419464692,0.999822009461897,14,163,"regulation of blood circulation","BP",1
"GO:0050877",0.00077075032129183,0.999630169886235,34,572,"nervous system process","BP",1
"GO:0086012",0.000849632053679145,0.999948735347507,4,11,"membrane depolarization during cardiac muscle cell action potential","BP",1
"GO:0007610",0.000898688094425453,0.999589455366988,29,456,"behavior","BP",1
"GO:0015185",0.000903390368044887,0.999974848851125,3,6,"gamma-aminobutyric acid transmembrane transporter activity","MF",1
"GO:0015355",0.000963710579626544,0.999966185804803,3,9,"secondary active monocarboxylate transmembrane transporter activity","MF",1
"GO:0008016",0.000975127070137438,0.999742531115677,11,115,"regulation of heart contraction","BP",1
"GO:0002027",0.00155208552749957,0.999671422137602,8,68,"regulation of heart rate","BP",1
"GO:0086091",0.00167940728368103,0.999799903876431,5,26,"regulation of heart rate by cardiac conduction","BP",1
"GO:0015734",0.00185126208813558,0.999926740924137,3,7,"taurine transmembrane transport","BP",1
"GO:0042918",0.00185126208813558,0.999926740924137,3,7,"alkanesulfonate transmembrane transport","BP",1
"GO:0070252",0.00214900669797897,0.999522912883109,8,63,"actin-mediated cell contraction","BP",1
"GO:0051240",0.00244316129381934,0.998657361607617,42,894,"positive regulation of multicellular organismal process","BP",1
"GO:1902869",0.00263230115982551,0.999962545567885,2,4,"regulation of amacrine cell differentiation","BP",1
"GO:2000010",0.00319064501057156,0.999823156240948,3,10,"positive regulation of protein localization to cell surface","BP",1
"GO:0007267",0.00340485541169203,0.998116972569807,40,748,"cell-cell signaling","BP",1
"GO:0019229",0.00343827727994226,0.999262822328278,7,64,"regulation of vasoconstriction","BP",1
"GO:0015378",0.00352603695302164,0.999792102217223,3,11,"sodium:chloride symporter activity","MF",1
"GO:0000768",0.00354008852992252,0.999483003471624,5,34,"syncytium formation by plasma membrane fusion","BP",1
"GO:0140253",0.00354008852992252,0.999483003471624,5,34,"cell-cell fusion","BP",1
"GO:0098739",0.0036110187554798,0.998937772754277,10,120,"import across plasma membrane","BP",1
"GO:0006949",0.00372859591096267,0.99944731461266,5,35,"syncytium formation","BP",1
"GO:0060047",0.00426302396853026,0.998629805100166,11,133,"heart contraction","BP",1
"GO:0045630",0.00437313559070365,0.99991915516675,2,4,"positive regulation of T-helper 2 cell differentiation","BP",1
"GO:0002274",0.00438614119425687,0.998882103291517,8,93,"myeloid leukocyte activation","BP",1
"GO:0035881",0.00440837809252477,0.999887017507595,2,8,"amacrine cell differentiation","BP",1
"GO:0086065",0.00455831662728669,0.999302083814787,5,30,"cell communication involved in cardiac conduction","BP",1
"GO:0042421",0.00464008593266279,0.999897487072147,2,5,"norepinephrine biosynthetic process","BP",1
"GO:0001516",0.00465394183663862,0.999676914260413,3,15,"prostaglandin biosynthetic process","BP",1
"GO:0046457",0.00465394183663862,0.999676914260413,3,15,"prostanoid biosynthetic process","BP",1
"GO:1903115",0.00524788167352352,0.999160934254129,5,33,"regulation of actin filament-based movement","BP",1
"GO:0000805",0.00530507434863445,0.999922948279261,2,3,"X chromosome","CC",1
"GO:0005369",0.00533820711963285,0.999922214421493,2,3,"taurine:sodium symporter activity","MF",1
"GO:0021631",0.00535928604123759,0.999921746284603,2,3,"optic nerve morphogenesis","BP",1
"GO:0015373",0.00542465686793159,0.999618622579739,3,12,"monoatomic anion:sodium symporter activity","MF",1
"GO:0002510",0.00542687120849644,1,1,1,"central B cell tolerance induction","BP",1
"GO:0002514",0.00542687120849644,1,1,1,"B cell tolerance induction","BP",1
"GO:0002646",0.00542687120849644,1,1,1,"regulation of central tolerance induction","BP",1
"GO:0002648",0.00542687120849644,1,1,1,"positive regulation of central tolerance induction","BP",1
"GO:0002661",0.00542687120849644,1,1,1,"regulation of B cell tolerance induction","BP",1
"GO:0002663",0.00542687120849644,1,1,1,"positive regulation of B cell tolerance induction","BP",1
"GO:0002895",0.00542687120849644,1,1,1,"regulation of central B cell tolerance induction","BP",1
"GO:0002897",0.00542687120849644,1,1,1,"positive regulation of central B cell tolerance induction","BP",1
"GO:0072016",0.00542687120849644,1,1,1,"glomerular parietal epithelial cell development","BP",1
"GO:0120162",0.0054307847219751,0.998907927993038,6,53,"positive regulation of cold-induced thermogenesis","BP",1
