gene_name	chr	intron_has_enhancer	gene_mch_sig
0610009B22Rik	chr11	FALSE	FALSE
0610010F05Rik	chr11	FALSE	FALSE
0610010K14Rik	chr11	FALSE	FALSE
0610040J01Rik	chr5	FALSE	TRUE
1110002E22Rik	chr3	FALSE	TRUE
1110004F10Rik	chr7	FALSE	FALSE
1110008P14Rik	chr2	FALSE	FALSE
1110012L19Rik	chrX	FALSE	FALSE
1110017D15Rik	chr4	FALSE	FALSE
1110032A03Rik	chr9	FALSE	FALSE
1110038F14Rik	chr15	FALSE	FALSE
1110051M20Rik	chr2	TRUE	TRUE
1110059E24Rik	chr19	TRUE	TRUE
1110059G10Rik	chr9	FALSE	FALSE
1110065P20Rik	chr4	FALSE	FALSE
1190005I06Rik	chr8	FALSE	TRUE
1190007I07Rik	chr10	FALSE	FALSE
1300017J02Rik	chr9	FALSE	TRUE
1500009C09Rik	chr15	FALSE	FALSE
1500009L16Rik	chr10	TRUE	FALSE
1500011B03Rik	chr5	FALSE	FALSE
1520401A03Rik	chr17	FALSE	FALSE
1600012H06Rik	chr17	FALSE	FALSE
1600014C10Rik	chr7	TRUE	FALSE
1600014C23Rik	chr17	FALSE	FALSE
1700001C19Rik	chr17	FALSE	FALSE
1700001F09Rik	chr14	FALSE	FALSE
1700001J03Rik	chr5	FALSE	FALSE
1700001K19Rik	chr12	FALSE	FALSE
1700001L19Rik	chr13	FALSE	FALSE
1700001O22Rik	chr2	FALSE	FALSE
1700001P01Rik	chr11	FALSE	FALSE
1700003E16Rik	chr6	FALSE	FALSE
1700003F12Rik	chr2	FALSE	FALSE
1700003H04Rik	chr3	FALSE	FALSE
1700006A11Rik	chr3	FALSE	TRUE
1700007K13Rik	chr2	TRUE	FALSE
1700008O03Rik	chr7	FALSE	FALSE
1700008P02Rik	chr3	FALSE	FALSE
1700009N14Rik	chr4	FALSE	FALSE
1700010B08Rik	chr2	FALSE	FALSE
1700010I14Rik	chr17	FALSE	TRUE
1700011L22Rik	chr8	TRUE	TRUE
1700012A03Rik	chr6	FALSE	FALSE
1700012B07Rik	chr11	FALSE	TRUE
1700012B09Rik	chr9	FALSE	TRUE
1700012P22Rik	chr4	FALSE	FALSE
1700013F07Rik	chr3	FALSE	FALSE
1700013G24Rik	chr4	FALSE	FALSE
1700013H16Rik	chrX	FALSE	FALSE
1700014D04Rik	chr13	FALSE	FALSE
1700015F17Rik	chr5	FALSE	FALSE
1700015G11Rik	chr7	FALSE	FALSE
1700016C15Rik	chr1	FALSE	TRUE
1700016D06Rik	chr8	TRUE	FALSE
1700016H13Rik	chr5	FALSE	FALSE
1700016K19Rik	chr11	FALSE	FALSE
1700017B05Rik	chr9	FALSE	FALSE
1700017N19Rik	chr10	TRUE	TRUE
1700018B08Rik	chr8	FALSE	FALSE
1700018F24Rik	chr5	FALSE	FALSE
1700019A02Rik	chr1	FALSE	FALSE
1700019D03Rik	chr1	TRUE	TRUE
1700019N19Rik	chr19	FALSE	FALSE
1700020A23Rik	chr2	FALSE	FALSE
1700020L24Rik	chr11	FALSE	FALSE
1700020N01Rik	chr10	FALSE	TRUE
1700021F07Rik	chr2	FALSE	FALSE
1700022I11Rik	chr4	FALSE	FALSE
1700024B05Rik	chr14	FALSE	TRUE
1700024G13Rik	chr14	FALSE	FALSE
1700025B11Rik	chr15	FALSE	FALSE
1700025C18Rik	chr2	FALSE	FALSE
1700025G04Rik	chr1	TRUE	FALSE
1700028J19Rik	chr7	FALSE	FALSE
1700028K03Rik	chr5	FALSE	FALSE
1700028P14Rik	chr19	TRUE	TRUE
1700029F12Rik	chr13	FALSE	FALSE
1700029H14Rik	chr8	FALSE	FALSE
1700029I15Rik	chr2	FALSE	FALSE
1700029J07Rik	chr8	FALSE	FALSE
1700030J22Rik	chr8	FALSE	FALSE
1700030K09Rik	chr8	FALSE	FALSE
1700031F05Rik	chrX	FALSE	FALSE
1700031L13Rik	chr5	FALSE	FALSE
1700034E13Rik	chr18	FALSE	FALSE
1700034J05Rik	chr6	FALSE	FALSE
1700037C18Rik	chr16	FALSE	FALSE
1700037H04Rik	chr2	FALSE	FALSE
1700042G07Rik	chr4	FALSE	FALSE
1700057G04Rik	chr9	FALSE	FALSE
1700064H15Rik	chr3	FALSE	FALSE
1700066B19Rik	chr18	FALSE	TRUE
1700066M21Rik	chr1	FALSE	FALSE
1700067K01Rik	chr8	FALSE	FALSE
1700067P10Rik	chr17	FALSE	FALSE
1700069L16Rik	chr5	FALSE	TRUE
1700074P13Rik	chr6	FALSE	FALSE
1700080O16Rik	chrX	FALSE	FALSE
1700086D15Rik	chr11	FALSE	FALSE
1700088E04Rik	chr15	FALSE	FALSE
1700093K21Rik	chr11	FALSE	FALSE
1700094D03Rik	chr3	FALSE	FALSE
1700102P08Rik	chr9	FALSE	TRUE
1700109H08Rik	chr5	FALSE	FALSE
1700113H08Rik	chr10	FALSE	FALSE
1700122O11Rik	chr17	FALSE	FALSE
1700123K08Rik	chr5	FALSE	FALSE
1700123O20Rik	chr14	FALSE	FALSE
1700125H20Rik	chr11	FALSE	FALSE
1700129C05Rik	chr14	FALSE	FALSE
1810009A15Rik	chr19	FALSE	FALSE
1810009J06Rik	chr6	FALSE	FALSE
1810010H24Rik	chr11	FALSE	FALSE
1810013L24Rik	chr16	TRUE	TRUE
1810020O05Rik	chr6	FALSE	FALSE
1810024B03Rik	chr2	FALSE	TRUE
1810030O07Rik	chrX	FALSE	FALSE
1810037I17Rik	chr3	FALSE	FALSE
1810046K07Rik	chr9	FALSE	TRUE
1810055G02Rik	chr19	FALSE	FALSE
1810058I24Rik	chr6	TRUE	FALSE
1810062G17Rik	chr3	TRUE	FALSE
1810065E05Rik	chr11	FALSE	FALSE
2010003K11Rik	chr19	FALSE	FALSE
2010106E10Rik	chrX	FALSE	FALSE
2010109A12Rik	chr5	FALSE	TRUE
2010300C02Rik	chr1	TRUE	TRUE
2010315B03Rik	chr9	FALSE	FALSE
2200002D01Rik	chr7	FALSE	FALSE
2200002J24Rik	chr7	FALSE	FALSE
2210010C04Rik	chr6	FALSE	FALSE
2210016F16Rik	chr13	FALSE	FALSE
2210016L21Rik	chr5	FALSE	FALSE
2210017I01Rik	chr3	FALSE	FALSE
2210407C18Rik	chr11	FALSE	FALSE
2210408I21Rik	chr13	TRUE	TRUE
2300009A05Rik	chr9	FALSE	FALSE
2310002L09Rik	chr4	FALSE	FALSE
2310003L06Rik	chr5	FALSE	FALSE
2310009B15Rik	chr1	FALSE	FALSE
2310011J03Rik	chr10	FALSE	FALSE
2310022A10Rik	chr7	FALSE	FALSE
2310022B05Rik	chr8	FALSE	FALSE
2310030G06Rik	chr9	FALSE	FALSE
2310033P09Rik	chr11	FALSE	FALSE
2310034G01Rik	chr19	FALSE	FALSE
2310046K23Rik	chr3	FALSE	FALSE
2310050C09Rik	chr3	FALSE	FALSE
2310057J18Rik	chr10	FALSE	FALSE
2310057M21Rik	chr7	FALSE	FALSE
2310061I04Rik	chr17	FALSE	FALSE
2410002F23Rik	chr7	FALSE	FALSE
2410004B18Rik	chr3	FALSE	FALSE
2410004P03Rik	chr12	FALSE	FALSE
2410131K14Rik	chr5	FALSE	TRUE
2410137M14Rik	chr17	FALSE	FALSE
2410141K09Rik	chr13	FALSE	FALSE
2510002D24Rik	chr16	FALSE	FALSE
2510009E07Rik	chr16	TRUE	FALSE
2510039O18Rik	chr4	FALSE	FALSE
2610002M06Rik	chrX	TRUE	FALSE
2610008E11Rik	chr10	FALSE	FALSE
2610021A01Rik	chr7	FALSE	FALSE
2610028H24Rik	chr10	FALSE	FALSE
2610042L04Rik	chr14	FALSE	FALSE
2610044O15Rik8	chr8	FALSE	FALSE
2610301B20Rik	chr4	FALSE	FALSE
2610318N02Rik	chr16	FALSE	FALSE
2610507B11Rik	chr11	FALSE	FALSE
2610528A11Rik	chr14	FALSE	FALSE
2610528J11Rik	chr4	FALSE	FALSE
2700049A03Rik	chr12	FALSE	TRUE
2700062C07Rik	chr18	FALSE	FALSE
2700081O15Rik	chr19	FALSE	FALSE
2700097O09Rik	chr12	FALSE	FALSE
2810004N23Rik	chr8	FALSE	FALSE
2810006K23Rik	chr5	FALSE	FALSE
2810021J22Rik	chr11	FALSE	FALSE
2810408A11Rik	chr11	FALSE	FALSE
2810459M11Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	TRUE
2900092C05Rik	chr7	FALSE	TRUE
3110001I22Rik	chr16	FALSE	FALSE
