"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","over_represented_padj"
"GO:0050807",2.89122679289709e-05,0.999993538406666,15,251,"regulation of synapse organization","BP",0.286574227665628
"GO:0050803",3.1457105122462e-05,0.999992913491791,15,254,"regulation of synapse structure or activity","BP",0.286574227665628
"GO:1901888",9.56298184667712e-05,0.99997997106286,12,200,"regulation of cell junction assembly","BP",0.580791764154857
"GO:0051963",0.000167670584172574,0.99996841346382,10,141,"regulation of synapse assembly","BP",0.763739510906076
"GO:1901706",0.00109573285751023,0.999993033255254,2,3,"mesenchymal cell differentiation involved in bone development","BP",1
"GO:0048762",0.00117123796220367,0.999792472450077,7,151,"mesenchymal cell differentiation","BP",1
"GO:0098794",0.00146605446119619,0.999444926113387,20,572,"postsynapse","CC",1
"GO:0042117",0.00151445554730456,0.999988639715739,2,3,"monocyte activation","BP",1
"GO:0000171",0.00159254043355092,1,1,1,"ribonuclease MRP activity","MF",1
"GO:0021633",0.00160969801764073,1,1,1,"optic nerve structural organization","BP",1
"GO:0005085",0.00265703702717058,0.999461004650192,7,106,"guanyl-nucleotide exchange factor activity","MF",1
"GO:1990823",0.00296576819052957,0.999686963848356,4,60,"response to leukemia inhibitory factor","BP",1
"GO:0030163",0.00323281357042091,0.999079321408567,10,357,"protein catabolic process","BP",1
"GO:0005655",0.00367168388663093,0.999995562896285,1,3,"nucleolar ribonuclease P complex","CC",1
"GO:0046621",0.00371066915628363,0.999758550539958,3,19,"negative regulation of organ growth","BP",1
"GO:0045202",0.00372905924949405,0.998311584988551,27,999,"synapse","CC",1
"GO:0060485",0.00380219004267498,0.99916570549529,7,183,"mesenchyme development","BP",1
"GO:0098978",0.0039204700545096,0.998437482124209,18,511,"glutamatergic synapse","CC",1
"GO:0014033",0.00396850628249167,0.999547311456971,4,55,"neural crest cell differentiation","BP",1
"GO:0044087",0.00437591936419785,0.99836665349944,15,521,"regulation of cellular component biogenesis","BP",1
"GO:0004526",0.00463795246680447,0.999992032776903,1,4,"ribonuclease P activity","MF",1
"GO:0030677",0.00463795246680447,0.999992032776903,1,4,"ribonuclease P complex","CC",1
"GO:0030681",0.00463795246680447,0.999992032776903,1,4,"multimeric ribonuclease P complex","CC",1
"GO:0033204",0.00463795246680447,0.999992032776903,1,4,"ribonuclease P RNA binding","MF",1
"GO:0007416",0.00464777774389682,0.998617736256451,10,200,"synapse assembly","BP",1
"GO:0009057",0.00497241651769534,0.998398758573714,11,458,"macromolecule catabolic process","BP",1
"GO:0043455",0.0052433840118147,0.999854969457352,2,8,"regulation of secondary metabolic process","BP",1
"GO:0048021",0.0052433840118147,0.999854969457352,2,8,"regulation of melanin biosynthetic process","BP",1
"GO:1900376",0.0052433840118147,0.999854969457352,2,8,"regulation of secondary metabolite biosynthetic process","BP",1
"GO:0042438",0.00559467956757669,0.999831899807517,2,10,"melanin biosynthetic process","BP",1
"GO:0000172",0.00560933579237765,0.999987565061814,1,5,"ribonuclease MRP complex","CC",1
"GO:0001682",0.00560933579237765,0.999987565061814,1,5,"tRNA 5'-leader removal","BP",1
"GO:0005732",0.00560933579237765,0.999987565061814,1,5,"sno(s)RNA-containing ribonucleoprotein complex","CC",1
"GO:0099116",0.00560933579237765,0.999987565061814,1,5,"tRNA 5'-end processing","BP",1
"GO:0044550",0.0058284479550195,0.999818063631407,2,11,"secondary metabolite biosynthetic process","BP",1
"GO:0034330",0.00603321475174961,0.997483968284647,18,558,"cell junction organization","BP",1
"GO:0030695",0.00615150376144569,0.998088475284018,10,232,"GTPase regulator activity","MF",1
"GO:0060589",0.00615150376144569,0.998088475284018,10,232,"nucleoside-triphosphatase regulator activity","MF",1
"GO:0032525",0.00633817575403972,0.999984118984873,1,5,"somite rostral/caudal axis specification","BP",1
"GO:0030054",0.00635023854979081,0.99691031229852,31,1301,"cell junction","CC",1
"GO:0021954",0.00665739298376602,0.998847550277565,5,68,"central nervous system neuron development","BP",1
"GO:0046875",0.00695493086622017,0.99942060782161,3,23,"ephrin receptor binding","MF",1
"GO:0005788",0.00720580615208734,0.999360335535959,3,52,"endoplasmic reticulum lumen","CC",1
"GO:0046148",0.00750656351548606,0.999719114806588,2,16,"pigment biosynthetic process","BP",1
"GO:0004549",0.00758710813537974,0.999976285450385,1,6,"tRNA-specific ribonuclease activity","MF",1
"GO:0048852",0.00769615414577797,0.99997657186821,1,5,"diencephalon morphogenesis","BP",1
"GO:0051128",0.00771417828307873,0.99630817647652,26,1219,"regulation of cellular component organization","BP",1
"GO:0016667",0.00806011282261026,0.99967921638209,2,21,"oxidoreductase activity, acting on a sulfur group of donors","MF",1
"GO:0006582",0.00817117822117734,0.999696123851413,2,11,"melanin metabolic process","BP",1
"GO:0045176",0.00842845673323224,0.999701770465773,2,8,"apical protein localization","BP",1
"GO:0061050",0.00849153731404995,0.99966961502305,2,13,"regulation of cell growth involved in cardiac muscle cell development","BP",1
"GO:0050808",0.00870762174078718,0.996488354670196,15,414,"synapse organization","BP",1
"GO:0098942",0.00967415150638457,0.999732734677234,2,4,"retrograde trans-synaptic signaling by trans-synaptic protein complex","BP",1
"GO:0021536",0.00985264076902657,0.999019814783013,3,52,"diencephalon development","BP",1
"GO:0044085",0.0101447795306408,0.995065324454351,25,1203,"cellular component biogenesis","BP",1
"GO:0002065",0.0102471138139551,0.998444972601709,4,83,"columnar/cuboidal epithelial cell differentiation","BP",1
