"SYMBOL","n_mecp2_peaks","n_mecp2_sig_peaks","mecp2_has_sig","mecp2_Fold","mecp2_min_FDR","n_h2a_peaks","n_h2a_sig_peaks","h2a_has_sig","h2a_Fold","h2a_min_FDR","sig","quadrant","go_eligible","has_physical_overlap","n_total_peaks","gene_length","mch_gene_id","mch_chr","mch_start","mch_end","mch_strand","mch_gene_type","mch_gene_length","mch_ctrl","mch_mut","mch_diff","ctrl_M1_mch","ctrl_M2_mch","ctrl_F1_mch","ctrl_F2_mch","mut_M1_mch","mut_M2_mch","mut_F1_mch","mut_F2_mch","n_ch_sites_mean","total_coverage_mean","edger_logFC","edger_logCPM","edger_F","edger_pval","edger_fdr","p_bonferroni","sig_bonferroni","sig_fdr005","sig_fdr010","gencode_chr","gencode_start","gencode_end","mch_sig","mch_sig_vs_mecp2","mch_sig_vs_h2a","mch_direction","quadrant_mecp2","quadrant_h2a"
"1110002E22Rik",2,1,TRUE,1.849607307,4.72e-10,6,6,TRUE,0.498081745,1.04e-34,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,8,16455,"ENSMUSG00000090066.2","chr3",138065051,138081506,"+","protein_coding",16455,0.0340281074358748,0.0419235724139783,0.00789546497810353,0.0355425443092825,0.0339622318771168,0.0318079312225741,0.0347997223345259,0.0393235890103786,0.0443819488544155,0.0433778677300308,0.0406108840610884,7188,153194.125,0.275236472864458,4.96656393242051,10.9411348219799,0.00274512170204352,0.0150699538246193,1,FALSE,TRUE,TRUE,"chr3",138065051,138081505,TRUE,"Significant","Significant","mCH up","Q1 (up / up)","Q1 (up / up)"
"1110032F04Rik",1,0,FALSE,-0.200654244,0.368911059,1,0,FALSE,0.094485154,0.322348997,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,2578,"ENSMUSG00000046999.2","chr3",68869585,68872163,"+","protein_coding",2578,0.0340372453756347,0.0338878494188445,-0.00014939595679014,0.0355371339267514,0.0393520036728537,0.0320524606238892,0.0292073832790445,0.0296337713167459,0.0369510888968226,0.0315379472720402,0.0374285901897695,1083.875,21682.125,-0.103124864548497,1.97405219023042,0.193191769831906,0.663890357022865,0.784506602820814,1,FALSE,FALSE,FALSE,"chr3",68869585,68872162,FALSE,"Not significant","Not significant","mCH not sig","Q3 (down / down)","Q4 (up / down)"
"1500009L16Rik",2,0,FALSE,0.0554991795,0.450312591,2,0,FALSE,0.135616796,0.242696141,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,4,39898,"ENSMUSG00000087651.3","chr10",83722864,83762762,"+","protein_coding",39898,0.030267005507478,0.0318650990926413,0.00159809358516335,0.0336000298749918,0.0285473735066448,0.0284017731985171,0.030518845449758,0.0285635052689961,0.0347170287083122,0.029839576435625,0.0343402859576319,17039.625,355526.5,-0.0256972753108609,5.88664850937301,0.187735266182325,0.668367350816232,0.787872045603735,1,FALSE,FALSE,FALSE,"chr10",83722864,83762761,FALSE,"Not significant","Not significant","mCH not sig","Q4 (up / down)","Q4 (up / down)"
"1600014C10Rik",1,0,FALSE,0.038819184,0.886270827,1,1,TRUE,0.631493529,5.09e-05,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,2,14352,"ENSMUSG00000054676.15","chr7",38183216,38197568,"+","protein_coding",14352,0.0159027080715017,0.0169360337751998,0.00103332570369812,0.0231784677812877,0.0123541116027678,0.0105636202548899,0.0175146326470614,0.0128961851230359,0.0184347701901792,0.0137373539426304,0.0226758258449538,6636.625,129664,-0.197914076540245,3.4981314435882,1.58381911194893,0.219350333687538,0.376965948990387,1,FALSE,FALSE,FALSE,"chr7",38183216,38197567,FALSE,"Not significant","Not significant","mCH not sig","Q4 (up / down)","Q4 (up / down)"
"1700003F12Rik",1,0,FALSE,0.052794805,0.835675728,1,0,FALSE,0.133189468,0.307004406,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,2,2919,"ENSMUSG00000038523.10","chr2",154547084,154550003,"+","protein_coding",2919,0.0522340542938218,0.0588657866579394,0.00663173236411763,0.0612128797360337,0.0500381776533469,0.0555873627231562,0.0420977970627503,0.0489603865962994,0.0671408516612073,0.0555899290847651,0.0637719792894858,1414,26385.625,0.040428795128617,2.96253242683353,0.0598503679532773,0.808645282327695,0.885802309275467,1,FALSE,FALSE,FALSE,"chr2",154547084,154550002,FALSE,"Not significant","Not significant","mCH not sig","Q1 (up / up)","Q1 (up / up)"
"1700010I14Rik",3,0,FALSE,-0.057209624,0.62600857,2,0,FALSE,-0.1315312925,0.309401418,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,5,23617,"ENSMUSG00000023873.13","chr17",8988332,9011949,"+","protein_coding",23617,0.0217562784720522,0.0202449462590268,-0.00151133221302549,0.0262512449273854,0.0211580300003817,0.018857093154736,0.0207587458057058,0.0172434631964868,0.0227030219412089,0.0176401339664597,0.0233931659319516,10221.375,208890.75,-0.271180602068704,4.55655321691552,8.45019719148916,0.00735103436895346,0.0323160600295501,1,FALSE,TRUE,TRUE,"chr17",8988332,9011948,TRUE,"Not significant","Not significant","mCH down","Q3 (down / down)","Q3 (down / down)"
"1700011L22Rik",2,1,TRUE,2.206170113,1.53e-17,1,1,TRUE,1.071475122,7.14e-30,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,3,38140,"ENSMUSG00000031682.5","chr8",79210430,79248570,"-","protein_coding",38140,0.0260962877535375,0.0379361897180228,0.0118399019644853,0.0305226755679113,0.0242016941550557,0.0251048124126563,0.0245559688785267,0.0330619606637706,0.0404333555961278,0.0358884536402699,0.0423609889719227,15589.875,349728.625,0.421206899088932,5.90165483225611,47.0516821792526,2.72611657426475e-07,8.50591305139449e-06,0.00575128813672635,TRUE,TRUE,TRUE,"chr8",79210430,79248569,TRUE,"Significant","Significant","mCH up","Q1 (up / up)","Q1 (up / up)"
"1700012A03Rik",4,0,FALSE,0.0108185835,0.22562499,13,7,TRUE,0.425599228,5.26e-09,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,17,8676,"ENSMUSG00000029766.7","chr6",32050245,32058921,"+","protein_coding",8676,0.0217164791492735,0.0228356519900419,0.00111917284076848,0.0260634884686521,0.020471484941486,0.0201592944246951,0.0201716487622606,0.0175654418585891,0.0239443596540552,0.0248574147993478,0.0249753916481756,3816,80239.375,-0.0570735507819067,3.26287507148717,0.147955340513382,0.703612739071259,0.814492068926549,1,FALSE,FALSE,FALSE,"chr6",32050245,32058920,FALSE,"Not significant","Not significant","mCH not sig","Q4 (up / down)","Q4 (up / down)"
"1700017B05Rik",3,0,FALSE,0.030151405,0.674032606,3,0,FALSE,-0.099557783,0.41762513,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,TRUE,6,9496,"ENSMUSG00000032300.7","chr9",57253116,57262612,"-","protein_coding",9496,0.023643318883101,0.0229797167572059,-0.00066360212589516,0.0259164535379369,0.0251781626921641,0.0192737472064316,0.0242049120958715,0.0179399560654137,0.0263112362013081,0.0216116512316028,0.0260560235304988,4772.375,85057.375,-0.20962546047344,3.40555670362984,2.20533598505773,0.149509978308459,0.287977292280011,1,FALSE,FALSE,FALSE,"chr9",57253116,57262611,FALSE,"Not significant","Not significant","mCH not sig","Q4 (up / down)","Q3 (down / down)"
"1700017N19Rik",1,1,TRUE,1.620847188,5.26e-11,2,2,TRUE,1.4544248955,1.69e-22,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,3,27918,"ENSMUSG00000056912.12","chr10",100590483,100618401,"+","protein_coding",27918,0.0154210948519902,0.0252483137526869,0.00982721890069667,0.0168553705320847,0.0145262887260573,0.0142128241544369,0.0160898959953819,0.0226428316431093,0.0278195099207377,0.0235731721492503,0.0269577412976503,10387.25,231386.875,0.612567615582011,4.65795892156607,46.4922940515742,3.01920590107065e-07,9.23008735088504e-06,0.00636961868948874,TRUE,TRUE,TRUE,"chr10",100590483,100618400,TRUE,"Significant","Significant","mCH up","Q1 (up / up)","Q1 (up / up)"
"1700018B08Rik",11,1,TRUE,-1.095220768,0.001409849,21,10,TRUE,-0.5071642955,1.77e-05,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,32,13541,"ENSMUSG00000031809.10","chr8",121530779,121544320,"-","protein_coding",13541,0.0165569185074916,0.0151726275111984,-0.00138429099629323,0.0199686163502661,0.0143013387603661,0.0154651470978002,0.016492571821534,0.0113066894940524,0.0131221044729305,0.0163471927648165,0.019914523312994,5549.625,96900.5,-0.305631094599236,3.03773740964075,3.50391246159289,0.0724686905290906,0.172054013514767,1,FALSE,FALSE,FALSE,"chr8",121530779,121544319,FALSE,"Not significant","Not significant","mCH not sig","Q3 (down / down)","Q3 (down / down)"
"1700019A02Rik",1,1,TRUE,1.17973055,0.00041711,1,1,TRUE,1.632337825,6.36e-24,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,2,29060,"ENSMUSG00000060715.9","chr1",53158576,53187636,"-","protein_coding",29060,0.015862014431058,0.0168295994102344,0.0009675849791764,0.0163483651634837,0.0157225192780013,0.0152847819175794,0.0160923913651675,0.0122126945881464,0.0206794187889204,0.0149777695442757,0.019448514719595,10400,195232.625,-0.131834260193663,4.08911810764283,1.35249414321231,0.255363140382329,0.417465801832313,1,FALSE,FALSE,FALSE,"chr1",53158576,53187635,FALSE,"Not significant","Not significant","mCH not sig","Q4 (up / down)","Q4 (up / down)"
"1700019D03Rik",1,1,TRUE,1.36255742,1.48e-05,2,2,TRUE,0.9741822435,8.06e-25,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,3,97856,"ENSMUSG00000043629.12","chr1",52922323,53020179,"-","protein_coding",97856,0.0209995694619139,0.0297719355754635,0.00877236611354963,0.0227921846512997,0.0209312056776466,0.0198957485570596,0.0203791389616495,0.0254054612444475,0.0315455426966717,0.0280394467686734,0.0340972915920614,34465,680304,0.382254878699619,6.53146834025836,65.9186255090687,1.2994738468864e-08,6.42037464818792e-07,0.00027414999747762,TRUE,TRUE,TRUE,"chr1",52922323,53020178,TRUE,"Significant","Significant","mCH up","Q1 (up / up)","Q1 (up / up)"
"1700020L24Rik",2,0,FALSE,-0.095809974,0.522085048,2,0,FALSE,-0.024433971,0.499574471,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,4,3557,"ENSMUSG00000035085.5","chr11",83437676,83441233,"+","protein_coding",3557,0.0240007793354441,0.0253669540417296,0.0013661747062855,0.0308182784272051,0.0259172521467603,0.0231141289182402,0.0161534578495709,0.0214067278287462,0.0291557038653233,0.0217517328292376,0.0291536516436115,1622.75,25022.5,-0.0855587856814673,1.73557071394948,0.108268548277666,0.744749237108818,0.843369546714157,1,FALSE,FALSE,FALSE,"chr11",83437676,83441232,FALSE,"Not significant","Not significant","mCH not sig","Q3 (down / down)","Q3 (down / down)"
