"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","over_represented_padj"
"GO:0021538",0.000423679140728024,1,3,3,"epithalamus development","BP",1
"GO:0021986",0.000423679140728024,1,3,3,"habenula development","BP",1
"GO:0046131",0.00293209547347013,1,3,3,"pyrimidine ribonucleoside metabolic process","BP",1
"GO:0046133",0.00293209547347013,1,3,3,"pyrimidine ribonucleoside catabolic process","BP",1
"GO:0001705",0.00407606991509606,0.999834219224051,3,5,"ectoderm formation","BP",1
"GO:0099528",0.00438074778789792,0.999602564401681,6,8,"G protein-coupled neurotransmitter receptor activity","MF",1
"GO:1904606",0.00542257793741291,1,2,2,"fat cell apoptotic process","BP",1
"GO:0004693",0.00608190341070705,0.99902739032843,6,13,"cyclin-dependent protein serine/threonine kinase activity","MF",1
"GO:0097472",0.00608190341070705,0.99902739032843,6,13,"cyclin-dependent protein kinase activity","MF",1
"GO:1990264",0.00759904264605917,0.999315784945757,5,7,"peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity","BP",1
"GO:0046135",0.00810211564449461,0.999591804127636,4,5,"pyrimidine nucleoside catabolic process","BP",1
"GO:0007398",0.0102977008992147,0.998688428836919,4,12,"ectoderm development","BP",1
"GO:0004623",0.0113340566337315,0.99867350085952,4,9,"phospholipase A2 activity","MF",1
"GO:0047498",0.0113340566337315,0.99867350085952,4,9,"calcium-dependent phospholipase A2 activity","MF",1
"GO:0047499",0.0113340566337315,0.99867350085952,4,9,"calcium-independent phospholipase A2 activity","MF",1
"GO:0061303",0.0114956190497127,0.9991873634002,3,6,"cornea development in camera-type eye","BP",1
"GO:0034239",0.0128031471639193,1,2,2,"regulation of macrophage fusion","BP",1
"GO:0008038",0.0136245304799063,0.994428415772338,16,43,"neuron recognition","BP",1
"GO:0006213",0.0137981560399136,0.998784966516428,4,6,"pyrimidine nucleoside metabolic process","BP",1
"GO:0051965",0.0155515841454123,0.992649137147167,21,59,"positive regulation of synapse assembly","BP",1
"GO:1900745",0.0159057299629739,0.996406679765271,6,19,"positive regulation of p38MAPK cascade","BP",1
"GO:0015840",0.016536699447973,0.999207724487655,3,4,"urea transport","BP",1
"GO:0071918",0.016536699447973,0.999207724487655,3,4,"urea transmembrane transport","BP",1
"GO:0004031",0.0180307905615498,1,2,2,"aldehyde oxidase activity","MF",1
"GO:0016623",0.0180307905615498,1,2,2,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor","MF",1
"GO:0005840",0.0180611779832754,0.99417888772866,9,31,"ribosome","CC",1
"GO:0001712",0.0183062180856366,0.999483204342509,2,3,"ectodermal cell fate commitment","BP",1
"GO:0044194",0.0184569361620038,0.999476620884094,2,3,"cytolytic granule","CC",1
"GO:0038173",0.0193486450083412,0.99943705634794,2,3,"interleukin-17A-mediated signaling pathway","BP",1
"GO:0051541",0.0198750858364755,0.999413210347913,2,3,"elastin metabolic process","BP",1
"GO:0060600",0.0199237241661504,0.997401625614446,4,8,"dichotomous subdivision of an epithelial terminal unit","BP",1
"GO:0006704",0.0207246127824646,0.996823014361596,4,11,"glucocorticoid biosynthetic process","BP",1
"GO:0060795",0.021392532652816,0.995544401312144,5,17,"cell fate commitment involved in formation of primary germ layer","BP",1
"GO:0090251",0.021608204316988,1,2,2,"protein localization involved in establishment of planar polarity","BP",1
"GO:0051414",0.0216166678413297,0.998845752840383,3,4,"response to cortisol","BP",1
"GO:0150047",0.021631961561631,1,3,3,"G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential","MF",1
"GO:0019755",0.0216725186577108,0.99674790015671,4,10,"one-carbon compound transport","BP",1
"GO:0060666",0.0229918493044537,0.998740892505295,3,4,"dichotomous subdivision of terminal units involved in salivary gland branching","BP",1
"GO:0005167",0.0231686230730429,0.99816987509052,3,5,"neurotrophin TRK receptor binding","MF",1
"GO:0004850",0.0241610252330289,1,2,2,"uridine phosphorylase activity","MF",1
"GO:0006218",0.0241610252330289,1,2,2,"uridine catabolic process","BP",1
"GO:0016154",0.0241610252330289,1,2,2,"pyrimidine-nucleoside phosphorylase activity","MF",1
"GO:0046108",0.0241610252330289,1,2,2,"uridine metabolic process","BP",1
"GO:0047847",0.0241610252330289,1,2,2,"deoxyuridine phosphorylase activity","MF",1
"GO:0009130",0.0248687997960055,0.997627341364911,3,6,"pyrimidine nucleoside monophosphate biosynthetic process","BP",1
"GO:0035014",0.0253299138432224,0.996006249666471,4,10,"phosphatidylinositol 3-kinase regulator activity","MF",1
"GO:0070237",0.0260603169435505,1,2,2,"positive regulation of activation-induced cell death of T cells","BP",1
"GO:0031018",0.0262896366822196,0.992291272295439,7,25,"endocrine pancreas development","BP",1
"GO:0008211",0.0263357672753459,0.995525619195079,4,12,"glucocorticoid metabolic process","BP",1
"GO:0098742",0.026380102951284,0.983477142319068,41,138,"cell-cell adhesion via plasma-membrane adhesion molecules","BP",1
