"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","over_represented_padj"
"GO:0050807",1.17464476812791e-05,0.999997249656961,17,251,"regulation of synapse organization","BP",0.118844550732314
"GO:0050803",1.30090909892522e-05,0.999996927712969,17,254,"regulation of synapse structure or activity","BP",0.118844550732314
"GO:1901888",2.64966453686966e-05,0.999994324877689,14,200,"regulation of cell junction assembly","BP",0.161373402510485
"GO:0051963",0.000132020361225713,0.999973144613741,11,141,"regulation of synapse assembly","BP",0.603036004988748
"GO:0035282",0.000345190559806818,0.999969629782629,5,55,"segmentation","BP",1
"GO:0048762",0.00114582635296019,0.99976612030184,8,152,"mesenchymal cell differentiation","BP",1
"GO:0010464",0.00124974885461113,0.999899016893175,4,32,"regulation of mesenchymal cell proliferation","BP",1
"GO:0021978",0.0012871220202806,0.999981347113437,2,11,"telencephalon regionalization","BP",1
"GO:1901706",0.00137415585427153,0.999990140749233,2,3,"mesenchymal cell differentiation involved in bone development","BP",1
"GO:0014033",0.00141362552345498,0.999829498267568,5,56,"neural crest cell differentiation","BP",1
"GO:0098794",0.0019258743731331,0.999198952174848,22,573,"postsynapse","CC",1
"GO:0010463",0.00204307152447009,0.99980827170053,4,39,"mesenchymal cell proliferation","BP",1
"GO:0042117",0.0020738295831869,0.999981627066249,2,3,"monocyte activation","BP",1
"GO:0044087",0.00210615732661951,0.999188238127633,18,527,"regulation of cellular component biogenesis","BP",1
"GO:0072205",0.00214569552873204,0.999965602297174,2,6,"metanephric collecting duct development","BP",1
"GO:0005788",0.0022041129186799,0.999785085805268,4,53,"endoplasmic reticulum lumen","CC",1
"GO:0060326",0.00222607544371843,0.999554614272875,7,127,"cell chemotaxis","BP",1
"GO:1904395",0.0027153829187517,0.999950895583003,2,6,"positive regulation of skeletal muscle acetylcholine-gated channel clustering","BP",1
"GO:0021536",0.00280023170288927,0.999708542933481,4,52,"diencephalon development","BP",1
"GO:0034330",0.0031793550210836,0.998642454304492,21,559,"cell junction organization","BP",1
"GO:0090497",0.00331512569114173,0.99964305040626,4,41,"mesenchymal cell migration","BP",1
"GO:0045202",0.00332764646283518,0.998383831424139,31,1010,"synapse","CC",1
"GO:0003167",0.00348019559325731,1,1,1,"atrioventricular bundle cell differentiation","BP",1
"GO:0060932",0.00348019559325731,1,1,1,"His-Purkinje system cell differentiation","BP",1
"GO:0035290",0.00360297515762737,0.999930700492884,2,5,"trunk segmentation","BP",1
"GO:0036484",0.00360297515762737,0.999930700492884,2,5,"trunk neural crest cell migration","BP",1
"GO:0035239",0.00382233684981591,0.998517355050103,16,534,"tube morphogenesis","BP",1
"GO:0050921",0.00390659625167124,0.999399372133909,5,66,"positive regulation of chemotaxis","BP",1
"GO:0060425",0.00393274750508011,0.999554510109891,4,43,"lung morphogenesis","BP",1
"GO:0072044",0.0039793284995711,0.999901304577449,2,9,"collecting duct development","BP",1
"GO:0060485",0.004058766147495,0.998979055913368,8,185,"mesenchyme development","BP",1
"GO:1902692",0.00409155533118363,0.999710946540452,3,29,"regulation of neuroblast proliferation","BP",1
"GO:0030323",0.00418862722726424,0.999057260154444,7,146,"respiratory tube development","BP",1
