"SYMBOL","n_mecp2_peaks","n_mecp2_sig_peaks","mecp2_has_sig","mecp2_Fold","mecp2_min_FDR","n_h2a_peaks","n_h2a_sig_peaks","h2a_has_sig","h2a_Fold","h2a_min_FDR","sig","quadrant","go_eligible","has_physical_overlap","n_total_peaks","gene_length","label_strength"
"Ercc8",3,2,TRUE,3.2979570165,1.82e-25,3,3,TRUE,1.586324833,3.51e-44,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,6,36634,4.8842818495
"Gm15421",3,1,TRUE,3.19502973,9.13e-24,3,3,TRUE,1.485626044,9.98e-70,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,6,399,4.680655774
"Fmo9",1,1,TRUE,3.137006941,3.99e-24,1,1,TRUE,1.347669132,1.12e-12,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,2,19791,4.484676073
"Mir201",1,1,TRUE,2.311478741,1.08e-12,1,1,TRUE,2.133950184,9.82e-60,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,2,66,4.445428925
"Gm15663",3,3,TRUE,2.97948418,1.24e-27,4,4,TRUE,1.353306053,6.63e-37,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,7,9922,4.332790233
"Gm16291",8,7,TRUE,2.811887148,6.08e-25,8,8,TRUE,1.5130672605,1.24e-44,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,16,15333,4.3249544085
"Xk",1,1,TRUE,2.175607398,7.44e-09,1,1,TRUE,2.056141169,2.15e-48,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,2,40495,4.231748567
"Pros1",2,2,TRUE,2.692028176,1.21e-13,9,9,TRUE,1.50490688,1.85e-39,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,11,75040,4.196935056
"Mir7655",1,1,TRUE,2.7826404,9.2e-17,1,1,TRUE,1.299054219,5.95e-48,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,2,58,4.081694619
"Gm5820",4,4,TRUE,2.7210187305,2.47e-28,2,2,TRUE,1.354826709,3.76e-30,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,6,78819,4.0758454395
"A330023F24Rik",5,3,TRUE,-1.407351601,3.53e-07,4,3,TRUE,-0.996281134,1.26e-22,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,FALSE,9,61530,2.403632735
"Papola",1,1,TRUE,-1.417392485,0.000334452,2,1,TRUE,-0.709537381,3.63e-05,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,3,54251,2.126929866
"Brpf3",9,4,TRUE,-1.2265081965,1.29e-05,3,3,TRUE,-0.718655198,2.05e-16,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,12,38860,1.9451633945
"Hmgb4os",12,7,TRUE,-1.123225158,0.000104054,9,8,TRUE,-0.735720456,9.01e-10,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,21,1947,1.858945614
"Slc6a12",8,1,TRUE,-1.057512672,1.6e-05,10,10,TRUE,-0.7684543725,6.69e-16,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,18,22700,1.8259670445
"Mms22l",3,1,TRUE,-1.162496468,0.000548243,3,1,TRUE,1.332407503,1.31e-22,"Significant","Q2 (MeCP2 down / H2A up)",TRUE,FALSE,6,106500,2.494903971
"Csrnp3",7,4,TRUE,-1.8191534345,7.28e-08,9,5,TRUE,0.278600096,8.99e-11,"Significant","Q2 (MeCP2 down / H2A up)",TRUE,TRUE,16,185780,2.0977535305
"Gmpr",7,2,TRUE,-1.5339399485,1.12e-07,7,4,TRUE,0.4064583005,4.21e-05,"Significant","Q2 (MeCP2 down / H2A up)",TRUE,TRUE,14,38939,1.940398249
"Mir99ahg",6,1,TRUE,-1.357671257,0.000254824,10,8,TRUE,0.5735312305,6.29e-47,"Significant","Q2 (MeCP2 down / H2A up)",TRUE,TRUE,16,455087,1.9312024875
"Fam120b",3,1,TRUE,-0.788503646,0.003875134,2,1,TRUE,1.100564919,1.08e-15,"Significant","Q2 (MeCP2 down / H2A up)",TRUE,TRUE,5,37382,1.889068565
"Caln1",5,3,TRUE,1.845941883,5.39e-12,1,1,TRUE,-0.49776331,0.000102905,"Significant","Q4 (MeCP2 up / H2A down)",TRUE,FALSE,6,477958,2.343705193
"Slc29a4",3,1,TRUE,1.755573063,1.91e-13,2,1,TRUE,-0.410207448,0.006885199,"Significant","Q4 (MeCP2 up / H2A down)",TRUE,TRUE,5,29979,2.165780511
"Ebf3",8,1,TRUE,1.809288515,1.06e-08,3,2,TRUE,-0.0290868505,0.001379227,"Significant","Q4 (MeCP2 up / H2A down)",TRUE,FALSE,11,120773,1.8383753655
"Frmd5",9,1,TRUE,1.465330091,5.84e-07,8,3,TRUE,-0.329073147,0.000244309,"Significant","Q4 (MeCP2 up / H2A down)",TRUE,TRUE,17,261559,1.794403238
"Mir7021",24,11,TRUE,1.376087893,3.92e-06,9,1,TRUE,-0.414698956,0.00061577,"Significant","Q4 (MeCP2 up / H2A down)",TRUE,TRUE,33,63,1.790786849
