gene_name	chr	mch_hyper	ov_k27ac_lost
0610040J01Rik	chr5	FALSE	FALSE
1110002E22Rik	chr3	TRUE	TRUE
1110051M20Rik	chr2	FALSE	TRUE
1110059E24Rik	chr19	FALSE	FALSE
1190005I06Rik	chr8	FALSE	FALSE
1300017J02Rik	chr9	FALSE	FALSE
1700006A11Rik	chr3	FALSE	FALSE
1700010I14Rik	chr17	FALSE	FALSE
1700011L22Rik	chr8	TRUE	TRUE
1700012B07Rik	chr11	FALSE	FALSE
1700012B09Rik	chr9	FALSE	FALSE
1700016C15Rik	chr1	FALSE	FALSE
1700017N19Rik	chr10	TRUE	TRUE
1700019D03Rik	chr1	TRUE	FALSE
1700020N01Rik	chr10	FALSE	FALSE
1700024B05Rik	chr14	FALSE	FALSE
1700028P14Rik	chr19	TRUE	TRUE
1700066B19Rik	chr18	FALSE	FALSE
1700069L16Rik	chr5	FALSE	TRUE
1700102P08Rik	chr9	FALSE	FALSE
1810013L24Rik	chr16	FALSE	FALSE
1810024B03Rik	chr2	FALSE	FALSE
1810046K07Rik	chr9	FALSE	FALSE
2010109A12Rik	chr5	TRUE	FALSE
2010300C02Rik	chr1	FALSE	TRUE
2210408I21Rik	chr13	FALSE	FALSE
2310057N15Rik	chr16	FALSE	FALSE
2410131K14Rik	chr5	FALSE	FALSE
2610001J05Rik	chr6	TRUE	TRUE
2700049A03Rik	chr12	FALSE	FALSE
2900026A02Rik	chr5	FALSE	TRUE
2900092C05Rik	chr7	FALSE	FALSE
3110009E18Rik	chr1	FALSE	FALSE
3110021N24Rik	chr4	FALSE	FALSE
3110082I17Rik	chr5	FALSE	TRUE
3830406C13Rik	chr14	FALSE	FALSE
4430402I18Rik	chr19	FALSE	TRUE
4921524L21Rik	chr18	FALSE	FALSE
4930402H24Rik	chr2	FALSE	FALSE
4930402K13Rik	chrX	FALSE	FALSE
4930430F08Rik	chr10	FALSE	FALSE
4930444P10Rik	chr1	FALSE	FALSE
4930447A16Rik	chr15	TRUE	TRUE
4930447C04Rik	chr12	FALSE	FALSE
4930470P17Rik	chr2	FALSE	FALSE
4930505A04Rik	chr11	TRUE	FALSE
4930523C07Rik	chr1	TRUE	FALSE
4930563M21Rik	chr9	FALSE	FALSE
4930564D02Rik	chr3	FALSE	FALSE
4930568D16Rik	chr2	FALSE	FALSE
4931406P16Rik	chr7	FALSE	FALSE
4931428F04Rik	chr8	TRUE	TRUE
4931428L18Rik	chr1	TRUE	FALSE
4931429L15Rik	chr9	FALSE	FALSE
4932414N04Rik	chr2	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
4933417A18Rik	chr13	FALSE	FALSE
4933424G06Rik	chr1	FALSE	FALSE
4933427D14Rik	chr11	FALSE	TRUE
4933428G20Rik	chr11	FALSE	FALSE
5031439G07Rik	chr15	FALSE	FALSE
5330417C22Rik	chr3	FALSE	FALSE
5730480H06Rik	chr5	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
6330411D24Rik	chr4	TRUE	TRUE
6430548M08Rik	chr8	FALSE	TRUE
6430550D23Rik	chr2	FALSE	TRUE
7420426K07Rik	chr9	FALSE	FALSE
7530416G11Rik	chr15	FALSE	FALSE
8030462N17Rik	chr18	FALSE	FALSE
9130401M01Rik	chr15	TRUE	TRUE
9330182L06Rik	chr5	FALSE	FALSE
9430038I01Rik	chr7	FALSE	FALSE
9530053A07Rik	chr7	FALSE	FALSE
9930021J03Rik	chr19	FALSE	FALSE
A330070K13Rik	chr5	TRUE	TRUE
A430005L14Rik	chr4	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
A630001G21Rik	chr1	FALSE	FALSE
A630010A05Rik	chr16	FALSE	FALSE
A630023A22Rik	chr14	FALSE	FALSE
A830018L16Rik	chr1	FALSE	FALSE
A830031A19Rik	chr11	FALSE	FALSE
A930004D18Rik	chr2	TRUE	FALSE
A930009A15Rik	chr10	TRUE	FALSE
AC147806.2	chr1	FALSE	FALSE
AI182371	chr2	FALSE	FALSE
AI661453	chr17	FALSE	TRUE
AL646049.1	chrX	FALSE	FALSE
AW554918	chr18	FALSE	FALSE
Aak1	chr6	FALSE	FALSE
Aamdc	chr7	FALSE	FALSE
Aar2	chr2	FALSE	FALSE
Aass	chr6	FALSE	FALSE
Aatf	chr11	FALSE	FALSE
Abat	chr16	FALSE	FALSE
Abca13	chr11	TRUE	FALSE
Abca16	chr7	FALSE	FALSE
Abca8a	chr11	FALSE	FALSE
Abca9	chr11	FALSE	FALSE
Abcb11	chr2	FALSE	FALSE
Abcb1b	chr5	FALSE	FALSE
