gene_name	chr	mch_hyper	ov_k27ac_gained
0610040J01Rik	chr5	FALSE	FALSE
1110002E22Rik	chr3	TRUE	FALSE
1110051M20Rik	chr2	FALSE	TRUE
1110059E24Rik	chr19	FALSE	FALSE
1190005I06Rik	chr8	FALSE	FALSE
1300017J02Rik	chr9	FALSE	FALSE
1700006A11Rik	chr3	FALSE	FALSE
1700010I14Rik	chr17	FALSE	FALSE
1700011L22Rik	chr8	TRUE	FALSE
1700012B07Rik	chr11	FALSE	FALSE
1700012B09Rik	chr9	FALSE	FALSE
1700016C15Rik	chr1	FALSE	FALSE
1700017N19Rik	chr10	TRUE	FALSE
1700019D03Rik	chr1	TRUE	FALSE
1700020N01Rik	chr10	FALSE	FALSE
1700024B05Rik	chr14	FALSE	FALSE
1700028P14Rik	chr19	TRUE	FALSE
1700066B19Rik	chr18	FALSE	FALSE
1700069L16Rik	chr5	FALSE	FALSE
1700102P08Rik	chr9	FALSE	FALSE
1810013L24Rik	chr16	FALSE	TRUE
1810024B03Rik	chr2	FALSE	FALSE
1810046K07Rik	chr9	FALSE	FALSE
2010109A12Rik	chr5	TRUE	FALSE
2010300C02Rik	chr1	FALSE	FALSE
2210408I21Rik	chr13	FALSE	FALSE
2310057N15Rik	chr16	FALSE	FALSE
2410131K14Rik	chr5	FALSE	FALSE
2610001J05Rik	chr6	TRUE	FALSE
2700049A03Rik	chr12	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
2900092C05Rik	chr7	FALSE	FALSE
3110009E18Rik	chr1	FALSE	FALSE
3110021N24Rik	chr4	FALSE	FALSE
3110082I17Rik	chr5	FALSE	FALSE
3830406C13Rik	chr14	FALSE	FALSE
4430402I18Rik	chr19	FALSE	FALSE
4921524L21Rik	chr18	FALSE	FALSE
4930402H24Rik	chr2	FALSE	TRUE
4930402K13Rik	chrX	FALSE	FALSE
4930430F08Rik	chr10	FALSE	FALSE
4930444P10Rik	chr1	FALSE	FALSE
4930447A16Rik	chr15	TRUE	FALSE
4930447C04Rik	chr12	FALSE	FALSE
