gene_name	chr	in_a_compartment	mch_sig
Auts2	chr5	TRUE	TRUE
Csmd2	chr4	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Rasgef1b	chr5	FALSE	TRUE
Lrrc49	chr9	TRUE	TRUE
Emcn	chr3	TRUE	TRUE
Slc13a1	chr6	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Dpys	chr15	TRUE	TRUE
Fgf1	chr18	TRUE	TRUE
Runx1t1	chr4	TRUE	TRUE
Btbd11	chr10	TRUE	TRUE
Trpm3	chr19	TRUE	TRUE
Pcdh9	chr14	TRUE	TRUE
Cog5	chr12	TRUE	TRUE
Cadps	chr14	TRUE	TRUE
Zbbx	chr3	FALSE	TRUE
Col9a1	chr1	TRUE	TRUE
Gprin3	chr6	TRUE	TRUE
Maml3	chr3	TRUE	TRUE
Csrnp3	chr2	TRUE	TRUE
Nrxn1	chr17	TRUE	TRUE
Erbb4	chr1	TRUE	TRUE
Pcgf5	chr19	TRUE	TRUE
Tenm2	chr11	FALSE	TRUE
Enox1	chr14	TRUE	TRUE
Slc6a6	chr6	TRUE	TRUE
Zfp608	chr18	TRUE	TRUE
Cytip	chr2	TRUE	TRUE
Camta1	chr4	TRUE	TRUE
Lsamp	chr16	FALSE	TRUE
Ctnnd2	chr15	TRUE	TRUE
Patj	chr4	TRUE	TRUE
Btbd3	chr2	TRUE	TRUE
Tjp1	chr7	FALSE	TRUE
Tmem178b	chr6	TRUE	TRUE
Abr	chr11	TRUE	TRUE
Ephb1	chr9	TRUE	TRUE
Plekha6	chr1	TRUE	TRUE
Cerkl	chr2	TRUE	TRUE
Gabbr2	chr4	TRUE	TRUE
Tafa5	chr15	TRUE	TRUE
Gsg1l	chr7	TRUE	TRUE
Rnf157	chr11	TRUE	TRUE
Tgfbr3	chr5	TRUE	TRUE
Sema6d	chr2	FALSE	TRUE
Cacna1e	chr1	TRUE	TRUE
Msi2	chr11	TRUE	TRUE
Hgd	chr16	TRUE	TRUE
Dlgap4	chr2	TRUE	TRUE
Prkar2b	chr12	FALSE	TRUE
Afap1	chr5	TRUE	TRUE
Ephb2	chr4	TRUE	TRUE
Zbtb20	chr16	TRUE	TRUE
Lrrc4c	chr2	TRUE	TRUE
Megf11	chr9	TRUE	TRUE
Hdac9	chr12	FALSE	TRUE
Cmip	chr8	TRUE	TRUE
Gm20696	chr6	TRUE	TRUE
Ccdc192	chr18	TRUE	TRUE
Epha3	chr16	TRUE	TRUE
D430042O09Rik	chr7	TRUE	TRUE
Snca	chr6	TRUE	TRUE
Cacna2d2	chr9	TRUE	TRUE
Pappa2	chr1	TRUE	TRUE
Arhgef38	chr3	TRUE	TRUE
Nos1	chr5	TRUE	TRUE
Lamb3	chr1	TRUE	TRUE
Fam107b	chr2	TRUE	TRUE
Nln	chr13	TRUE	TRUE
Zic4	chr9	TRUE	TRUE
Pag1	chr3	TRUE	TRUE
Fstl4	chr11	FALSE	TRUE
Opcml	chr9	TRUE	TRUE
Kcnq1	chr7	TRUE	TRUE
Heg1	chr16	TRUE	TRUE
Prkce	chr17	TRUE	TRUE
D430041D05Rik	chr2	TRUE	TRUE
Wdr25	chr12	TRUE	TRUE
Tmem51	chr4	TRUE	TRUE
Ncald	chr15	TRUE	TRUE
Igsf21	chr4	TRUE	TRUE
Med13l	chr5	TRUE	TRUE
Col27a1	chr4	TRUE	TRUE
Phactr3	chr2	TRUE	TRUE
Atxn1	chr13	TRUE	TRUE
Ttr	chr18	TRUE	TRUE
Olfr437	chr6	FALSE	TRUE
Clnk	chr5	TRUE	TRUE
Sez6	chr11	TRUE	TRUE
Akap6	chr12	TRUE	TRUE
Ksr2	chr5	TRUE	TRUE
Cntnap2	chr6	FALSE	TRUE
Bcas3	chr11	FALSE	TRUE
Nav3	chr10	FALSE	TRUE
Tmem150c	chr5	TRUE	TRUE
Ptprn2	chr12	TRUE	TRUE
Dip2b	chr15	TRUE	TRUE
Rab11fip4	chr11	TRUE	TRUE
Vwf	chr6	TRUE	TRUE
Anks1b	chr10	TRUE	TRUE
Slc35g2	chr9	TRUE	TRUE
Angpt1	chr15	TRUE	TRUE
Pcdh7	chr5	FALSE	TRUE
Jph1	chr1	TRUE	TRUE
Acly	chr11	TRUE	TRUE
Vti1a	chr19	TRUE	TRUE
Gria1	chr11	FALSE	TRUE
Brpf3	chr17	TRUE	TRUE
Lrba	chr3	TRUE	TRUE
Fam135b	chr15	TRUE	TRUE
Ptk2	chr15	TRUE	TRUE
Dgkb	chr12	TRUE	TRUE
Exoc6b	chr6	TRUE	TRUE
Lingo1	chr9	TRUE	TRUE
Nfib	chr4	TRUE	TRUE
Ssh2	chr11	TRUE	TRUE
Cnpy1	chr5	TRUE	TRUE
Svep1	chr4	TRUE	TRUE
Elmo1	chr13	TRUE	TRUE
Zbtb16	chr9	TRUE	TRUE
Foxp1	chr6	TRUE	TRUE
Plcb4	chr2	TRUE	TRUE
Chia1	chr3	TRUE	TRUE
Ppp2r2b	chr18	TRUE	TRUE
Fgf20	chr8	FALSE	TRUE
Grik2	chr10	TRUE	TRUE
Gm973	chr1	TRUE	TRUE
Cux2	chr5	TRUE	TRUE
Kbtbd12	chr6	TRUE	TRUE
Shank2	chr7	FALSE	TRUE
Pde4b	chr4	TRUE	TRUE
Nfia	chr4	TRUE	TRUE
Galnt2l	chr8	TRUE	TRUE
Grxcr1	chr5	TRUE	TRUE
Myo3b	chr2	FALSE	TRUE
Prune2	chr19	FALSE	TRUE
Pde10a	chr17	TRUE	TRUE
Mad1l1	chr5	TRUE	TRUE
Ptchd4	chr17	TRUE	TRUE
Klhl29	chr12	TRUE	TRUE
