gene_name	chr	pc_body_polycomb	mch_hyper
Speer1	chr5	FALSE	FALSE
Hbb-bs	chr7	FALSE	FALSE
Gm13283	chr4	FALSE	FALSE
H1f6	chr13	FALSE	FALSE
Tdpoz6	chr3	FALSE	FALSE
Ackr1	chr1	FALSE	FALSE
Taar8b	chr10	FALSE	FALSE
Gm19935	chr8	FALSE	FALSE
Vmn1r48	chr6	FALSE	FALSE
2310039H08Rik	chr17	FALSE	FALSE
4930402K13Rik	chrX	FALSE	FALSE
2310057N15Rik	chr16	FALSE	FALSE
Olfr885	chr9	FALSE	FALSE
Eif1	chr11	FALSE	FALSE
Apcs	chr1	FALSE	TRUE
H2-M1	chr17	FALSE	FALSE
Gm5965	chr16	FALSE	TRUE
Lyrm2	chr4	FALSE	FALSE
Pf4	chr5	FALSE	FALSE
Tas2r106	chr6	FALSE	FALSE
Calm4	chr13	TRUE	FALSE
Defa29	chr8	FALSE	FALSE
H3c15	chr3	FALSE	TRUE
Imp3	chr9	FALSE	FALSE
Olfr1008	chr2	FALSE	FALSE
Tas2r137	chr6	FALSE	FALSE
Olfr1248	chr2	FALSE	FALSE
Olfr761	chr17	FALSE	FALSE
Rpl9-ps1	chr11	FALSE	FALSE
Erich4	chr7	FALSE	FALSE
Nppa	chr4	FALSE	FALSE
Fam47c	chrX	FALSE	FALSE
Tas2r115	chr6	FALSE	FALSE
Mettl26	chr17	FALSE	FALSE
Olfr993	chr2	FALSE	FALSE
Npvf	chr6	FALSE	TRUE
Mageh1	chrX	FALSE	FALSE
Neurog1	chr13	TRUE	FALSE
Scgb1b7	chr7	FALSE	FALSE
Fam181b	chr7	FALSE	FALSE
Krtap1-4	chr11	FALSE	FALSE
Gm5773	chr3	FALSE	FALSE
Gm3755	chr14	FALSE	FALSE
Vmn1r113	chr7	FALSE	FALSE
Rnf208	chr2	FALSE	FALSE
Olfr345	chr2	FALSE	FALSE
Defb11	chr8	FALSE	FALSE
Tas2r121	chr6	FALSE	FALSE
Olfr437	chr6	FALSE	TRUE
Scgb2b26	chr7	FALSE	FALSE
7420426K07Rik	chr9	FALSE	FALSE
Gm21958	chr3	FALSE	FALSE
H2bc14	chr13	FALSE	FALSE
Rfpl4b	chr10	FALSE	FALSE
H2bc1	chr13	FALSE	FALSE
Scgb1b19	chr7	FALSE	TRUE
Gm9507	chr10	FALSE	FALSE
Msmp	chr4	FALSE	FALSE
Krtap5-2	chr7	FALSE	FALSE
1110025L11Rik	chr16	FALSE	FALSE
Gm7876	chr14	FALSE	FALSE
Vmn1r158	chr7	FALSE	FALSE
Ifnab	chr4	TRUE	FALSE
H3c6	chr13	FALSE	FALSE
Ctag2l2	chrX	FALSE	FALSE
Krtap24-1	chr16	FALSE	FALSE
Lce6a	chr3	FALSE	FALSE
Hspb1	chr5	TRUE	FALSE
Mrpl43	chr19	FALSE	FALSE
Olfr583	chr7	FALSE	FALSE
H1f1	chr13	FALSE	FALSE
Tmem190	chr7	FALSE	TRUE
Vmn1r115	chr7	FALSE	FALSE
Gm19402	chr10	FALSE	FALSE
Gsc2	chr16	TRUE	FALSE
Igll1	chr16	FALSE	FALSE
Olfr1164	chr2	FALSE	FALSE
Tas2r102	chr6	FALSE	FALSE
