gene_name	chr	h3k27me3_overlap	mch_sig
Auts2	chr5	TRUE	TRUE
Csmd2	chr4	TRUE	TRUE
Arhgap26	chr18	FALSE	TRUE
Rasgef1b	chr5	TRUE	TRUE
Lrrc49	chr9	FALSE	TRUE
Emcn	chr3	FALSE	TRUE
Slc13a1	chr6	FALSE	TRUE
Arhgap26	chr18	FALSE	TRUE
Dpys	chr15	TRUE	TRUE
Fgf1	chr18	FALSE	TRUE
Runx1t1	chr4	TRUE	TRUE
Btbd11	chr10	TRUE	TRUE
Trpm3	chr19	TRUE	TRUE
Pcdh9	chr14	FALSE	TRUE
Cog5	chr12	FALSE	TRUE
Cadps	chr14	FALSE	TRUE
Zbbx	chr3	FALSE	TRUE
Col9a1	chr1	FALSE	TRUE
Gprin3	chr6	FALSE	TRUE
Maml3	chr3	FALSE	TRUE
Csrnp3	chr2	TRUE	TRUE
Nrxn1	chr17	FALSE	TRUE
Erbb4	chr1	FALSE	TRUE
Pcgf5	chr19	TRUE	TRUE
Tenm2	chr11	TRUE	TRUE
Enox1	chr14	TRUE	TRUE
Slc6a6	chr6	FALSE	TRUE
Zfp608	chr18	FALSE	TRUE
Cytip	chr2	FALSE	TRUE
Camta1	chr4	FALSE	TRUE
Lsamp	chr16	FALSE	TRUE
Ctnnd2	chr15	FALSE	TRUE
Patj	chr4	FALSE	TRUE
Btbd3	chr2	FALSE	TRUE
Tjp1	chr7	TRUE	TRUE
Tmem178b	chr6	TRUE	TRUE
Abr	chr11	TRUE	TRUE
Ephb1	chr9	FALSE	TRUE
Plekha6	chr1	TRUE	TRUE
Cerkl	chr2	FALSE	TRUE
Gabbr2	chr4	FALSE	TRUE
Tafa5	chr15	FALSE	TRUE
Gsg1l	chr7	TRUE	TRUE
Rnf157	chr11	TRUE	TRUE
Tgfbr3	chr5	FALSE	TRUE
Sema6d	chr2	TRUE	TRUE
Cacna1e	chr1	FALSE	TRUE
Msi2	chr11	FALSE	TRUE
Hgd	chr16	FALSE	TRUE
Dlgap4	chr2	FALSE	TRUE
Prkar2b	chr12	TRUE	TRUE
Afap1	chr5	TRUE	TRUE
Ephb2	chr4	FALSE	TRUE
Zbtb20	chr16	FALSE	TRUE
Lrrc4c	chr2	FALSE	TRUE
Megf11	chr9	FALSE	TRUE
Hdac9	chr12	TRUE	TRUE
Cmip	chr8	TRUE	TRUE
Gm20696	chr6	FALSE	TRUE
Ccdc192	chr18	FALSE	TRUE
Epha3	chr16	FALSE	TRUE
D430042O09Rik	chr7	TRUE	TRUE
Snca	chr6	FALSE	TRUE
Cacna2d2	chr9	FALSE	TRUE
Pappa2	chr1	TRUE	TRUE
Arhgef38	chr3	FALSE	TRUE
Nos1	chr5	FALSE	TRUE
Lamb3	chr1	FALSE	TRUE
Fam107b	chr2	FALSE	TRUE
Nln	chr13	TRUE	TRUE
Zic4	chr9	FALSE	TRUE
Pag1	chr3	FALSE	TRUE
Fstl4	chr11	TRUE	TRUE
Opcml	chr9	TRUE	TRUE
Kcnq1	chr7	TRUE	TRUE
Heg1	chr16	FALSE	TRUE
Prkce	chr17	FALSE	TRUE
D430041D05Rik	chr2	FALSE	TRUE
Wdr25	chr12	TRUE	TRUE
Tmem51	chr4	FALSE	TRUE
Ncald	chr15	FALSE	TRUE
Igsf21	chr4	FALSE	TRUE
Med13l	chr5	FALSE	TRUE
Col27a1	chr4	TRUE	TRUE
Phactr3	chr2	FALSE	TRUE
Atxn1	chr13	FALSE	TRUE
Ttr	chr18	FALSE	TRUE
Olfr437	chr6	FALSE	TRUE
Clnk	chr5	FALSE	TRUE
Sez6	chr11	FALSE	TRUE
Akap6	chr12	FALSE	TRUE
Ksr2	chr5	FALSE	TRUE
Cntnap2	chr6	FALSE	TRUE
Bcas3	chr11	TRUE	TRUE
Nav3	chr10	FALSE	TRUE
Tmem150c	chr5	FALSE	TRUE
Ptprn2	chr12	TRUE	TRUE
Dip2b	chr15	FALSE	TRUE
Rab11fip4	chr11	FALSE	TRUE
Vwf	chr6	TRUE	TRUE
Anks1b	chr10	FALSE	TRUE
Slc35g2	chr9	FALSE	TRUE
Angpt1	chr15	FALSE	TRUE
Pcdh7	chr5	TRUE	TRUE
Jph1	chr1	FALSE	TRUE
Acly	chr11	TRUE	TRUE
Vti1a	chr19	FALSE	TRUE
Gria1	chr11	TRUE	TRUE
Brpf3	chr17	FALSE	TRUE
Lrba	chr3	TRUE	TRUE
Fam135b	chr15	FALSE	TRUE
Ptk2	chr15	FALSE	TRUE
Dgkb	chr12	FALSE	TRUE
Exoc6b	chr6	FALSE	TRUE
Lingo1	chr9	FALSE	TRUE
Nfib	chr4	TRUE	TRUE
Ssh2	chr11	FALSE	TRUE
Cnpy1	chr5	FALSE	TRUE
Svep1	chr4	FALSE	TRUE
Elmo1	chr13	TRUE	TRUE
Zbtb16	chr9	TRUE	TRUE
Foxp1	chr6	TRUE	TRUE
Plcb4	chr2	FALSE	TRUE
Chia1	chr3	FALSE	TRUE
Ppp2r2b	chr18	TRUE	TRUE
Fgf20	chr8	TRUE	TRUE
Grik2	chr10	FALSE	TRUE
Gm973	chr1	FALSE	TRUE
Cux2	chr5	FALSE	TRUE
Kbtbd12	chr6	TRUE	TRUE
Shank2	chr7	TRUE	TRUE
Pde4b	chr4	FALSE	TRUE
Nfia	chr4	FALSE	TRUE
Galnt2l	chr8	TRUE	TRUE
Grxcr1	chr5	FALSE	TRUE
Myo3b	chr2	TRUE	TRUE
Prune2	chr19	TRUE	TRUE
Pde10a	chr17	FALSE	TRUE
Mad1l1	chr5	FALSE	TRUE
Ptchd4	chr17	FALSE	TRUE
Klhl29	chr12	FALSE	TRUE
