gene_name	chr	start	end	gene_length	mch_diff	edger_fdr	mch_sig	mecp2_fold	mecp2_fdr	mecp2_sig	mecp2_direction
Glce	chr9	62057247	62122655	65408	0.00446155053623211	0.0517771362590525	FALSE	1.44588087978625	0.000331259569912227	TRUE	Gained
Yjefn3	chr8	69887787	69902712	14925	-0.00188106441732661	0.0545904712316016	FALSE	0.949785412949239	0.0273198516748188	TRUE	Gained
2810459M11Rik	chr1	86045862	86055456	9594	-0.00789481520787122	0.0561117602790415	FALSE	-0.705394686011839	0.0370518576193516	TRUE	Lost
Cd300lg	chr11	102041508	102055620	14112	-0.00292382700890073	0.0577353195256406	FALSE	1.90507595110562	1.65274141812863e-08	TRUE	Gained
Esr2	chr12	76120418	76177259	56841	-0.000863782126126866	0.0579069062824691	FALSE	-1.26559307607823	0.00535060818409825	TRUE	Lost
Tspan7	chrX	10485157	10596605	111448	-3.93745285279766e-06	0.0604950504168126	FALSE	1.66481598210767	0.00213440220449876	TRUE	Gained
Gm11733	chr11	117484367	117489014	4647	-0.00884356273014006	0.0630461402419729	FALSE	-0.749884555209226	0.0481909825607853	TRUE	Lost
Tmem178	chr17	80944631	81001816	57185	-0.000730208261381987	0.0636889479797	FALSE	2.79143165069289	1.78267009284081e-13	TRUE	Gained
Il1rapl1	chrX	86740869	88115645	1374776	0.00119409283204084	0.067842145567085	FALSE	3.25786737912807	5.16066191780565e-10	TRUE	Gained
Defb41	chr1	18250979	18265138	14159	-0.00118930839612725	0.0709087682696292	FALSE	1.62742937446701	0.00484099497406869	TRUE	Gained
Insm1	chr2	146221920	146225020	3100	-0.0145758766123373	0.073212385372396	FALSE	-1.5973048129874	0.000211424253420609	TRUE	Lost
Angpt2	chr8	18690262	18741562	51300	-0.00011679594580578	0.0986900435764203	FALSE	-0.782732422389187	0.0378246520935607	TRUE	Lost
Plcb1	chr2	134786066	135475258	689192	0.00286929912652888	0.135103394862757	FALSE	-1.49136043298695	0.00214404108501208	TRUE	Lost
Fstl5	chr3	76074269	76710019	635750	0.00285215034476478	0.140683389882099	FALSE	1.1985653049572	0.00329366684516368	TRUE	Gained
4930583I09Rik	chr17	64832522	64836071	3549	0.00801552649951223	0.142807131559999	FALSE	2.6284855203605	8.9453411758254e-14	TRUE	Gained
Fut9	chr4	25609331	25800244	190913	0.00113598466912054	0.154774348313917	FALSE	3.06277560162656	1.32719443445416e-07	TRUE	Gained
Lgi1	chr19	38264535	38312214	47679	0.0040100564632542	0.159428317288694	FALSE	1.14790895710739	0.00283355629629667	TRUE	Gained
Dcx	chrX	143855841	143933311	77470	0.00393465304385614	0.174624598966941	FALSE	2.03914625584322	7.18377566536801e-05	TRUE	Gained
Lamp5	chr2	136052238	136069917	17679	0.0057675798242764	0.195352879854934	FALSE	0.914004130199635	0.0304328183858454	TRUE	Gained
Gzmd	chr14	56129555	56132608	3053	0.00902641672726959	0.209594926173054	FALSE	2.28385810027123	4.07955694068779e-09	TRUE	Gained
Tmbim1	chr1	74288246	74305622	17376	0.000485206386262434	0.243986568165143	FALSE	-1.01287354138221	0.0323304975407164	TRUE	Lost
Nhlh2	chr3	102010075	102015492	5417	0.00898188654239546	0.260003620002024	FALSE	1.84115490769135	2.47895475096651e-07	TRUE	Gained
Tubb6	chr18	67390716	67402749	12033	-0.00211163677871968	0.275344785991883	FALSE	-0.800513603886764	0.0227841009539996	TRUE	Lost
5530400C23Rik	chr6	133292215	133295792	3577	0.00783673994171111	0.277863953308667	FALSE	0.85380856215437	0.0366862820486989	TRUE	Gained
Tmprss11c	chr5	86231480	86289308	57828	0.00111242615482387	0.281920649624585	FALSE	1.06365676315369	0.0146674421683975	TRUE	Gained
Syne1	chr10	5020916	5551482	530566	0.000988532157975557	0.330566316156307	FALSE	-0.79073950651197	0.0431305485799127	TRUE	Lost
Xpot	chr10	121587379	121626332	38953	0.000931386908842287	0.344642763367253	FALSE	-0.906552131295477	0.0307537789276201	TRUE	Lost
Prom1	chr5	43993619	44102032	108413	0.00297130580356118	0.349571513657649	FALSE	2.1037384438665	2.59289914171391e-09	TRUE	Gained
Sppl2c	chr11	104186326	104191163	4837	0.00575320238262374	0.385557624384084	FALSE	0.946547135248323	0.00180905543860759	TRUE	Gained
Il16	chr7	83642824	83745726	102902	0.00227412191602397	0.40190299885244	FALSE	1.41148567206122	0.000830251359306477	TRUE	Gained
Gzmg	chr14	56156581	56159579	2998	0.00671655132176209	0.433367563647081	FALSE	1.62546696277977	0.000129563022922712	TRUE	Gained
