gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_sig	mecp2_direction	group	k119ub_fold	k119ub_fdr	k119ub_min_fdr	k119ub_n_peaks	k119ub_n_sig	k119ub_has_sig	k27me3_fold	k27me3_fdr	k27me3_min_fdr	k27me3_n_peaks	k27me3_n_sig	k27me3_has_sig	k27ac_fold	k27ac_fdr	k27ac_min_fdr	k27ac_n_peaks	k27ac_n_sig	k27ac_has_sig	atac_fold	atac_fdr	atac_min_fdr	atac_n_peaks	atac_n_sig	atac_has_sig	k119ub_gb_ctrl_signal	k119ub_gb_mut_signal	k119ub_gb_log2fc	k119ub_gb_class	in_mecp2_no_mch	k119ub_signal_gain	k119ub_peak_gain
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	91119	0.0341953858377244	0.0712838669062373	0.0370884810685128	0.994570493076339	4.85131254429339e-17	TRUE	1.60613771118023	0.00127278147483562	1.32095870031758e-20	27	18	TRUE	TRUE	Gained	MeCP2_and_mCH	1.279282694	1.19e-29	8.97e-35	12	12	TRUE	NA	NA	NA	NA	NA	NA	-1.50370298380209	3.70736963958623e-12	7.72669759633954e-57	5	5	TRUE	0.171534600082505	0.357551008211176	2.19320202906737e-07	4	1	TRUE	1.480736	4.023087	1.318834	quantifiable	FALSE	TRUE	TRUE
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	79810	0.0279154504799454	0.0600276489322722	0.0321121984523268	1.03501814773005	1.47348298932098e-16	TRUE	1.21958533052125	0.0101304954413751	2.06805321330482e-26	41	27	TRUE	TRUE	Gained	MeCP2_and_mCH	1.72056163	2.66e-45	1.67e-81	14	14	TRUE	NA	NA	NA	NA	NA	NA	-1.86259332491345	4.79646916161855e-18	2.12408315785306e-37	8	8	TRUE	-0.130191112405363	0.453256784560313	3.56697379968382e-06	10	4	TRUE	1.155262	3.710288	1.514766	quantifiable	FALSE	TRUE	TRUE
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	90800	0.0287311295506861	0.0518081884842646	0.0230770589335785	0.811254567920538	1.39178947360121e-15	TRUE	1.07901659999695	0.00716848450584093	8.54828388890296e-19	32	16	TRUE	TRUE	Gained	MeCP2_and_mCH	0.299504066	0.00852835	2.7e-32	12	12	TRUE	2.91998889048125	2.29875762195067e-18	2.29875762195067e-18	2	2	TRUE	-1.76257471218512	2.70107777381259e-19	2.41998714918137e-33	7	7	TRUE	-0.66987302973428	0.000260441384546373	1.6449929344959e-14	19	5	TRUE	1.705582	4.253283	1.215938	quantifiable	FALSE	TRUE	TRUE
Pcdh9	ENSMUSG00000055421.8	chr14	93013409	93890679	877270	0.0303739024695834	0.0421892334192686	0.0118153309496852	0.406051180141993	4.05136941446509e-15	TRUE	3.35011931605895	2.03830570533515e-13	2.05211554771437e-16	110	39	TRUE	TRUE	Gained	MeCP2_and_mCH	1.051246395	2.17e-45	7.91e-62	47	44	TRUE	-0.24714439466849	0.42719514391784	0.0104946729655181	5	1	TRUE	-0.673384834646298	7.32795301685068e-05	2.31435469028411e-25	18	16	TRUE	0.123457086095269	0.474841540565799	1.65345555558185e-05	33	8	TRUE	1.296962	3.066088	1.115065	quantifiable	FALSE	TRUE	TRUE
Cog5	ENSMUSG00000035933.5	chr12	31654868	31937630	282762	0.0220625280856643	0.0381392677670208	0.0160767396813565	0.698366375461975	9.16612856247155e-15	TRUE	2.44481335593545	1.20839010330663e-07	2.05207269279175e-12	23	12	TRUE	TRUE	Gained	MeCP2_and_mCH	2.048076641	1.95e-55	8.11e-80	7	7	TRUE	NA	NA	NA	NA	NA	NA	-1.45148222658439	9.65836519224849e-18	1.65297385390989e-37	8	8	TRUE	0.0488917068399826	0.790990949174486	3.59601107456233e-06	13	5	TRUE	0.91113	2.506248	1.268975	quantifiable	FALSE	TRUE	TRUE
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	75075	0.026344532194134	0.0477331353809134	0.0213886031867794	0.802035765454069	3.51325380474338e-14	TRUE	2.99825013756117	2.01034498623133e-14	2.00612726936627e-16	25	12	TRUE	TRUE	Gained	MeCP2_and_mCH	0.628130073	3.43e-12	8.65e-54	12	12	TRUE	NA	NA	NA	NA	NA	NA	-1.44695963862312	1.30374501153564e-13	3.90083106668204e-17	4	4	TRUE	-1.2777148129561	9.44740102142567e-08	9.44740102142567e-08	8	3	TRUE	1.952336	5.161635	1.308703	quantifiable	FALSE	TRUE	TRUE
Gprin3	ENSMUSG00000045441.5	chr6	59347225	59426294	79069	0.0293056980802082	0.0521299766054108	0.0228242785252025	0.77696008897358	4.47508011907222e-14	TRUE	1.72361283135836	2.58751492272059e-06	3.25204729709171e-16	24	17	TRUE	TRUE	Gained	MeCP2_and_mCH	0.65310573	1.39e-16	6.29e-22	15	15	TRUE	2.67703053297392	2.48312056175373e-20	2.48312056175373e-20	1	1	TRUE	-1.20019354670989	1.28066196803622e-11	3.16842096685522e-42	5	5	TRUE	-0.557449685725666	0.00127490303082069	0.00127490303082069	5	2	TRUE	1.566198	3.439235	1.034552	quantifiable	FALSE	TRUE	TRUE
Patj	ENSMUSG00000061859.17	chr4	98395784	98719603	323819	0.0193572756775629	0.0295842482524923	0.0102269725749294	0.509305800239703	3.87244711079677e-13	TRUE	1.76229716203468	3.92581287600702e-06	4.73904207555413e-24	25	8	TRUE	TRUE	Gained	MeCP2_and_mCH	1.192232445	5.15e-23	5.6e-35	7	7	TRUE	NA	NA	NA	NA	NA	NA	-0.25546238214595	0.120739696147384	2.01656724563943e-74	17	16	TRUE	-1.75148609341324	1.15468593818537e-15	2.31802113734989e-17	15	13	TRUE	0.932256	1.828532	0.829999	quantifiable	FALSE	TRUE	TRUE
Plekha6	ENSMUSG00000041757.17	chr1	133164209	133303435	139226	0.041199119473182	0.0296268306123131	-0.0115722888608689	-0.561922449639867	1.15763853780842e-12	TRUE	-1.74108518219832	2.96709840271829e-06	2.96709840271829e-06	40	7	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.388743718	0.000345959	4.62e-37	14	13	TRUE	-0.357951806281467	0.0445203869360861	1.07900717111524e-20	6	3	TRUE	0.868998992250401	4.7859659550771e-07	6.18308746854447e-11	5	4	TRUE	0.774089440446245	6.99725764559051e-05	7.95390893683913e-07	19	11	TRUE	2.543572	1.822233	-0.436343	quantifiable	FALSE	FALSE	FALSE
Cerkl	ENSMUSG00000075256.9	chr2	79330542	79456785	126243	0.0224010478498205	0.0370281678178183	0.0146271199679977	0.642154422290159	1.24590439941509e-12	TRUE	1.63684053161898	0.000283321465302971	2.90147068768965e-17	27	14	TRUE	TRUE	Gained	MeCP2_and_mCH	0.712776355	2.35e-08	2.94e-58	17	16	TRUE	NA	NA	NA	NA	NA	NA	-0.791116097361081	1.77831320764945e-06	9.86423783476672e-56	12	11	TRUE	-0.8770640879829	0.00120825700430898	2.94994674344113e-06	17	5	TRUE	1.296334	2.778012	0.983307	quantifiable	FALSE	TRUE	TRUE
