gene_name	mecp2_tss_fold	mecp2_tss_fdr	mecp2_tss_min_fdr	mecp2_tss_n_peaks	mecp2_tss_n_sig	mecp2_tss_has_sig	mecp2_med_fold	mecp2_med_fdr	mecp2_med_min_fdr	mecp2_med_n_peaks	mecp2_med_n_sig	mecp2_med_has_sig	chr	min_abs_dist_tss	total_peak_width	annot_gene_length	gained_nearest_tss	lost_nearest_tss	gained_median_sig	lost_median_sig	sign_flip	many_peaks
0610005C13Rik	-0.0439293106334469	0.857069796822907	0.857069796822907	1	0	FALSE	-0.0439293106334469	0.857069796822907	0.857069796822907	1	0	FALSE	chr7	0	401	7047	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610009E02Rik	0.0625297305487823	0.718323739193334	0.718323739193334	1	0	FALSE	0.0625297305487823	0.718323739193334	0.718323739193334	1	0	FALSE	chr2	0	401	13684	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610010K14Rik	-0.0621722089484397	0.709662783968489	0.709662783968489	1	0	FALSE	-0.0621722089484397	0.709662783968489	0.709662783968489	1	0	FALSE	chr11	0	401	2385	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610030E20Rik	-0.0141215367354712	0.96379982405148	0.96379982405148	1	0	FALSE	-0.0141215367354712	0.96379982405148	0.96379982405148	1	0	FALSE	chr6	1053	401	3251	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610031O16Rik	-0.0313968034924416	0.900847453378857	0.900847453378857	1	0	FALSE	-0.0313968034924416	0.900847453378857	0.900847453378857	1	0	FALSE	chr3	7609	401	11338	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610038B21Rik	-0.0255065785527032	0.908788257694633	0.337347422581527	29	0	FALSE	-0.0266463446076226	0.337347422581527	0.337347422581527	29	0	FALSE	chr8	3160	11629	1524	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
0610040F04Rik	0.717346256557242	0.0447887852951602	5.94608625894612e-05	19	3	TRUE	1.44745716812567	5.94608625894612e-05	5.94608625894612e-05	19	3	TRUE	chr6	3828	7619	83896	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
0610040J01Rik	-0.01809960845032	0.937127480678905	0.238283044725283	10	0	FALSE	0.00073380527419582	0.238283044725283	0.238283044725283	10	0	FALSE	chr5	0	4010	87263	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
0610043K17Rik	-0.0438708067028548	1	0.929206594628335	2	0	FALSE	-0.0330307276849372	0.929206594628335	0.929206594628335	2	0	FALSE	chr4	2907	802	45399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110002E22Rik	-0.179409503738846	0.43805806177125	3.69627194837329e-06	12	3	TRUE	1.73594606527771	3.69627194837329e-06	3.69627194837329e-06	12	3	TRUE	chr3	148	4812	16455	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1110002J07Rik	-0.0138198621387724	0.952184298746302	1.15106064159683e-19	52	8	TRUE	2.05016108864528	1.15106064159683e-19	1.15106064159683e-19	52	8	TRUE	chr10	2201	20852	7770	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1110002L01Rik	-0.204144218438176	0.374250835320007	0.374250835320007	1	0	FALSE	-0.204144218438176	0.374250835320007	0.374250835320007	1	0	FALSE	chr12	0	401	23134	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110004F10Rik	-0.0276974024316936	0.887240652372053	0.764870349639255	3	0	FALSE	-0.0276974024316936	0.764870349639255	0.764870349639255	3	0	FALSE	chr7	278	1203	63605	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110006O24Rik	-0.083581621096933	0.682329283863686	0.682329283863686	1	0	FALSE	-0.083581621096933	0.682329283863686	0.682329283863686	1	0	FALSE	chr5	7702	401	768	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110015O18Rik	1.1018360070514	0.0265589637453089	0.0265589637453089	3	1	TRUE	1.1018360070514	0.0265589637453089	0.0265589637453089	3	1	TRUE	chr3	5	1203	16204	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
1110019D14Rik	0.0105862676077993	0.972495269935033	9.84767159910241e-07	11	5	TRUE	1.70902520879298	9.84767159910241e-07	9.84767159910241e-07	11	5	TRUE	chr6	11	4712	24854	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
1110020A21Rik	-0.0321101589774997	0.839358651188656	0.839358651188656	1	0	FALSE	-0.0321101589774997	0.839358651188656	0.839358651188656	1	0	FALSE	chr17	0	401	2744	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110028F11Rik	-0.0228648644995347	0.928270117439043	0.928270117439043	2	0	FALSE	-0.0049118405115553	0.928270117439043	0.928270117439043	2	0	FALSE	chr11	2137	802	2867	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110028F18Rik	0.00315904515434493	1	0.96665595600429	3	0	FALSE	-0.0119348518291607	0.96665595600429	0.96665595600429	3	0	FALSE	chr8	7869	1203	7678	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
1110032F04Rik	-0.159291148114176	0.503221765776785	0.089444426828231	11	0	FALSE	-0.0456521752344568	0.089444426828231	0.089444426828231	11	0	FALSE	chr3	237	4411	2578	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1110038F14Rik	0.00635429671873762	1	0.522206404676139	3	0	FALSE	0.00503248594694926	0.522206404676139	0.522206404676139	3	0	FALSE	chr15	0	1203	2208	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110046J04Rik	-0.0202970093841256	0.927334023921821	0.927334023921821	2	0	FALSE	-0.00953945093972769	0.927334023921821	0.927334023921821	2	0	FALSE	chr13	0	802	811	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110059E24Rik	0.0105800755715664	0.96161700243249	0.522333769822805	10	0	FALSE	-0.019334474832573	0.522333769822805	0.522333769822805	10	0	FALSE	chr19	0	4010	54593	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1110059G10Rik	0.0334654608418612	0.887240652372053	0.887240652372053	1	0	FALSE	0.0334654608418612	0.887240652372053	0.887240652372053	1	0	FALSE	chr9	0	401	3419	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110065P20Rik	-0.125284571909041	0.563535513052817	0.158454718683046	4	0	FALSE	-0.118680851654859	0.158454718683046	0.158454718683046	4	0	FALSE	chr4	0	1604	928	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1190005I06Rik	-0.0187012723612929	0.928577151388216	0.326965681182046	15	0	FALSE	-0.00340607026571064	0.326965681182046	0.326965681182046	15	0	FALSE	chr8	183	6015	25429	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1190028D05Rik	-0.0299284959492935	0.887661537459182	7.17222751241121e-05	13	1	TRUE	2.23573064169491	7.17222751241121e-05	7.17222751241121e-05	13	1	TRUE	chr8	77390	5213	46729	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1300002E11Rik	-0.031915024758858	0.851874264163725	0.851874264163725	2	0	FALSE	-0.0440461524975298	0.851874264163725	0.851874264163725	2	0	FALSE	chr16	0	802	14723	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1500009L16Rik	0.0127033423349649	0.964830241704903	0.255390596878506	28	0	FALSE	-0.0131041596605859	0.255390596878506	0.255390596878506	28	0	FALSE	chr10	206	11228	39898	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1500011B03Rik	-0.0158551017721893	0.946167273845792	0.946167273845792	4	0	FALSE	-0.00563611463866934	0.946167273845792	0.946167273845792	4	0	FALSE	chr5	0	1604	1153	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1500012K07Rik	0.176591677700521	0.437291170568145	0.437291170568145	1	0	FALSE	0.176591677700521	0.437291170568145	0.437291170568145	1	0	FALSE	chr7	46	401	22718	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1500015A07Rik	-0.168631900125723	0.521727922280037	0.0588856411816973	8	0	FALSE	-0.0331801161604371	0.0588856411816973	0.0588856411816973	8	0	FALSE	chr18	3477	3208	1865	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1500015L24Rik	0.0323186700519686	0.887240652372053	0.00032775953900788	8	2	TRUE	1.73949916203683	0.00032775953900788	0.00032775953900788	8	2	TRUE	chr19	18581	3208	115828	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
