gene_name	ctrl_aging_fold	ctrl_aging_fdr	ctrl_aging_min_fdr	ctrl_aging_n_peaks	ctrl_aging_n_sig	ctrl_aging_has_sig	ctrl_aging_n_sig_up	ctrl_aging_n_sig_down	ctrl_aging_max_fold	ctrl_aging_min_fold	ctrl_aging_mean_fold	mut_aging_fold	mut_aging_fdr	mut_aging_min_fdr	mut_aging_n_peaks	mut_aging_n_sig	mut_aging_has_sig	mut_aging_n_sig_up	mut_aging_n_sig_down	mut_aging_max_fold	mut_aging_min_fold	mut_aging_mean_fold	has_ctrl_peak	has_mut_peak	in_universe	ctrl_aging_up	mut_aging_up	ctrl_aging_down	mut_aging_down	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up	chr	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_hyper	mch_hypo	mch_direction	mch_diff_pct	aging_group
0610010K14Rik	0.0270961094421139	0.953588886766161	0.953588886766161	2	0	FALSE	0	0	0.0300870932695724	0.0241051256146555	0.0270961094421139	-0.347074321705659	0.308736858967649	0.308736858967649	1	0	FALSE	0	0	-0.347074321705659	-0.347074321705659	-0.347074321705659	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr11	2709	0.0162285922987205	0.0151999872018836	-0.0010286050968369	-0.472681134242593	0.407275545998949	FALSE	FALSE	FALSE	Hypomethylated	-0.10286050968369	Other peak-carrying genes
0610030E20Rik	-0.151964128365859	0.395764449381358	0.395764449381358	2	0	FALSE	0	0	-0.00133395253319028	-0.302594304198528	-0.151964128365859	-0.213220318480351	0.0718822410688701	0.0718822410688701	3	0	FALSE	0	0	-0.0657545477249468	-0.703686246313981	-0.327553704173093	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr6	5832	0.0142006610041524	0.014861078960377	0.000660417956224577	-0.12246708246866	0.762289417635887	FALSE	FALSE	FALSE	Hypomethylated	0.0660417956224577	Other peak-carrying genes
0610040J01Rik	-0.0748461640640664	0.227381409505907	0.227381409505907	24	0	FALSE	0	0	0.200586301740641	-0.428538050636379	-0.108658194165691	-0.918042483175737	0.0151144400029215	0.0151144400029215	24	1	TRUE	0	1	0.210486702230631	-0.918042483175737	-0.218047028187281	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	chr5	87263	0.0167510545792503	0.0157557924679527	-0.000995262111297603	-0.259503168918075	0.00230377208130918	TRUE	FALSE	TRUE	Hypomethylated	-0.0995262111297603	Other peak-carrying genes
1110002E22Rik	1.75879193740327	7.10655098016255e-06	7.10655098016255e-06	19	1	TRUE	1	0	1.75879193740327	-0.663150168982056	0.0992168120255332	2.18063449328126	4.41112006684762e-12	4.41112006684762e-12	19	4	TRUE	4	0	2.55318420472114	-0.590920786124514	0.461341939306918	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr3	16455	0.0340281074358748	0.0419235724139783	0.00789546497810353	0.275236472864458	0.0150699538246193	TRUE	TRUE	FALSE	Hypermethylated	0.789546497810353	Other peak-carrying genes
1110004F10Rik	-0.0936520840900207	0.380743615580775	0.380743615580775	7	0	FALSE	0	0	0.10511360327937	-0.311894175178279	-0.114462806457978	-0.116661479488307	0.154298636392899	0.154298636392899	7	0	FALSE	0	0	0.142230775381856	-0.550695454466403	-0.146671762820805	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr7	65814	0.0170486640528993	0.0175737689870271	0.00052510493412777	-0.0945820989398361	0.303313825607443	FALSE	FALSE	FALSE	Hypomethylated	0.052510493412777	Other peak-carrying genes
1110025L11Rik	-0.138859045596424	0.654796039502608	0.654796039502608	4	0	FALSE	0	0	0.0161671163971025	-0.166911993688144	-0.107115742120972	-0.553001575852052	0.115822226075185	0.115822226075185	7	0	FALSE	0	0	0.168467414641511	-0.672479124881242	-0.449424214434842	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr16	591	0.0102866674720575	0.0282967953078729	0.0180101278358154	1.3735574402245	0.117197904946606	FALSE	FALSE	FALSE	Hypermethylated	1.80101278358154	Other peak-carrying genes
1110032F04Rik	1.49454758706793	0.000494557172595917	0.000494557172595917	19	1	TRUE	1	0	1.49454758706793	-0.346721572742908	0.0270729995930885	-0.855507330611566	0.0261772114269187	0.0261772114269187	12	1	TRUE	0	1	0.486049137830856	-0.855507330611566	-0.134669734284292	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	chr3	2578	0.0340372453756347	0.0338878494188445	-0.000149395956790144	-0.103124864548497	0.784506602820814	FALSE	FALSE	FALSE	Hypomethylated	-0.0149395956790144	Other peak-carrying genes
1110038F14Rik	-0.117471610204066	0.178431774973626	0.178431774973626	9	0	FALSE	0	0	0.327288595287281	-0.456424010539909	-0.109090309212096	-0.362409866732969	0.0546043218332983	0.0546043218332983	7	0	FALSE	0	0	0.0165142080276061	-0.700889818571938	-0.412313214199217	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr15	2474	0.0110760727118382	0.016261521244455	0.0051854485326168	0.667004143916866	0.270442276425365	FALSE	FALSE	FALSE	Hypermethylated	0.51854485326168	Other peak-carrying genes
1110059E24Rik	-0.798141016435035	0.046285541973051	0.046285541973051	20	1	TRUE	0	1	0.221318756209431	-0.798141016435035	-0.148452811718224	-0.300744892307712	0.0884659782311092	0.0884659782311092	16	0	FALSE	0	0	0.314929537346437	-0.689854711513959	-0.260269788819871	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	chr19	71775	0.0194772766432005	0.0183072506175466	-0.00117002602565385	-0.233591102115754	0.00257027754835116	TRUE	FALSE	TRUE	Hypomethylated	-0.117002602565385	Other peak-carrying genes
1110059G10Rik	-0.428806887539294	0.19701273265108	0.19701273265108	1	0	FALSE	0	0	-0.428806887539294	-0.428806887539294	-0.428806887539294	-0.0669357270259571	0.879552881136782	0.879552881136782	1	0	FALSE	0	0	-0.0669357270259571	-0.0669357270259571	-0.0669357270259571	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr9	5912	0.0132681180679249	0.0133698468017004	0.000101728733775418	-0.166788674313329	0.704312665865314	FALSE	FALSE	FALSE	Hypomethylated	0.0101728733775418	Other peak-carrying genes
