gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_sig	mecp2_direction	group	k119ub_fold	k119ub_fdr	k119ub_min_fdr	k119ub_n_peaks	k119ub_n_sig	k119ub_has_sig	k27me3_fold	k27me3_fdr	k27me3_min_fdr	k27me3_n_peaks	k27me3_n_sig	k27me3_has_sig	k27ac_fold	k27ac_fdr	k27ac_min_fdr	k27ac_n_peaks	k27ac_n_sig	k27ac_has_sig	atac_fold	atac_fdr	atac_min_fdr	atac_n_peaks	atac_n_sig	atac_has_sig	k119ub_gb_ctrl_signal	k119ub_gb_mut_signal	k119ub_gb_log2fc	k119ub_gb_class
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	1106012	0.0585930354568514	0.0405551707375849	-0.0180378647192666	-0.589453234068138	6.49315772936704e-20	TRUE	-0.0345662388129427	0.864925536822995	1.39715867136175e-08	281	34	TRUE	FALSE	Unchanged	mCH_only	-0.678394052	1.17e-09	1.17e-09	20	12	TRUE	NA	NA	NA	NA	NA	NA	0.617057913305628	0.000146385988307989	1.5484337951701e-72	7	7	TRUE	1.43816627269746	1.7698223360719e-14	8.02801978579929e-20	71	22	TRUE	1.462406	1.227284	-0.217145	quantifiable
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	579800	0.0495954803208768	0.0322662483584066	-0.0173292319624701	-0.702488424646554	2.05229451875872e-19	TRUE	-0.020871607560004	0.931851057315759	8.44107001031249e-07	74	8	TRUE	FALSE	Unchanged	mCH_only	-0.245443301	0.044123674	7.16e-09	9	8	TRUE	NA	NA	NA	NA	NA	NA	1.07567067070099	4.62805112183436e-09	9.45421161784299e-12	4	3	TRUE	0.4589091033516	0.0267215807247423	4.52118933178219e-15	14	11	TRUE	1.777554	1.211368	-0.480771	quantifiable
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	383140	0.0240667114846402	0.0411655718277919	0.0170988603431517	0.704215640764072	4.81031639917514e-18	TRUE	0.100801214206284	0.566080782755094	2.01100038979942e-22	108	32	TRUE	FALSE	Unchanged	mCH_only	0.776810428	1.76e-12	3.69e-41	36	35	TRUE	NA	NA	NA	NA	NA	NA	-1.09793722595922	1.71502834266295e-17	1.47759466282926e-53	28	28	TRUE	-0.00668715181876542	0.975030685932134	4.21297757137189e-14	50	24	TRUE	1.541079	3.102736	0.915821	quantifiable
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	511640	0.0543948964773618	0.0369045314632584	-0.0174903650141034	-0.626358182933927	1.91183600778509e-17	TRUE	-0.178396740313038	0.425850230126047	9.55646993903605e-09	127	32	TRUE	FALSE	Unchanged	mCH_only	-0.002266543	0.985713528	0.000430527	36	15	TRUE	0.0707782346425778	0.756594063073756	0.024303463364455	51	4	TRUE	-1.39804037149359	1.65196695187198e-11	1.65196695187198e-11	1	1	TRUE	0.0794719166103066	0.657266547878375	0.00016271644447969	19	4	TRUE	2.363803	2.290373	-0.041591	quantifiable
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	119300	0.0232240221033662	0.0457047237189033	0.0224807016155371	0.925662885715961	4.32716162207456e-17	TRUE	0.0181046446482055	0.938348885055357	4.53907037265807e-10	16	6	TRUE	FALSE	Unchanged	mCH_only	1.026393182	7.27e-10	7.27e-10	1	1	TRUE	NA	NA	NA	NA	NA	NA	-0.300838341529075	0.0643783508653896	1.43636066509741e-37	5	4	TRUE	-0.682633313219496	0.00182380017522674	3.86867835945576e-05	14	7	TRUE	0.737788	1.41753	0.773595	quantifiable
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	91119	0.0341953858377244	0.0712838669062373	0.0370884810685128	0.994570493076339	4.85131254429339e-17	TRUE	1.60613771118023	0.00127278147483562	1.32095870031758e-20	27	18	TRUE	TRUE	Gained	MeCP2_and_mCH	1.279282694	1.19e-29	8.97e-35	12	12	TRUE	NA	NA	NA	NA	NA	NA	-1.50370298380209	3.70736963958623e-12	7.72669759633954e-57	5	5	TRUE	0.171534600082505	0.357551008211176	2.19320202906737e-07	4	1	TRUE	1.480736	4.023087	1.318834	quantifiable
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	79810	0.0279154504799454	0.0600276489322722	0.0321121984523268	1.03501814773005	1.47348298932098e-16	TRUE	1.21958533052125	0.0101304954413751	2.06805321330482e-26	41	27	TRUE	TRUE	Gained	MeCP2_and_mCH	1.72056163	2.66e-45	1.67e-81	14	14	TRUE	NA	NA	NA	NA	NA	NA	-1.86259332491345	4.79646916161855e-18	2.12408315785306e-37	8	8	TRUE	-0.130191112405363	0.453256784560313	3.56697379968382e-06	10	4	TRUE	1.155262	3.710288	1.514766	quantifiable
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	88984	0.0313516764771984	0.0561886074277392	0.0248369309505408	0.803923333716464	7.46437336237682e-16	TRUE	-0.0419082502059995	0.834742308571652	7.70627593740215e-06	17	1	TRUE	FALSE	Unchanged	mCH_only	0.225159274	0.011604617	1.19e-32	5	5	TRUE	0.308566707113274	0.131490851742544	0.131490851742544	1	0	FALSE	NA	NA	NA	NA	NA	NA	-0.509589605350776	0.0203566656501074	0.0203566656501074	5	1	TRUE	2.06528	4.821151	1.1413	quantifiable
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	90800	0.0287311295506861	0.0518081884842646	0.0230770589335785	0.811254567920538	1.39178947360121e-15	TRUE	1.07901659999695	0.00716848450584093	8.54828388890296e-19	32	16	TRUE	TRUE	Gained	MeCP2_and_mCH	0.299504066	0.00852835	2.7e-32	12	12	TRUE	2.91998889048125	2.29875762195067e-18	2.29875762195067e-18	2	2	TRUE	-1.76257471218512	2.70107777381259e-19	2.41998714918137e-33	7	7	TRUE	-0.66987302973428	0.000260441384546373	1.6449929344959e-14	19	5	TRUE	1.705582	4.253283	1.215938	quantifiable
Runx1t1	ENSMUSG00000006586.15	chr4	13743435	13893649	150214	0.0388851256335426	0.062282111174255	0.0233969855407124	0.629816196957794	1.39178947360121e-15	TRUE	0.113273493139048	0.621376557214025	7.5451567639104e-14	101	20	TRUE	FALSE	Unchanged	mCH_only	0.691100413	8.88e-19	4.68e-41	61	48	TRUE	2.45499069371676	8.17159438824435e-22	2.38945502025611e-40	26	19	TRUE	-1.02858781580144	4.54502312674435e-11	4.54502312674435e-11	8	8	TRUE	-0.371798364996628	0.0492747019858724	8.5066521183784e-07	29	10	TRUE	2.773045	5.308833	0.885309	quantifiable
