gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	promoter_state	body_state	atac_fold	atac_fdr	atac_n_peaks	k27ac_fold	k27ac_fdr	k27ac_n_peaks	k27me3_fold	k27me3_fdr	k27me3_n_peaks	k119ub_fold	k119ub_fdr	k119ub_n_peaks
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	1106012	0.0585930354568514	0.0405551707375849	-0.0180378647192666	-0.589453234068138	6.49315772936704e-20	TRUE	Hypomethylated	Active_Promoter	Polycomb	1.43816627269746	1.7698223360719e-14	71	0.617057913305628	0.000146385988307989	7	NA	NA	NA	-0.678394052	1.17e-09	20
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	579800	0.0495954803208768	0.0322662483584066	-0.0173292319624701	-0.702488424646554	2.05229451875872e-19	TRUE	Hypomethylated	Active_Promoter	Polycomb	0.4589091033516	0.0267215807247423	14	1.07567067070099	4.62805112183436e-09	4	NA	NA	NA	-0.245443301	0.044123674	9
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	383140	0.0240667114846402	0.0411655718277919	0.0170988603431517	0.704215640764072	4.81031639917514e-18	TRUE	Hypermethylated	Active_Promoter	Active	-0.00668715181876542	0.975030685932134	50	-1.09793722595922	1.71502834266295e-17	28	NA	NA	NA	0.776810428	1.76e-12	36
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	511640	0.0543948964773618	0.0369045314632584	-0.0174903650141034	-0.626358182933927	1.91183600778509e-17	TRUE	Hypomethylated	Active_Promoter	Mixed	0.0794719166103066	0.657266547878375	19	-1.39804037149359	1.65196695187198e-11	1	0.0707782346425778	0.756594063073756	51	-0.002266543	0.985713528	36
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	119300	0.0232240221033662	0.0457047237189033	0.0224807016155371	0.925662885715961	4.32716162207456e-17	TRUE	Hypermethylated	Unmarked_Promoter	Active	-0.682633313219496	0.00182380017522674	14	-0.300838341529075	0.0643783508653896	5	NA	NA	NA	1.026393182	7.27e-10	1
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	91119	0.0341953858377244	0.0712838669062373	0.0370884810685128	0.994570493076339	4.85131254429339e-17	TRUE	Hypermethylated	Unmarked_Promoter	Active	0.171534600082505	0.357551008211176	4	-1.50370298380209	3.70736963958623e-12	5	NA	NA	NA	1.279282694	1.19e-29	12
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	79810	0.0279154504799454	0.0600276489322722	0.0321121984523268	1.03501814773005	1.47348298932098e-16	TRUE	Hypermethylated	Unmarked_Promoter	Active	-0.130191112405363	0.453256784560313	10	-1.86259332491345	4.79646916161855e-18	8	NA	NA	NA	1.72056163	2.66e-45	14
Arhgap26	ENSMUSG00000118193.1	chr18	38676717	39110534	433817	0.0289702968715419	0.0443358143886387	0.0153655175170967	0.560363885358525	2.20012254087888e-16	TRUE	Hypermethylated	Unmarked_Promoter	Active	-0.00668715181876542	0.975030685932134	50	-1.09793722595922	1.71502834266295e-17	28	NA	NA	NA	0.776810428	1.76e-12	36
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	88984	0.0313516764771984	0.0561886074277392	0.0248369309505408	0.803923333716464	7.46437336237682e-16	TRUE	Hypermethylated	Repressed_Promoter	Mixed	-0.509589605350776	0.0203566656501074	5	NA	NA	NA	0.308566707113274	0.131490851742544	1	0.225159274	0.011604617	5
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	90800	0.0287311295506861	0.0518081884842646	0.0230770589335785	0.811254567920538	1.39178947360121e-15	TRUE	Hypermethylated	Unmarked_Promoter	Active	-0.66987302973428	0.000260441384546373	19	-1.76257471218512	2.70107777381259e-19	7	2.91998889048125	2.29875762195067e-18	2	0.299504066	0.00852835	12
Runx1t1	ENSMUSG00000006586.15	chr4	13743435	13893649	150214	0.0388851256335426	0.062282111174255	0.0233969855407124	0.629816196957794	1.39178947360121e-15	TRUE	Hypermethylated	Bivalent_Promoter	Mixed	-0.371798364996628	0.0492747019858724	29	-1.02858781580144	4.54502312674435e-11	8	2.45499069371676	8.17159438824435e-22	26	0.691100413	8.88e-19	61
Btbd11	ENSMUSG00000020042.15	chr10	85386813	85660292	273479	0.0437518773607595	0.0312552806128405	-0.012496596747919	-0.559519405894851	1.62867882316599e-15	TRUE	Hypomethylated	Active_Promoter	Polycomb	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	856365	0.0231301443580463	0.0346791959487539	0.0115490515907076	0.503316927880416	2.4006788018813e-15	TRUE	Hypermethylated	Repressed_Promoter	Mixed	-0.268616176019895	0.105019729997976	44	-0.891199679365186	2.30529466304511e-06	26	1.03561529785767	1.07730552333004e-07	1	0.074537222	0.512075945	23
Pcdh9	ENSMUSG00000055421.8	chr14	93013409	93890679	877270	0.0303739024695834	0.0421892334192686	0.0118153309496852	0.406051180141993	4.05136941446509e-15	TRUE	Hypermethylated	Active_Promoter	Active	0.123457086095269	0.474841540565799	33	-0.673384834646298	7.32795301685068e-05	18	-0.24714439466849	0.42719514391784	5	1.051246395	2.17e-45	47
Cog5	ENSMUSG00000035933.5	chr12	31654868	31937630	282762	0.0220625280856643	0.0381392677670208	0.0160767396813565	0.698366375461975	9.16612856247155e-15	TRUE	Hypermethylated	Active_Promoter	Active	0.0488917068399826	0.790990949174486	13	-1.45148222658439	9.65836519224849e-18	8	NA	NA	NA	2.048076641	1.95e-55	7
Cadps	ENSMUSG00000054423.14	chr14	12372562	12823079	450517	0.0376948755829827	0.0296110983526095	-0.00808377723037319	-0.452971446494937	1.20018286437172e-14	TRUE	Hypomethylated	Active_Promoter	Active	0.349318925599704	0.0500158497185021	17	0.254531584784041	0.115859334623129	2	0.545828125452173	0.0245537291024101	1	0.095605868	0.554657707	22
Zbbx	ENSMUSG00000034151.13	chr3	75037906	75165034	127128	0.0206600089699952	0.0379188803863125	0.0172588714163172	0.826865004786908	3.37856554912633e-14	TRUE	Hypermethylated	Unmarked_Promoter	Enhancer_Marked	0.704077111771614	0.00678395675767235	2	NA	NA	NA	NA	NA	NA	1.050643508	3.79e-16	3
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	75075	0.026344532194134	0.0477331353809134	0.0213886031867794	0.802035765454069	3.51325380474338e-14	TRUE	Hypermethylated	Unmarked_Promoter	Active	-1.2777148129561	9.44740102142567e-08	8	-1.44695963862312	1.30374501153564e-13	4	NA	NA	NA	0.628130073	3.43e-12	12
Gprin3	ENSMUSG00000045441.5	chr6	59347225	59426294	79069	0.0293056980802082	0.0521299766054108	0.0228242785252025	0.77696008897358	4.47508011907222e-14	TRUE	Hypermethylated	Active_Promoter	Active	-0.557449685725666	0.00127490303082069	5	-1.20019354670989	1.28066196803622e-11	5	2.67703053297392	2.48312056175373e-20	1	0.65310573	1.39e-16	15
