pair_id	figure	gene_name	gene_id	chr	gene_length	x_variable	x_value	y_variable	y_value	quadrant	mch_diff	mch_sig
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Arhgap26	ENSMUSG00000036452.18	chr18	383140	k119ub_gb_log2fc	0.915821	mecp2_fold	0.002315152	Q1	0.0170988603431517	TRUE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Trpm3	ENSMUSG00000052387.16	chr19	856365	k119ub_gb_log2fc	0.876881	mecp2_fold	0.106080893	Q1	0.0115490515907076	TRUE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Zbtb20	ENSMUSG00000022708.16	chr16	766722	k119ub_gb_log2fc	0.918916	mecp2_fold	1.251429852	Q1	0.0085524297670826	TRUE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Cntnap2	ENSMUSG00000039419.17	chr6	2244857	k119ub_gb_log2fc	0.051369	mecp2_fold	0.018867124	Q1	-0.0014923291324827	TRUE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Lpp	ENSMUSG00000033306.15	chr16	599072	k119ub_gb_log2fc	0.688492	mecp2_fold	0.694963005	Q1	0.006702860050746	TRUE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Syt1	ENSMUSG00000035864.14	chr10	513333	k119ub_gb_log2fc	0.703833	mecp2_fold	-0.075931478	Q4	0.00553712778233336	TRUE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Mcu	ENSMUSG00000009647.13	chr10	169709	k119ub_gb_log2fc	0.377947	mecp2_fold	-0.027928153	Q4	0.00354066578383002	FALSE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Dlgap1	ENSMUSG00000003279.17	chr17	852341	k119ub_gb_log2fc	0.335555	mecp2_fold	-0.04338638	Q4	0.0022075784663896	FALSE
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	Cdh8	ENSMUSG00000036510.17	chr8	392001	k119ub_gb_log2fc	0.396867	mecp2_fold	-0.059540469	Q4	0.00244720115007071	FALSE
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	Arhgap26	ENSMUSG00000036452.18	chr18	383140	mecp2_fold	0.002315152	k27ac_fold	-1.09793722595922	Q4	0.0170988603431517	TRUE
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	Zbtb20	ENSMUSG00000022708.16	chr16	766722	mecp2_fold	1.251429852	k27ac_fold	-1.47073304617531	Q4	0.0085524297670826	TRUE
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	Cntnap2	ENSMUSG00000039419.17	chr6	2244857	mecp2_fold	0.018867124	k27ac_fold	-0.142505377260419	Q4	-0.0014923291324827	TRUE
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	Lpp	ENSMUSG00000033306.15	chr16	599072	mecp2_fold	0.694963005	k27ac_fold	-1.64903222668309	Q4	0.006702860050746	TRUE
