gene_name	gene_id	chr	start	end	gene_length	promoter_state	body_state	mark_category	mch_ctrl	mch_mut	mch_diff	mch_diff_pct	edger_logFC	edger_fdr	mch_sig	mch_direction	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_sig_gain	mecp2_sig_loss	mch_gain	mecp2_gain	quadrant
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	1106012	Active_Promoter	Polycomb	K27me3 only	0.0585930354568514	0.0405551707375849	-0.0180378647192666	-1.80378647192666	-0.589453234068138	6.49315772936704e-20	TRUE	Hypomethylated	-0.167469102	0.440532384	1e-09	88	25	FALSE	FALSE	FALSE	FALSE	Q3
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	579800	Active_Promoter	Polycomb	K27me3 only	0.0495954803208768	0.0322662483584066	-0.0173292319624701	-1.73292319624701	-0.702488424646554	2.05229451875872e-19	TRUE	Hypomethylated	-1.425061102	2.55e-06	2.55e-06	18	8	FALSE	TRUE	FALSE	FALSE	Q3
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	383140	Active_Promoter	Active	K27ac only	0.0240667114846402	0.0411655718277919	0.0170988603431517	1.70988603431517	0.704215640764072	4.81031639917514e-18	TRUE	Hypermethylated	0.002315152	0.995366854	7.18e-33	33	21	FALSE	FALSE	TRUE	TRUE	Q1
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	511640	Active_Promoter	Mixed	Bivalent	0.0543948964773618	0.0369045314632584	-0.0174903650141034	-1.74903650141034	-0.626358182933927	1.91183600778509e-17	TRUE	Hypomethylated	-0.016478588	0.959526103	1.38e-13	53	28	FALSE	FALSE	FALSE	FALSE	Q3
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	119300	Unmarked_Promoter	Active	K27ac only	0.0232240221033662	0.0457047237189033	0.0224807016155371	2.24807016155371	0.925662885715961	4.32716162207456e-17	TRUE	Hypermethylated	0.617145042	0.022840438	1.44e-18	8	8	TRUE	FALSE	TRUE	TRUE	Q1
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	91119	Unmarked_Promoter	Active	K27ac only	0.0341953858377244	0.0712838669062373	0.0370884810685128	3.70884810685128	0.994570493076339	4.85131254429339e-17	TRUE	Hypermethylated	2.24486795	1.41e-12	7.02e-24	14	11	TRUE	FALSE	TRUE	TRUE	Q1
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	79810	Unmarked_Promoter	Active	K27ac only	0.0279154504799454	0.0600276489322722	0.0321121984523268	3.21121984523268	1.03501814773005	1.47348298932098e-16	TRUE	Hypermethylated	1.294666777	0.00023496	1.26e-38	13	12	TRUE	FALSE	TRUE	TRUE	Q1
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	88984	Repressed_Promoter	Mixed	Bivalent	0.0313516764771984	0.0561886074277392	0.0248369309505408	2.48369309505408	0.803923333716464	7.46437336237682e-16	TRUE	Hypermethylated	0.000756314	0.99831135	0.610956445	3	0	FALSE	FALSE	TRUE	TRUE	Q1
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	90800	Unmarked_Promoter	Active	K27ac only	0.0287311295506861	0.0518081884842646	0.0230770589335785	2.30770589335785	0.811254567920538	1.39178947360121e-15	TRUE	Hypermethylated	0.060291893	0.793586354	2.63e-23	16	12	FALSE	FALSE	TRUE	TRUE	Q1
Runx1t1	ENSMUSG00000006586.15	chr4	13743435	13893649	150214	Bivalent_Promoter	Mixed	Bivalent	0.0388851256335426	0.062282111174255	0.0233969855407124	2.33969855407124	0.629816196957794	1.39178947360121e-15	TRUE	Hypermethylated	-0.084650978	0.699640182	8.04e-18	40	16	FALSE	FALSE	TRUE	FALSE	Q4
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	856365	Repressed_Promoter	Mixed	Bivalent	0.0231301443580463	0.0346791959487539	0.0115490515907076	1.15490515907076	0.503316927880416	2.4006788018813e-15	TRUE	Hypermethylated	0.106080893	0.61793793	1.57e-20	24	19	FALSE	FALSE	TRUE	TRUE	Q1
Pcdh9	ENSMUSG00000055421.8	chr14	93013409	93890679	877270	Active_Promoter	Active	K27ac only	0.0303739024695834	0.0421892334192686	0.0118153309496852	1.18153309496852	0.406051180141993	4.05136941446509e-15	TRUE	Hypermethylated	2.773520355	8.78e-14	5.91e-24	38	29	TRUE	FALSE	TRUE	TRUE	Q1
Cog5	ENSMUSG00000035933.5	chr12	31654868	31937630	282762	Active_Promoter	Active	K27ac only	0.0220625280856643	0.0381392677670208	0.0160767396813565	1.60767396813565	0.698366375461975	9.16612856247155e-15	TRUE	Hypermethylated	0.030750918	0.913454355	6.71e-15	11	8	FALSE	FALSE	TRUE	TRUE	Q1
Cadps	ENSMUSG00000054423.14	chr14	12372562	12823079	450517	Active_Promoter	Active	K27ac only	0.0376948755829827	0.0296110983526095	-0.00808377723037319	-0.808377723037319	-0.452971446494937	1.20018286437172e-14	TRUE	Hypomethylated	-0.449811689	0.110557467	2.47e-05	24	7	FALSE	FALSE	FALSE	FALSE	Q3
