gene_name	chr	is_synapse_and_mecp2_up	atac_remodeled
Auts2	chr5	FALSE	TRUE
Csmd2	chr4	FALSE	TRUE
Arhgap26	chr18	FALSE	FALSE
Rasgef1b	chr5	FALSE	FALSE
Lrrc49	chr9	FALSE	TRUE
Emcn	chr3	FALSE	FALSE
Slc13a1	chr6	FALSE	FALSE
Dpys	chr15	FALSE	TRUE
Fgf1	chr18	FALSE	TRUE
Runx1t1	chr4	FALSE	TRUE
Trpm3	chr19	FALSE	FALSE
Pcdh9	chr14	FALSE	FALSE
Cog5	chr12	FALSE	FALSE
Cadps	chr14	FALSE	FALSE
Zbbx	chr3	FALSE	TRUE
Col9a1	chr1	FALSE	TRUE
Gprin3	chr6	FALSE	TRUE
Maml3	chr3	FALSE	FALSE
Csrnp3	chr2	FALSE	TRUE
Nrxn1	chr17	FALSE	TRUE
Erbb4	chr1	FALSE	FALSE
Pcgf5	chr19	FALSE	TRUE
Tenm2	chr11	FALSE	FALSE
Enox1	chr14	FALSE	FALSE
Slc6a6	chr6	FALSE	FALSE
Zfp608	chr18	FALSE	FALSE
Cytip	chr2	FALSE	FALSE
Camta1	chr4	FALSE	FALSE
Lsamp	chr16	FALSE	FALSE
Ctnnd2	chr15	FALSE	FALSE
Patj	chr4	FALSE	TRUE
Btbd3	chr2	FALSE	FALSE
Tjp1	chr7	FALSE	FALSE
Tmem178b	chr6	FALSE	FALSE
Abr	chr11	FALSE	TRUE
Ephb1	chr9	FALSE	FALSE
Plekha6	chr1	FALSE	TRUE
Cerkl	chr2	FALSE	TRUE
Gabbr2	chr4	FALSE	FALSE
Tafa5	chr15	FALSE	TRUE
Gsg1l	chr7	FALSE	TRUE
Rnf157	chr11	FALSE	FALSE
Tgfbr3	chr5	FALSE	FALSE
Sema6d	chr2	FALSE	FALSE
Cacna1e	chr1	FALSE	TRUE
Msi2	chr11	FALSE	FALSE
Hgd	chr16	FALSE	TRUE
Dlgap4	chr2	FALSE	FALSE
Phex	chrX	FALSE	FALSE
Prkar2b	chr12	FALSE	FALSE
Afap1	chr5	FALSE	FALSE
Ephb2	chr4	FALSE	FALSE
Zbtb20	chr16	FALSE	TRUE
Lrrc4c	chr2	FALSE	FALSE
Megf11	chr9	FALSE	FALSE
Hdac9	chr12	FALSE	FALSE
Cmip	chr8	FALSE	FALSE
Ccdc192	chr18	FALSE	FALSE
Epha3	chr16	TRUE	FALSE
Snca	chr6	TRUE	FALSE
Cacna2d2	chr9	FALSE	FALSE
Pappa2	chr1	FALSE	FALSE
Arhgef38	chr3	FALSE	FALSE
Nos1	chr5	FALSE	TRUE
Lamb3	chr1	TRUE	FALSE
Fam107b	chr2	FALSE	FALSE
Nln	chr13	FALSE	FALSE
Zic4	chr9	FALSE	FALSE
Pag1	chr3	FALSE	FALSE
Fstl4	chr11	FALSE	TRUE
Opcml	chr9	FALSE	TRUE
Kcnq1	chr7	FALSE	FALSE
Heg1	chr16	FALSE	TRUE
Prkce	chr17	TRUE	FALSE
D430041D05Rik	chr2	FALSE	FALSE
Wdr25	chr12	FALSE	FALSE
Ncald	chr15	FALSE	FALSE
Igsf21	chr4	FALSE	FALSE
Med13l	chr5	FALSE	FALSE
Col27a1	chr4	FALSE	FALSE
Phactr3	chr2	FALSE	TRUE
Atxn1	chr13	FALSE	TRUE
Ttr	chr18	FALSE	TRUE
Clnk	chr5	FALSE	FALSE
Sez6	chr11	FALSE	TRUE
Akap6	chr12	FALSE	FALSE
Ksr2	chr5	FALSE	FALSE
Cntnap2	chr6	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Nav3	chr10	FALSE	TRUE
Lancl3	chrX	FALSE	FALSE
Tmem150c	chr5	FALSE	FALSE
Ptprn2	chr12	FALSE	FALSE
Dip2b	chr15	FALSE	FALSE
Rab11fip4	chr11	FALSE	FALSE
Vwf	chr6	FALSE	FALSE
Anks1b	chr10	FALSE	TRUE
Slc35g2	chr9	FALSE	FALSE
Angpt1	chr15	FALSE	TRUE
Cacna1c	chr6	FALSE	FALSE
Pcdh7	chr5	FALSE	TRUE
Jph1	chr1	FALSE	FALSE
Acly	chr11	FALSE	FALSE
Vti1a	chr19	FALSE	FALSE
Gria1	chr11	TRUE	FALSE
Brpf3	chr17	FALSE	FALSE
Lrba	chr3	FALSE	FALSE
Fam135b	chr15	FALSE	FALSE
Ptk2	chr15	FALSE	FALSE
Dgkb	chr12	FALSE	FALSE
Exoc6b	chr6	FALSE	FALSE
Lingo1	chr9	FALSE	FALSE
Nfib	chr4	FALSE	FALSE
Ssh2	chr11	FALSE	TRUE
Cnpy1	chr5	FALSE	TRUE
Svep1	chr4	FALSE	FALSE
Elmo1	chr13	FALSE	FALSE
Zbtb16	chr9	FALSE	FALSE
Foxp1	chr6	FALSE	FALSE
Plcb4	chr2	TRUE	TRUE
Ppp2r2b	chr18	FALSE	TRUE
Fgf20	chr8	FALSE	FALSE
Grik2	chr10	TRUE	FALSE
Gm973	chr1	FALSE	FALSE
Cux2	chr5	FALSE	FALSE
Kbtbd12	chr6	FALSE	TRUE
Shank2	chr7	FALSE	TRUE
Pde4b	chr4	FALSE	TRUE
Nfia	chr4	FALSE	FALSE
Grxcr1	chr5	FALSE	TRUE
Myo3b	chr2	FALSE	FALSE
Prune2	chr19	FALSE	TRUE
Pde10a	chr17	FALSE	TRUE
Mad1l1	chr5	FALSE	FALSE
Ptchd4	chr17	FALSE	FALSE
Klhl29	chr12	FALSE	TRUE
Ralgps1	chr2	FALSE	FALSE
Pex14	chr4	FALSE	FALSE
Ift57	chr16	FALSE	FALSE
Snph	chr2	FALSE	FALSE
Elp4	chr2	FALSE	TRUE
Dagla	chr19	FALSE	FALSE
Nkain3	chr4	FALSE	TRUE
Kctd8	chr5	FALSE	FALSE
Gtf3c1	chr7	FALSE	FALSE
Slc5a10	chr11	FALSE	FALSE
Ebf2	chr14	FALSE	TRUE
Sybu	chr15	TRUE	FALSE
Mamdc2	chr19	FALSE	FALSE
Sdk1	chr5	FALSE	FALSE
Prkca	chr11	FALSE	FALSE
Mark1	chr1	FALSE	FALSE
Galnt7	chr8	FALSE	FALSE
Celf4	chr18	FALSE	TRUE
Epha5	chr5	TRUE	TRUE
Foxn3	chr12	FALSE	FALSE
Psd3	chr8	FALSE	TRUE
Pcsk5	chr19	FALSE	TRUE
Clybl	chr14	FALSE	FALSE
Asb15	chr6	FALSE	FALSE
Cep350	chr1	FALSE	FALSE
Prickle2	chr6	FALSE	FALSE
Npvf	chr6	FALSE	TRUE
